"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Bristol City Public Schools","Stonewall Jackson Elementary",50,40,5
"Bristol City Public Schools","Virginia High",50,44,2
"Bristol City Public Schools","Virginia Middle",48,53,0
"Bristol City Public Schools","Washington-Lee Elementary",68,21,5
"Brunswick County Public Schools","Brunswick High",39,39,4
"Brunswick County Public Schools","James S. Russell Middle",42,47,8
"Brunswick County Public Schools","Meherrin Powellton Elementary",50,42,4
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",20,75,5
"Brunswick County Public Schools","Totaro Elementary",22,70,4
"Buchanan County Public Schools","Council Elementary/Middle",58,42,0
"Buchanan County Public Schools","Council High ",37,53,5
"Buchanan County Public Schools","Grundy High",50,47,0
"Buchanan County Public Schools","Hurley Elementary/Middle",50,48,0
"Buchanan County Public Schools","Hurley High",48,52,0
"Buchanan County Public Schools","Riverview Elementary/Middle",64,33,0
"Buchanan County Public Schools","Twin Valley Elementary/Middle",59,38,0
"Buchanan County Public Schools","Twin Valley High",57,43,0
"Buckingham County Public Schools","Buckingham Co Elementary",60,40,0
"Buckingham County Public Schools","Buckingham Co Primary",69,31,0
"Buckingham County Public Schools","Buckingham County High",39,57,0
"Buckingham County Public Schools","Buckingham County Middle",45,55,0
"Buena Vista City Public Schools","Enderly Heights Elementary",44,56,0
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",52,48,0
"Buena Vista City Public Schools","Parry McCluer High",36,56,0
"Buena Vista City Public Schools","Parry McCluer Middle",47,47,7
"Campbell County Public Schools","Altavista Elementary",57,43,0
"Campbell County Public Schools","Altavista High",47,49,2
"Campbell County Public Schools","Brookneal Elementary",57,43,0
"Campbell County Public Schools","Brookville High",62,34,0
"Campbell County Public Schools","Brookville Middle",56,44,0
"Campbell County Public Schools","Concord Elementary",48,52,0
"Campbell County Public Schools","Leesville Road Elementary",60,40,0
"Campbell County Public Schools","Rustburg Elementary",52,48,0
"Campbell County Public Schools","Rustburg High",50,47,2
"Campbell County Public Schools","Rustburg Middle",54,44,0
"Campbell County Public Schools","Tomahawk Elementary",43,57,0
"Campbell County Public Schools","William Campbell High",59,41,0
"Campbell County Public Schools","Yellow Branch Elementary",48,50,0
"Caroline County Public Schools","Bowling Green Elementary",44,56,0
"Caroline County Public Schools","Caroline High",51,42,1
"Caroline County Public Schools","Caroline Middle",40,60,0
"Caroline County Public Schools","Lewis and Clark Elementary",45,55,0
"Caroline County Public Schools","Madison Elementary",57,43,0
"Carroll County Public Schools","Carroll County High",37,57,2
"Carroll County Public Schools","Carroll County Middle",49,47,1
"Carroll County Public Schools","Fancy Gap Elementary",35,59,6
"Carroll County Public Schools","Gladesboro Elementary",56,44,0
"Carroll County Public Schools","Gladeville Elementary",48,52,0
"Carroll County Public Schools","Hillsville Elementary",44,56,0
"Carroll County Public Schools","Laurel Elementary",59,36,5
"Carroll County Public Schools","Oakland Elementary",58,42,0
"Carroll County Public Schools","St. Paul",50,47,3
"Charles City County Public Schools","Charles City County Elementary",31,62,3
"Charles City County Public Schools","Charles City County High",43,47,0
"Charlotte County Public Schools","Bacon District Elementary",67,33,0
"Charlotte County Public Schools","Central Middle",53,45,0
"Charlotte County Public Schools","Eureka Elementary",66,34,0
"Charlotte County Public Schools","Phenix Elementary",38,62,0
"Charlotte County Public Schools","Randolph-Henry High",43,52,0
"Charlottesville City Public Schools","Buford Middle",41,55,0
"Charlottesville City Public Schools","Burnley-Moran Elementary",30,62,5
"Charlottesville City Public Schools","Charlottesville High",34,59,3
"Charlottesville City Public Schools","Clark Elementary",28,63,0
"Charlottesville City Public Schools","Greenbrier Elementary",31,67,0
"Charlottesville City Public Schools","Jackson-Via Elementary",40,55,2
"Charlottesville City Public Schools","Johnson Elementary",26,69,0
"Charlottesville City Public Schools","Venable Elementary",28,64,3
"Charlottesville City Public Schools","Walker Upper Elementary",25,69,3
"Chesapeake City Public Schools","B.M. Williams Primary",31,69,0
"Chesapeake City Public Schools","Butts Road Intermediate",42,51,2
"Chesapeake City Public Schools","Butts Road Primary",29,66,0
"Chesapeake City Public Schools","Camelot Elementary",41,55,2
"Chesapeake City Public Schools","Cedar Road Elementary",34,60,2
"Chesapeake City Public Schools","Crestwood Intermediate",51,44,2
"Chesapeake City Public Schools","Crestwood Middle",36,61,0
"Chesapeake City Public Schools","Deep Creek Central Elementary",30,64,2
"Chesapeake City Public Schools","Deep Creek Elementary",31,53,2
"Chesapeake City Public Schools","Deep Creek High",33,64,1
"Chesapeake City Public Schools","Deep Creek Middle",33,66,0
"Chesapeake City Public Schools","Edwin W. Chittum Elementary",46,48,0
"Chesapeake City Public Schools","G.A. Treakle Elementary",27,67,0
"Chesapeake City Public Schools","George W. Carver Intermediate",35,57,0
"Chesapeake City Public Schools","Georgetown Primary",36,58,0
"Chesapeake City Public Schools","Grassfield Elementary",35,60,2
"Chesapeake City Public Schools","Grassfield High",30,63,2
"Chesapeake City Public Schools","Great Bridge High",29,67,2
"Chesapeake City Public Schools","Great Bridge Intermediate",38,63,0
"Chesapeake City Public Schools","Great Bridge Middle",39,60,0
"Chesapeake City Public Schools","Great Bridge Primary",42,48,3
"Chesapeake City Public Schools","Greenbrier Intermediate",26,68,2
"Chesapeake City Public Schools","Greenbrier Middle",38,55,2
"Chesapeake City Public Schools","Greenbrier Primary",35,61,2
"Chesapeake City Public Schools","Hickory Elementary",35,56,3
"Chesapeake City Public Schools","Hickory High",32,61,2
"Chesapeake City Public Schools","Hickory Middle",41,55,1
"Chesapeake City Public Schools","Hugo A. Owens Middle",33,62,0
"Chesapeake City Public Schools","Indian River High",39,55,2
"Chesapeake City Public Schools","Indian River Middle",38,57,1
"Chesapeake City Public Schools","Jolliff Middle",31,64,2
"Chesapeake City Public Schools","Norfolk Highlands Primary",40,53,0
"Chesapeake City Public Schools","Oscar F. Smith High",35,58,3
"Chesapeake City Public Schools","Oscar Smith Middle",29,61,3
"Chesapeake City Public Schools","Portlock Primary",40,57,2
"Chesapeake City Public Schools","Rena B. Wright Primary",32,62,0
"Chesapeake City Public Schools","Southeastern Elementary",34,62,0
"Chesapeake City Public Schools","Southwestern Elementary",30,65,0
"Chesapeake City Public Schools","Sparrow Road Intermediate",44,51,0
"Chesapeake City Public Schools","Thurgood Marshall Elementary",34,58,0
"Chesapeake City Public Schools","Truitt Intermediate",30,70,0
"Chesapeake City Public Schools","Western Branch High",31,63,3
"Chesapeake City Public Schools","Western Branch Intermediate",36,60,0
"Chesapeake City Public Schools","Western Branch Middle",34,62,1
"Chesapeake City Public Schools","Western Branch Primary",36,57,0
"Chesterfield County Public Schools","A.M. Davis Elementary",28,69,0
"Chesterfield County Public Schools","Alberta Smith Elementary",60,35,2
"Chesterfield County Public Schools","Bailey Bridge Middle",42,57,0
"Chesterfield County Public Schools","Bellwood Elementary",48,50,2
"Chesterfield County Public Schools","Bensley Elementary",39,61,0
"Chesterfield County Public Schools","Bettie Weaver Elementary",46,50,0
"Chesterfield County Public Schools","Beulah Elementary",36,61,2
"Chesterfield County Public Schools","Bon Air Elementary",44,54,2
"Chesterfield County Public Schools","C.C. Wells Elementary",35,63,0
"Chesterfield County Public Schools","C.E. Curtis Elementary",41,54,3
"Chesterfield County Public Schools","Carver College and Career Academy",46,49,3
"Chesterfield County Public Schools","Carver Middle",39,59,1
"Chesterfield County Public Schools","Clover Hill Elementary",45,55,0
"Chesterfield County Public Schools","Clover Hill High",39,58,2
"Chesterfield County Public Schools","Cosby High",30,68,1
"Chesterfield County Public Schools","Crestwood Elementary",36,64,0
"Chesterfield County Public Schools","Ecoff Elementary",39,56,3
"Chesterfield County Public Schools","Elizabeth Davis Middle",48,49,2
"Chesterfield County Public Schools","Elizabeth Scott Elementary",45,54,0
"Chesterfield County Public Schools","Enon Elementary",54,44,0
"Chesterfield County Public Schools","Ettrick Elementary",36,61,4
"Chesterfield County Public Schools","Evergreen Elementary",43,56,0
"Chesterfield County Public Schools","Falling Creek Elementary",43,54,0
"Chesterfield County Public Schools","Falling Creek Middle",50,43,4
"Chesterfield County Public Schools","Grange Hall Elementary",47,52,0
"Chesterfield County Public Schools","Greenfield Elementary",42,53,0
"Chesterfield County Public Schools","Harrowgate Elementary",42,58,0
"Chesterfield County Public Schools","Hopkins Road Elementary",47,50,3
"Chesterfield County Public Schools","J.A. Chalkley Elementary",42,58,0
"Chesterfield County Public Schools","J.B. Watkins Elementary",41,59,0
"Chesterfield County Public Schools","J.G. Hening Elementary",44,54,1
"Chesterfield County Public Schools","Jacobs Road Elementary",34,65,0
"Chesterfield County Public Schools","James River High",42,56,1
"Chesterfield County Public Schools","Lloyd C. Bird High",38,60,1
"Chesterfield County Public Schools","Manchester High",40,59,0
"Chesterfield County Public Schools","Manchester Middle",49,49,2
"Chesterfield County Public Schools","Marguerite F. Christian Elementary",42,56,0
"Chesterfield County Public Schools","Matoaca Elementary",40,54,0
"Chesterfield County Public Schools","Matoaca High",43,51,4
"Chesterfield County Public Schools","Matoaca Middle",49,48,1
"Chesterfield County Public Schools","Meadowbrook High",40,57,0
"Chesterfield County Public Schools","Midlothian High",41,55,2
"Chesterfield County Public Schools","Midlothian Middle",44,54,2
"Chesterfield County Public Schools","Monacan High",37,58,3
"Chesterfield County Public Schools","O.B. Gates Elementary",39,55,3
"Chesterfield County Public Schools","Providence Elementary",34,66,0
"Chesterfield County Public Schools","Providence Middle",42,52,1
"Chesterfield County Public Schools","Reams Road Elementary",46,52,0
"Chesterfield County Public Schools","Robious Elementary",38,58,0
"Chesterfield County Public Schools","Robious Middle",50,48,1
"Chesterfield County Public Schools","Salem Church Elementary",43,57,0
"Chesterfield County Public Schools","Salem Church Middle",50,46,1
"Chesterfield County Public Schools","Spring Run Elementary",46,51,2
"Chesterfield County Public Schools","Swift Creek Elementary",35,63,0
"Chesterfield County Public Schools","Swift Creek Middle",42,54,4
"Chesterfield County Public Schools","Thelma Crenshaw Elementary",25,69,0
"Chesterfield County Public Schools","Thomas Dale High",47,49,2
"Chesterfield County Public Schools","Tomahawk Creek Middle",47,51,2
"Chesterfield County Public Schools","W.W. Gordon Elementary",42,58,0
"Chesterfield County Public Schools","Winterpock Elementary",43,56,0
"Chesterfield County Public Schools","Woolridge Elementary",37,56,2
"Clarke County Public Schools","Boyce Elementary",39,61,0
"Clarke County Public Schools","Clarke County High",38,58,2
"Clarke County Public Schools","D.G. Cooley Elementary",34,66,0
"Clarke County Public Schools","Johnson-Williams Middle",24,74,2
"Colonial Beach Public Schools","Colonial Beach Elementary",74,22,0
"Colonial Beach Public Schools","Colonial Beach High",61,22,0
"Colonial Heights City Public Schools","Colonial Heights High",53,45,1
"Colonial Heights City Public Schools","Colonial Heights Middle",52,48,0
"Colonial Heights City Public Schools","Lakeview Elementary",41,56,3
"Colonial Heights City Public Schools","North Elementary",67,30,0
"Colonial Heights City Public Schools","Tussing Elementary",50,50,0
"Covington City Public Schools","Covington High",41,59,0
"Covington City Public Schools","Edgemont Primary",64,36,0
"Covington City Public Schools","Jeter-Watson Intermediate",60,40,0
"Craig County Public Schools","Craig County High",52,45,0
"Craig County Public Schools","McCleary Elementary",70,30,0
"Culpeper County Public Schools","A.G. Richardson Elementary",42,56,0
"Culpeper County Public Schools","Culpeper County High",47,47,1
"Culpeper County Public Schools","Culpeper Middle",50,47,0
"Culpeper County Public Schools","Eastern View High",52,42,1
"Culpeper County Public Schools","Emerald Hill Elementary",36,62,0
