"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Loudoun County Public Schools","Stone Bridge High",23,70,6
"Loudoun County Public Schools","Stone Hill Middle",32,63,4
"Loudoun County Public Schools","Sugarland Elementary",19,76,4
"Loudoun County Public Schools","Sully Elementary",27,70,1
"Loudoun County Public Schools","Sycolin Creek Elementary",27,69,3
"Loudoun County Public Schools","Trailside Middle",32,63,3
"Loudoun County Public Schools","Tuscarora High",22,70,7
"Loudoun County Public Schools","Waterford Elementary",17,76,3
"Loudoun County Public Schools","Willard Middle",32,63,5
"Loudoun County Public Schools","Woodgrove High",26,67,6
"Louisa County Public Schools","Jouett Elementary",54,39,2
"Louisa County Public Schools","Louisa County High",49,43,1
"Louisa County Public Schools","Louisa County Middle",45,50,3
"Louisa County Public Schools","Moss-Nuckols Elementary",50,43,0
"Louisa County Public Schools","Thomas Jefferson Elementary",55,42,2
"Louisa County Public Schools","Trevilians Elementary",57,39,0
"Lunenburg County Public Schools","Central High",60,33,3
"Lunenburg County Public Schools","Kenbridge Elementary",59,35,3
"Lunenburg County Public Schools","Lunenburg Middle",53,42,0
"Lunenburg County Public Schools","Victoria Elementary",60,40,0
"Lynchburg City Public Schools","Bedford Hills Elementary",59,38,0
"Lynchburg City Public Schools","Dearington Elementary/Innovation ",67,28,6
"Lynchburg City Public Schools","E.C. Glass High ",41,50,3
"Lynchburg City Public Schools","Heritage Elementary",58,42,0
"Lynchburg City Public Schools","Heritage High",43,48,3
"Lynchburg City Public Schools","Linkhorne Elementary",39,61,0
"Lynchburg City Public Schools","Linkhorne Middle",48,48,0
"Lynchburg City Public Schools","Paul Laurence Dunbar Middle for Innovation ",42,56,2
"Lynchburg City Public Schools","Paul Munro Elementary",60,40,0
"Lynchburg City Public Schools","Perrymont Elementary",59,41,0
"Lynchburg City Public Schools","Robert S. Payne Elementary",47,50,0
"Lynchburg City Public Schools","Sandusky Elementary",59,41,0
"Lynchburg City Public Schools","Sandusky Middle",47,50,0
"Lynchburg City Public Schools","Sheffield Elementary",47,53,0
"Lynchburg City Public Schools","T.C. Miller Elementary for Innovation",33,62,0
"Lynchburg City Public Schools","William M. Bass Elementary",64,36,0
"Madison County Public Schools","Madison County High",45,42,4
"Madison County Public Schools","Madison Primary",69,31,0
"Madison County Public Schools","Waverly Yowell Elementary",42,55,3
"Madison County Public Schools","William H. Wetsel Middle",46,54,0
"Manassas City Public Schools","Baldwin Elementary",43,54,0
"Manassas City Public Schools","Baldwin Intermediate",23,69,4
"Manassas City Public Schools","George Carr Round Elementary",29,67,2
"Manassas City Public Schools","Grace E. Metz Middle ",30,67,1
"Manassas City Public Schools","Jennie Dean Elementary",35,58,0
"Manassas City Public Schools","Mayfield Intermediate",24,69,3
"Manassas City Public Schools","Osbourn High",23,73,2
"Manassas City Public Schools","Richard C. Haydon Elementary",37,56,0
"Manassas City Public Schools","Weems Elementary",40,56,2
"Manassas Park City Public Schools","Cougar Elementary",39,59,0
"Manassas Park City Public Schools","Manassas Park Elementary",43,56,1
"Manassas Park City Public Schools","Manassas Park High",35,63,1
"Manassas Park City Public Schools","Manassas Park Middle",50,48,2
"Martinsville City Public Schools","Albert Harris Elementary",55,43,2
"Martinsville City Public Schools","Martinsville High",50,45,0
"Martinsville City Public Schools","Martinsville Middle",53,44,0
"Martinsville City Public Schools","Patrick Henry Elementary",59,41,0
"Mathews County Public Schools","Mathews Elementary",46,49,0
"Mathews County Public Schools","Mathews High",34,51,0
"Mathews County Public Schools","Thomas Hunter Middle",43,49,0
"Mecklenburg County Public Schools","Bluestone  High",51,38,2
"Mecklenburg County Public Schools","Bluestone Middle",47,47,3
"Mecklenburg County Public Schools","Chase City Elementary",60,37,3
"Mecklenburg County Public Schools","Clarksville Elementary",46,49,0
"Mecklenburg County Public Schools","LaCrosse Elementary ",55,45,0
"Mecklenburg County Public Schools","Park View High",48,41,1
"Mecklenburg County Public Schools","Park View Middle",56,37,2
"Mecklenburg County Public Schools","South Hill Elementary",57,43,0
"Middlesex County Public Schools","Middlesex Elementary",57,39,0
"Middlesex County Public Schools","Middlesex High",58,40,0
"Middlesex County Public Schools","St. Clare Walker Middle",41,56,0
"Montgomery County Public Schools","Auburn Elementary",48,50,0
"Montgomery County Public Schools","Auburn High",30,64,4
"Montgomery County Public Schools","Auburn Middle",54,43,0
"Montgomery County Public Schools","Belview Elementary",44,53,3
"Montgomery County Public Schools","Blacksburg High",29,65,2
"Montgomery County Public Schools","Blacksburg Middle",40,58,2
"Montgomery County Public Schools","Christiansburg Elementary",28,72,0
"Montgomery County Public Schools","Christiansburg High",31,63,1
"Montgomery County Public Schools","Christiansburg Middle",37,62,0
"Montgomery County Public Schools","Christiansburg Primary",44,56,0
"Montgomery County Public Schools","Eastern Montgomery Elementary",34,66,0
"Montgomery County Public Schools","Eastern Montgomery High",40,58,0
"Montgomery County Public Schools","Falling Branch Elementary",47,53,0
"Montgomery County Public Schools","Gilbert Linkous Elementary",38,59,0
"Montgomery County Public Schools","Harding Avenue Elementary",34,63,0
"Montgomery County Public Schools","Kipps Elementary",42,55,0
"Montgomery County Public Schools","Margaret Beeks Elementary",44,51,0
"Montgomery County Public Schools","Prices Fork Elementary",38,62,0
"Montgomery County Public Schools","Shawsville Middle",35,62,0
"Nelson County Public Schools","Nelson County High",36,55,3
"Nelson County Public Schools","Nelson Middle",33,65,3
"Nelson County Public Schools","Rockfish River Elementary",31,66,0
"Nelson County Public Schools","Tye River Elementary",48,48,3
"New Kent County Public Schools","George W. Watkins Elementary",48,50,0
"New Kent County Public Schools","New Kent Elementary ",45,50,0
"New Kent County Public Schools","New Kent High ",37,62,0
"New Kent County Public Schools","New Kent Middle ",52,46,0
"Newport News City Public Schools","Achievable Dream Academy",36,57,0
"Newport News City Public Schools","Achievable Dream Middle/High ",39,55,0
"Newport News City Public Schools","B.C. Charles Elementary ",41,56,0
"Newport News City Public Schools","B.T. Washington Middle ",14,69,6
"Newport News City Public Schools","Carver Elementary",41,54,0
"Newport News City Public Schools","Crittenden Middle",41,49,2
"Newport News City Public Schools","David A. Dutrow Elementary",26,71,0
"Newport News City Public Schools","Deer Park Elementary",43,49,0
"Newport News City Public Schools","Denbigh High",38,51,3
"Newport News City Public Schools","Discovery STEM Academy",27,60,0
"Newport News City Public Schools","Ella J. Fitzgerald Middle ",42,54,1
"Newport News City Public Schools","Ethel M. Gildersleeve Middle",33,62,2
"Newport News City Public Schools","General Stanford Elementary",38,59,0
"Newport News City Public Schools","George J. McIntosh Elementary ",33,60,0
"Newport News City Public Schools","Heritage High",46,45,2
"Newport News City Public Schools","Hidenwood Elementary",48,45,0
"Newport News City Public Schools","Hilton Elementary",31,65,0
"Newport News City Public Schools","Homer L. Hines Middle",39,45,1
"Newport News City Public Schools","Huntington Middle",41,49,3
"Newport News City Public Schools","John Marshall Early Childhood Center",43,53,0
"Newport News City Public Schools","Joseph H. Saunders Elementary",44,53,0
"Newport News City Public Schools","Katherine Johnson Elementary",43,48,2
"Newport News City Public Schools","Kiln Creek Elementary",41,52,2
"Newport News City Public Schools","Knollwood Meadows Elementary ",43,49,2
"Newport News City Public Schools","L.F. Palmer Elementary ",27,70,0
"Newport News City Public Schools","Mary Passage Middle",36,59,0
"Newport News City Public Schools","Menchville High",36,60,0
"Newport News City Public Schools","Newsome Park Elementary",33,56,0
"Newport News City Public Schools","Oliver C. Greenwood Elementary",26,70,0
"Newport News City Public Schools","Richard T. Yates Elementary",51,34,0
"Newport News City Public Schools","Richneck Elementary",38,50,2
"Newport News City Public Schools","Riverside Elementary",35,54,0
"Newport News City Public Schools","Sedgefield Elementary",28,64,3
"Newport News City Public Schools","Stoney Run Elementary ",52,43,0
"Newport News City Public Schools","T. Ryland Sanford Elementary",34,61,3
"Newport News City Public Schools","Warwick High",39,54,2
"Newport News City Public Schools","Willis A. Jenkins Elementary",26,71,0
"Newport News City Public Schools","Woodside High",34,62,1
"Norfolk City Public Schools","Academy for Discovery at Lakewood",43,55,2
"Norfolk City Public Schools","Azalea Gardens Middle",39,54,3
"Norfolk City Public Schools","Bay View Elementary",26,66,2
"Norfolk City Public Schools","Blair Middle",39,56,1
"Norfolk City Public Schools","Booker T Washington High",24,61,4
"Norfolk City Public Schools","Camp Allen Elementary",36,58,0
"Norfolk City Public Schools","Chesterfield Academy Elementary",34,58,3
"Norfolk City Public Schools","Coleman Place Elementary",51,44,4
"Norfolk City Public Schools","Crossroads Elementary",39,55,4
"Norfolk City Public Schools","Ghent K-8",41,54,2
"Norfolk City Public Schools","Granby Elementary",42,52,0
"Norfolk City Public Schools","Granby High",37,55,1
"Norfolk City Public Schools","Ingleside Elementary",27,67,2
"Norfolk City Public Schools","Jacox Elementary",23,65,3
"Norfolk City Public Schools","James Monroe Elementary",37,55,0
"Norfolk City Public Schools","Lake Taylor",36,58,2
"Norfolk City Public Schools","Lake Taylor High ",40,43,5
"Norfolk City Public Schools","Larchmont Elementary",29,64,0
"Norfolk City Public Schools","Larrymore Elementary",47,49,0
"Norfolk City Public Schools","Lindenwood Elementary",40,57,3
"Norfolk City Public Schools","Little Creek Elementary",48,47,2
"Norfolk City Public Schools","Mary Calcott Elementary",39,50,0
"Norfolk City Public Schools","Matthew Fontaine Maury High",31,64,1
"Norfolk City Public Schools","Northside Middle",46,52,1
"Norfolk City Public Schools","Norview Elementary",35,60,0
"Norfolk City Public Schools","Norview High",37,54,1
"Norfolk City Public Schools","Norview Middle",47,49,0
"Norfolk City Public Schools","Ocean View Elementary",31,65,2
"Norfolk City Public Schools","Oceanair Elementary",33,65,0
"Norfolk City Public Schools","P.B. Young Sr. Elementary ",51,42,5
"Norfolk City Public Schools","Richard Bowling Elementary",43,51,4
"Norfolk City Public Schools","Sewells Point Elementary",42,52,2
"Norfolk City Public Schools","Sherwood Forest Elementary",46,42,0
"Norfolk City Public Schools","Southside STEM Academy at Campostella ",44,48,1
"Norfolk City Public Schools","St. Helena Elementary",23,69,0
"Norfolk City Public Schools","Suburban Park Elementary",36,61,0
"Norfolk City Public Schools","Tanners Creek Elementary",43,51,2
"Norfolk City Public Schools","Tarrallton Elementary",41,47,3
"Norfolk City Public Schools","Tidewater Park Elementary",32,54,8
"Norfolk City Public Schools","Walter Herron Taylor Elementary",26,68,0
"Norfolk City Public Schools","Willard Model Elementary",37,57,0
"Norfolk City Public Schools","William H. Ruffner Middle",47,44,0
"Northampton County Public Schools","Kiptopeke Elementary",65,33,0
"Northampton County Public Schools","Northampton High",56,35,2
"Northampton County Public Schools","Northampton Middle",70,27,0
"Northampton County Public Schools","Occohannock Elementary",62,38,0
"Northumberland County Public Schools","Northumberland Elementary",61,37,0
"Northumberland County Public Schools","Northumberland High",40,51,5
"Northumberland County Public Schools","Northumberland Middle",59,41,0
"Norton City Public Schools","J.I. Burton High ",59,30,0
"Norton City Public Schools","Norton Elementary",49,46,0
"Nottoway County Public Schools","Blackstone Primary",55,42,3
"Nottoway County Public Schools","Crewe Primary",44,56,0
"Nottoway County Public Schools","Nottoway High",41,57,0
"Nottoway County Public Schools","Nottoway Intermediate",50,47,3
"Nottoway County Public Schools","Nottoway Middle",47,53,0
"Orange County Public Schools","Gordon-Barbour Elementary",61,36,0
"Orange County Public Schools","Lightfoot Elementary",64,36,0
"Orange County Public Schools","Locust Grove Elementary",49,49,0
"Orange County Public Schools","Locust Grove Middle",40,58,0
"Orange County Public Schools","Locust Grove Primary",41,56,0
"Orange County Public Schools","Orange County High ",47,44,2
"Orange County Public Schools","Orange Elementary",43,28,0
"Orange County Public Schools","Prospect Heights Middle",48,43,4
"Orange County Public Schools","Unionville Elementary",38,58,0
"Page County Public Schools","Luray Elementary",51,41,3
"Page County Public Schools","Luray High",46,44,2
"Page County Public Schools","Luray Middle",56,44,0
"Page County Public Schools","Page County High",44,43,2
"Page County Public Schools","Page County Middle",59,41,0
"Page County Public Schools","Shenandoah Elementary",59,41,0
"Page County Public Schools","Springfield Elementary",35,65,0
"Page County Public Schools","Stanley Elementary",62,35,0
"Patrick County Public Schools","Blue Ridge Elementary",62,38,0
"Patrick County Public Schools","Hardin Reynolds Memorial School",58,42,0
"Patrick County Public Schools","Meadows of Dan Elementary ",67,33,0
"Patrick County Public Schools","Patrick County High",51,42,1
"Patrick County Public Schools","Patrick Springs Primary",60,36,0
"Patrick County Public Schools","Stuart Elementary",68,30,0
"Patrick County Public Schools","Woolwine Elementary",52,48,0
"Petersburg City Public Schools","Cool Spring Elementary",40,50,5
"Petersburg City Public Schools","Lakemont Elementary",45,48,3
"Petersburg City Public Schools","Petersburg High",48,41,1
"Petersburg City Public Schools","Pleasants Lane Elementary",54,39,2
"Petersburg City Public Schools","Vernon Johns Middle",48,48,3
"Petersburg City Public Schools","Walnut Hill Elementary",59,39,0
"Pittsylvania County Public Schools","Brosville Elementary ",48,52,0
"Pittsylvania County Public Schools","Chatham Elementary",64,28,0
"Pittsylvania County Public Schools","Chatham High",56,40,0
"Pittsylvania County Public Schools","Chatham Middle",55,38,0
"Pittsylvania County Public Schools","Dan River High",57,41,0
"Pittsylvania County Public Schools","Dan River Middle",61,35,0
"Pittsylvania County Public Schools","Gretna Elementary",57,43,0
"Pittsylvania County Public Schools","Gretna High",48,46,0
"Pittsylvania County Public Schools","Gretna Middle",51,44,2
"Pittsylvania County Public Schools","John L. Hurt Elementary",72,28,0
"Pittsylvania County Public Schools","Kentuck Elementary",68,32,0
"Pittsylvania County Public Schools","Mount Airy Elementary",77,23,0
"Pittsylvania County Public Schools","Southside Elementary",70,24,3
"Pittsylvania County Public Schools","Stony Mill Elementary",65,33,0
"Pittsylvania County Public Schools","Tunstall High",49,46,0
"Pittsylvania County Public Schools","Tunstall Middle",55,45,0
"Pittsylvania County Public Schools","Twin Springs Elementary",44,54,0
"Pittsylvania County Public Schools","Union Hall Elementary",67,33,0
"Poquoson City Public Schools","Poquoson Elementary",36,59,3
"Poquoson City Public Schools","Poquoson High",43,55,0
"Poquoson City Public Schools","Poquoson Middle",31,69,0
"Poquoson City Public Schools","Poquoson Primary",46,49,0
"Portsmouth City Public Schools","Brighton Elementary ",40,58,0
"Portsmouth City Public Schools","Churchland Academy Elementary",38,60,0
"Portsmouth City Public Schools","Churchland Elementary",54,39,0
"Portsmouth City Public Schools","Churchland High",54,42,0
"Portsmouth City Public Schools","Churchland Middle",63,32,3
"Portsmouth City Public Schools","Churchland Primary & Intermediate",43,57,0
"Portsmouth City Public Schools","Cradock Elementary",26,72,0
"Portsmouth City Public Schools","Cradock Middle",44,46,4
"Portsmouth City Public Schools","Douglass Park Elementary",40,48,2
"Portsmouth City Public Schools","Hodges Manor Elementary",39,49,2
"Portsmouth City Public Schools","I.C. Norcom High",43,47,3
"Portsmouth City Public Schools","Lakeview Elementary",42,50,8
"Portsmouth City Public Schools","Manor High",47,47,2
"Portsmouth City Public Schools","Park View Elementary",40,49,4
"Portsmouth City Public Schools","Simonsdale Elementary",36,60,0
"Portsmouth City Public Schools","Victory Elementary",58,33,5
"Portsmouth City Public Schools","Waterview Elementary",34,55,4
"Portsmouth City Public Schools","Westhaven Elementary",52,43,2
"Portsmouth City Public Schools","William E. Waters Middle",47,43,6
"Powhatan County Public Schools","Flat Rock Elementary",38,60,2
"Powhatan County Public Schools","Pocahontas Elementary",43,57,0
"Powhatan County Public Schools","Powhatan Elementary",44,56,0
"Powhatan County Public Schools","Powhatan High",42,54,2
"Powhatan County Public Schools","Powhatan Middle",41,55,3
"Prince Edward County Public Schools","Prince Edward County High",42,47,3
"Prince Edward County Public Schools","Prince Edward Elementary",51,48,1
"Prince Edward County Public Schools","Prince Edward Middle",51,44,4
"Prince George County Public Schools","David A. Harrison Elementary",49,46,0
"Prince George County Public Schools","J.E.J. Moore Middle ",56,41,2
"Prince George County Public Schools","L.L. Beazley Elementary",60,40,0
"Prince George County Public Schools","North Elementary",59,39,2
"Prince George County Public Schools","Prince George High",51,45,1
"Prince George County Public Schools","South Elementary",59,41,0
"Prince George County Public Schools","William A. Walton Elementary",61,39,0
"Prince William County Public Schools","A. Henderson Elementary",36,62,2
"Prince William County Public Schools","Antietam Elementary",25,71,2
"Prince William County Public Schools","Ashland Elementary",36,61,0
"Prince William County Public Schools","Battlefield High ",29,68,1
"Prince William County Public Schools","Bel Air Elementary",20,75,0
"Prince William County Public Schools","Belmont Elementary",47,51,0
"Prince William County Public Schools","Bennett Elementary",39,57,0
"Prince William County Public Schools","Brentsville District High",27,71,3
"Prince William County Public Schools","Bristow Run Elementary",29,69,0
"Prince William County Public Schools","Buckland Mills Elementary",33,67,0
"Prince William County Public Schools","Bull Run Middle",18,82,0
"Prince William County Public Schools","C.A. Sinclair Elementary",23,76,0
"Prince William County Public Schools","C.D. Hylton High",29,68,0
"Prince William County Public Schools","Cedar Point Elementary",20,80,0
"Prince William County Public Schools","Charles J. Colgan Sr. High",28,68,3
"Prince William County Public Schools","Chris Yung Elementary",26,74,0
"Prince William County Public Schools","Coles Elementary",24,74,0
"Prince William County Public Schools","Covington-Harper Elementary",40,60,0
"Prince William County Public Schools","Dale City Elementary",34,66,0
"Prince William County Public Schools","Dumfries Elementary",34,61,0
"Prince William County Public Schools","E.H. Marsteller Middle",34,63,2
"Prince William County Public Schools","Elizabeth Vaughan Elementary",37,61,2
"Prince William County Public Schools","Enterprise Elementary",46,49,0
"Prince William County Public Schools","Fannie W. Fitzgerald Elementary",34,65,1
"Prince William County Public Schools","Featherstone Elementary",38,60,2
"Prince William County Public Schools","Forest Park High",28,69,0
"Prince William County Public Schools","Fred M. Lynn Middle",37,61,1
"Prince William County Public Schools","Freedom High ",34,61,3
"Prince William County Public Schools","Gainesville Middle",34,63,1
"Prince William County Public Schools","Gar-Field High",31,63,3
"Prince William County Public Schools","George G. Tyler Elementary",31,69,0
"Prince William County Public Schools","George M. Hampton Middle",40,56,2
"Prince William County Public Schools","George P. Mullen Elementary",36,62,0
"Prince William County Public Schools","Glenkirk Elementary",25,73,0
"Prince William County Public Schools","Graham Park Middle",38,59,0
"Prince William County Public Schools","Haymarket Elementary",37,61,0
"Prince William County Public Schools","Herbert J. Saunders Middle",28,69,2
"Prince William County Public Schools","J.W. Alvey Elementary",31,67,0
"Prince William County Public Schools","John F. Pattie Sr. Elementary",35,63,0
"Prince William County Public Schools","Kerrydale Elementary",58,38,4
"Prince William County Public Schools","Kyle R. Wilson Elementary",36,61,3
"Prince William County Public Schools","Lake Ridge Elementary",47,51,0
"Prince William County Public Schools","Lake Ridge Middle",40,57,1
"Prince William County Public Schools","Leesylvania Elementary",47,50,2
"Prince William County Public Schools","Loch Lomond Elementary",33,67,0
"Prince William County Public Schools","Louise A. Benton Middle",33,66,0
"Prince William County Public Schools","Martin Luther King Jr. Elementary",28,69,0
"Prince William County Public Schools","Marumsco Hills Elementary",35,60,0
"Prince William County Public Schools","Mary G. Porter Traditional",30,66,5
"Prince William County Public Schools","Mary Williams Elementary ",31,61,2
"Prince William County Public Schools","Minnieville Elementary",35,65,0
"Prince William County Public Schools","Montclair Elementary",37,61,0
"Prince William County Public Schools","Mountain View Elementary",28,68,0
"Prince William County Public Schools","Neabsco Elementary",40,57,0
"Prince William County Public Schools","Occoquan Elementary",32,68,0
"Prince William County Public Schools","Old Bridge Elementary",24,74,0
"Prince William County Public Schools","Osbourn Park High",23,70,3
"Prince William County Public Schools","Parkside Middle",41,53,2
"Prince William County Public Schools","Patriot High",24,73,1
"Prince William County Public Schools","Pennington Traditional",40,58,2
"Prince William County Public Schools","Piney Branch Elementary",29,64,2
"Prince William County Public Schools","Potomac High",32,64,1
"Prince William County Public Schools","Potomac Middle",42,50,5
"Prince William County Public Schools","Potomac View Elementary",40,55,0
"Prince William County Public Schools","R. Dean Kilby Elementary",24,68,0
"Prince William County Public Schools","Rippon Middle",30,66,3
"Prince William County Public Schools","River Oaks Elementary",47,52,2
"Prince William County Public Schools","Rockledge Elementary",38,62,0
"Prince William County Public Schools","Ronald Wilson Reagan Middle",26,73,0
"Prince William County Public Schools","Rosa Parks Elementary",27,71,0
"Prince William County Public Schools","Samuel L. Gravely Jr. Elementary",27,69,2
"Prince William County Public Schools","Sharon C. McAuliffe Elementary",32,61,0
"Prince William County Public Schools","Signal Hill Elementary",32,65,0
"Prince William County Public Schools","Sonnie Penn Elementary",30,69,2
"Prince William County Public Schools","Springwoods Elementary",23,75,0
"Prince William County Public Schools","Stuart M. Beville Middle",31,66,0
"Prince William County Public Schools","Sudley Elementary",34,64,0
"Prince William County Public Schools","Suella G. Ellis Elementary",46,48,4
"Prince William County Public Schools","Swans Creek Elementary",35,61,0
"Prince William County Public Schools","T. Clay Wood Elementary",26,72,0
"Prince William County Public Schools","The Nokesville School",35,64,1
"Prince William County Public Schools","Thurgood Marshall Elementary",22,76,0
"Prince William County Public Schools","Triangle Elementary",42,52,0
"Prince William County Public Schools","Unity Braxton Middle ",41,58,1
"Prince William County Public Schools","Unity Reed High",26,70,2
"Prince William County Public Schools","Victory Elementary",35,63,0
"Prince William County Public Schools","West Gate Elementary",33,67,0
"Prince William County Public Schools","Westridge Elementary",36,64,0
"Prince William County Public Schools","Woodbridge High",33,65,1
"Prince William County Public Schools","Woodbridge Middle",32,66,1
"Prince William County Public Schools","Yorkshire Elementary",37,63,0
"Pulaski County Public Schools","Critzer Elementary",69,28,0
"Pulaski County Public Schools","Dublin Elementary",51,49,0
"Pulaski County Public Schools","Pulaski County Senior High",36,54,1
"Pulaski County Public Schools","Pulaski Elementary ",57,40,0
"Pulaski County Public Schools","Riverlawn Elementary",52,48,0
"Pulaski County Public Schools","Snowville Elementary",53,41,0
"Radford City Public Schools","Belle Heth Elementary",44,53,0
"Radford City Public Schools","John N. Dalton Intermediate",32,59,0
"Radford City Public Schools","McHarg Elementary",37,57,3
"Radford City Public Schools","Radford High",33,61,0
"Rappahannock County Public Schools","Rappahannock County Elementary",49,47,0
"Rappahannock County Public Schools","Rappahannock County High",35,63,0
"Richmond City Public Schools","Albert Hill Middle",25,71,2
"Richmond City Public Schools","Amelia Street Special Education",40,40,20
"Richmond City Public Schools","Armstrong High ",36,59,4
"Richmond City Public Schools","Barack Obama Elementary",37,63,0
"Richmond City Public Schools","Bellevue Elementary",41,55,0
"Richmond City Public Schools","Binford Middle",33,62,0
"Richmond City Public Schools","Blackwell Elementary",43,51,3
"Richmond City Public Schools","Broad Rock Elementary",42,58,0
"Richmond City Public Schools","Cardinal Elementary",43,57,0
"Richmond City Public Schools","Chimborazo Elementary",30,67,3
"Richmond City Public Schools","Elizabeth D. Redd Elementary",20,77,3
"Richmond City Public Schools","Fairfield Court Elementary",44,53,3
"Richmond City Public Schools","Franklin Military Academy",41,46,5
"Richmond City Public Schools","G.H. Reid Elementary",44,56,0
"Richmond City Public Schools","George W. Carver Elementary",56,38,5
"Richmond City Public Schools","George Wythe High",51,44,1
"Richmond City Public Schools","Ginter Park Elementary",36,64,0
"Richmond City Public Schools","Henderson Middle",48,48,4
"Richmond City Public Schools","Henry Marsh III Elementary",42,58,0
"Richmond City Public Schools","Huguenot High",42,53,3
"Richmond City Public Schools","J.B. Fisher Elementary",39,61,0
"Richmond City Public Schools","J.L. Francis Elementary",34,60,3
"Richmond City Public Schools","John B. Cary Elementary",33,67,0
"Richmond City Public Schools","John Marshall High",40,54,2
"Richmond City Public Schools","Linwood Holton Elementary",32,66,0
"Richmond City Public Schools","Lucille M. Brown Middle",48,48,3
"Richmond City Public Schools","Martin Luther King Jr. Middle ",47,45,2
"Richmond City Public Schools","Mary Munford Elementary",27,73,0
"Richmond City Public Schools","Miles Jones Elementary",37,63,0
"Richmond City Public Schools","Oak Grove/Bellemeade Elementary",35,63,0
"Richmond City Public Schools","Open High",24,76,0
"Richmond City Public Schools","Overby-Sheppard Elementary",46,54,0
"Richmond City Public Schools","Patrick Henry School Of Science And Arts",32,68,0
"Richmond City Public Schools","Richmond Alternative",56,44,0
"Richmond City Public Schools","Richmond Career Education and Employment Charter School",14,86,0
"Richmond City Public Schools","Richmond Community High",25,71,4
"Richmond City Public Schools","River City Middle",44,53,0
"Richmond City Public Schools","Southampton Elementary",31,62,0
"Richmond City Public Schools","Swansboro Elementary",23,68,9
"Richmond City Public Schools","Thomas C. Boushall Middle",47,44,4
"Richmond City Public Schools","Thomas Jefferson High",41,59,0
"Richmond City Public Schools","Westover Hills Elementary",35,61,3
"Richmond City Public Schools","William Fox Elementary",28,72,0
"Richmond City Public Schools","Woodville Elementary",69,25,0
"Richmond County Public Schools","Rappahannock High",52,43,0
"Richmond County Public Schools","Richmond County Elementary",56,44,0
"Roanoke City Public Schools","Addison Aerospace Magnet Middle",38,55,0
"Roanoke City Public Schools","Breckinridge Middle",39,59,0
"Roanoke City Public Schools","Crystal Spring Elementary",57,43,0
"Roanoke City Public Schools","Fairview Elementary",70,27,0
"Roanoke City Public Schools","Fallon Park Elementary",54,43,2
"Roanoke City Public Schools","Fishburn Park Elementary",48,52,0
"Roanoke City Public Schools","Garden City Elementary",59,33,0
"Roanoke City Public Schools","Grandin Court Elementary",57,43,0
"Roanoke City Public Schools","Highland Park Elementary",68,26,3
"Roanoke City Public Schools","Hurt Park Elementary",42,53,0
"Roanoke City Public Schools","James Madison Middle",49,49,0
"Roanoke City Public Schools","John P. Fishwick Middle",42,52,0
"Roanoke City Public Schools","Lincoln Terrace Elementary",50,44,0
"Roanoke City Public Schools","Monterey Elementary",59,38,0
"Roanoke City Public Schools","Morningside Elementary",56,44,0
"Roanoke City Public Schools","Patrick Henry High",37,57,1
"Roanoke City Public Schools","Preston Park Elementary",50,47,0
"Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary",43,48,0
"Roanoke City Public Schools","Round Hill Elementary",65,33,2
"Roanoke City Public Schools","Virginia Heights Elementary",48,48,0
"Roanoke City Public Schools","Wasena Elementary",70,30,0
"Roanoke City Public Schools","Westside Elementary",56,40,2
"Roanoke City Public Schools","William Fleming High",42,52,1
"Roanoke City Public Schools","Woodrow Wilson Middle",44,53,2
"Roanoke County Public Schools","Back Creek Elementary",40,58,0
"Roanoke County Public Schools","Bonsack Elementary",43,54,0
"Roanoke County Public Schools","Burlington Elementary",37,59,0
"Roanoke County Public Schools","Cave Spring Elementary",34,64,0
"Roanoke County Public Schools","Cave Spring High",30,67,0
"Roanoke County Public Schools","Cave Spring Middle",40,57,1
"Roanoke County Public Schools","Clearbrook Elementary",26,67,0
"Roanoke County Public Schools","Fort Lewis Elementary",36,62,0
"Roanoke County Public Schools","Glen Cove Elementary",37,60,0
"Roanoke County Public Schools","Glenvar Elementary",41,57,0
"Roanoke County Public Schools","Glenvar High",34,61,1
"Roanoke County Public Schools","Glenvar Middle",41,53,1
"Roanoke County Public Schools","Green Valley Elementary",44,54,0
"Roanoke County Public Schools","Herman L. Horn Elementary",39,59,0
"Roanoke County Public Schools","Hidden Valley High",27,69,1
"Roanoke County Public Schools","Hidden Valley Middle",33,64,0
"Roanoke County Public Schools","Mason's Cove Elementary",29,66,0
"Roanoke County Public Schools","Mount Pleasant Elementary",44,53,0
"Roanoke County Public Schools","Mountain View Elementary",40,56,0
"Roanoke County Public Schools","Northside High",34,64,0
"Roanoke County Public Schools","Northside Middle",41,55,3
"Roanoke County Public Schools","Oak Grove Elementary",34,60,2
"Roanoke County Public Schools","Penn Forest Elementary",36,60,0
"Roanoke County Public Schools","W.E. Cundiff Elementary",48,47,2
"Roanoke County Public Schools","William Byrd High",37,61,0
"Roanoke County Public Schools","William Byrd Middle",42,54,0
"Rockbridge County Public Schools","Central Elementary",44,54,0
"Rockbridge County Public Schools","Fairfield Elementary",35,62,0
"Rockbridge County Public Schools","Maury River Middle",48,50,2
"Rockbridge County Public Schools","Mountain View Elementary",40,50,5
"Rockbridge County Public Schools","Natural Bridge Elementary",37,57,0
