"Division","School","Title1.Code","Percent.of.Inexperienced.Teachers","Percent.of.Out.of.Field.Teachers"
"King and Queen County Public Schools","King & Queen Elementary","Title I",7.7,11.5
"King and Queen County Public Schools","Lawson-Marriott Elementary","Title I",0,0
"Lancaster County Public Schools","Lancaster High","Non-Title I",10,3.3
"Lancaster County Public Schools","Lancaster Middle","Non-Title I",13.8,3.4
"Lancaster County Public Schools","Lancaster Primary","Title I",3.8,0
"Lee County Public Schools","Dryden Elementary","Title I",4,12
"Lee County Public Schools","Elk Knob Elementary","Title I",0,4.2
"Lee County Public Schools","Elydale Middle","Title I",13.3,26.7
"Lee County Public Schools","Flatwoods Elementary","Title I",0,0
"Lee County Public Schools","Jonesville Middle","Title I",3.6,7.1
"Lee County Public Schools","Lee High","Non-Title I",8.8,12.5
"Lee County Public Schools","Pennington Middle","Title I",2.9,11.4
"Lee County Public Schools","Rose Hill Elementary","Title I",0,0
"Lee County Public Schools","St. Charles Elementary","Title I",0,0
"Lee County Public Schools","Thomas Walker High","Non-Title I",5.9,17.6
"Lexington City Public Schools","Harrington Waddell Elementary","Title I",0,0
"Lexington City Public Schools","Lylburn Downing Middle","Non-Title I",5.9,5.9
"Loudoun County Public Schools","Aldie Elementary","Non-Title I",5.6,0
"Loudoun County Public Schools","Algonkian Elementary","Non-Title I",2.1,0
"Loudoun County Public Schools","Arcola Elementary","Non-Title I",1.2,0
"Loudoun County Public Schools","Ashburn Elementary","Non-Title I",5.5,0
"Loudoun County Public Schools","Ball's Bluff Elementary","Non-Title I",2,0
"Loudoun County Public Schools","Banneker Elementary","Non-Title I",8.7,0
"Loudoun County Public Schools","Belmont Ridge Middle","Non-Title I",2.9,1
"Loudoun County Public Schools","Belmont Station Elementary ","Non-Title I",1.4,1.4
"Loudoun County Public Schools","Blue Ridge Middle","Non-Title I",1.1,0
"Loudoun County Public Schools","Brambleton Middle","Non-Title I",2.4,1.6
"Loudoun County Public Schools","Briar Woods High ","Non-Title I",0.7,0.7
"Loudoun County Public Schools","Broad Run High","Non-Title I",1.5,0.8
"Loudoun County Public Schools","Buffalo Trail Elementary","Non-Title I",3.8,0
"Loudoun County Public Schools","Cardinal Ridge Elementary ","Non-Title I",6.9,1.4
"Loudoun County Public Schools","Catoctin Elementary","Non-Title I",9.1,0
"Loudoun County Public Schools","Cedar Lane Elementary","Non-Title I",0,1.4
"Loudoun County Public Schools","Cool Spring Elementary","Non-Title I",1.8,0
"Loudoun County Public Schools","Countryside Elementary","Non-Title I",7.1,0
"Loudoun County Public Schools","Creighton's Corner Elementary","Non-Title I",0,1.1
"Loudoun County Public Schools","Discovery Elementary","Non-Title I",1.4,0
"Loudoun County Public Schools","Dominion High","Non-Title I",1.4,2.1
"Loudoun County Public Schools","Dominion Trail Elementary","Non-Title I",1.6,0
"Loudoun County Public Schools","Eagle Ridge Middle","Non-Title I",0,4
"Loudoun County Public Schools","Emerick Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Evergreen Mill Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Farmwell Station Middle","Non-Title I",3.1,0
"Loudoun County Public Schools","Forest Grove Elementary","Title I",3.3,0
"Loudoun County Public Schools","Frances Hazel Reid Elementary","Non-Title I",3.2,0
"Loudoun County Public Schools","Frederick Douglass Elementary","Non-Title I",5.1,0
"Loudoun County Public Schools","Freedom High ","Non-Title I",5.8,6.4
"Loudoun County Public Schools","Goshen Post Elementary","Non-Title I",5.2,0
"Loudoun County Public Schools","Guilford Elementary","Title I",8.6,0
"Loudoun County Public Schools","Hamilton Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Harmony Middle","Non-Title I",1,1.9
"Loudoun County Public Schools","Harper Park Middle","Non-Title I",3,3
"Loudoun County Public Schools","Heritage High","Non-Title I",0.7,4.1
"Loudoun County Public Schools","Hillside Elementary","Non-Title I",7.4,1.9
"Loudoun County Public Schools","Horizon Elementary","Non-Title I",14.3,1.8
"Loudoun County Public Schools","Hutchison Farm Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Independence High","Non-Title I",3.1,7
"Loudoun County Public Schools","J. Lupton Simpson Middle","Non-Title I",0.9,2.8
"Loudoun County Public Schools","J. Michael Lunsford Middle","Non-Title I",2.5,2.5
"Loudoun County Public Schools","John Champe High","Non-Title I",4.6,2
"Loudoun County Public Schools","John W. Tolbert Jr. Elementary ","Non-Title I",3.2,0
"Loudoun County Public Schools","Kenneth W.Culbert Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Leesburg Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Legacy Elementary ","Non-Title I",5.2,1.3
"Loudoun County Public Schools","Liberty Elementary","Non-Title I",2.5,0
"Loudoun County Public Schools","Lincoln Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Little River Elementary","Non-Title I",1.4,0
"Loudoun County Public Schools","Loudoun County High","Non-Title I",2.2,1.5
"Loudoun County Public Schools","Loudoun Valley High","Non-Title I",2.7,1.8
"Loudoun County Public Schools","Lovettsville Elementary","Non-Title I",0,3.6
"Loudoun County Public Schools","Lowes Island Elementary","Non-Title I",1.9,0
"Loudoun County Public Schools","Lucketts Elementary","Non-Title I",0,3.1
"Loudoun County Public Schools","Madison's Trust Elementary","Non-Title I",1.1,0
"Loudoun County Public Schools","Meadowland Elementary","Non-Title I",8.2,2
"Loudoun County Public Schools","Mercer Middle ","Non-Title I",4.8,1.9
"Loudoun County Public Schools","Mill Run Elementary","Non-Title I",4.5,0
"Loudoun County Public Schools","Moorefield Station Elementary","Non-Title I",2.4,0
"Loudoun County Public Schools","Mountain View Elementary","Non-Title I",4.9,0
"Loudoun County Public Schools","Newton-Lee Elementary ","Non-Title I",1.6,0
"Loudoun County Public Schools","Park View High","Title I",5.9,2.6
"Loudoun County Public Schools","Pinebrook Elementary","Non-Title I",2.7,1.3
"Loudoun County Public Schools","Potomac Falls High","Non-Title I",3.5,5.6
"Loudoun County Public Schools","Potowmack Elementary","Non-Title I",8.6,0
"Loudoun County Public Schools","River Bend Middle","Non-Title I",3.6,1.8
"Loudoun County Public Schools","Riverside High","Non-Title I",1.9,5.2
"Loudoun County Public Schools","Rock Ridge High","Non-Title I",1.8,8.8
"Loudoun County Public Schools","Rolling Ridge Elementary","Title I",1.5,0
"Loudoun County Public Schools","Rosa Lee Carter Elementary","Non-Title I",2.6,2.6
"Loudoun County Public Schools","Round Hill Elementary","Non-Title I",1.9,0
"Loudoun County Public Schools","Sanders Corner Elementary","Non-Title I",4.5,2.3
"Loudoun County Public Schools","Seldens Landing Elementary","Non-Title I",3.2,0
"Loudoun County Public Schools","Seneca Ridge Middle","Non-Title I",1.8,2.7
"Loudoun County Public Schools","Smart's Mill Middle ","Non-Title I",2,2
"Loudoun County Public Schools","Sterling Elementary","Title I",5.8,0
"Loudoun County Public Schools","Sterling Middle","Title I",9.7,4
"Loudoun County Public Schools","Steuart W. Weller Elementary","Non-Title I",6.2,1.5
"Loudoun County Public Schools","Stone Bridge High","Non-Title I",6.4,5.8
"Loudoun County Public Schools","Stone Hill Middle","Non-Title I",3.2,2.1
"Loudoun County Public Schools","Sugarland Elementary","Title I",6.3,0
"Loudoun County Public Schools","Sully Elementary","Title I",3.4,0
"Loudoun County Public Schools","Sycolin Creek Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Trailside Middle","Non-Title I",1.9,2.9
"Loudoun County Public Schools","Tuscarora High","Non-Title I",2.9,8.7
"Loudoun County Public Schools","Waterford Elementary","Non-Title I",0,0
"Loudoun County Public Schools","Waxpool Elementary","Non-Title I",5.4,1.4
"Loudoun County Public Schools","Willard Middle","Non-Title I",2.8,2.8
"Loudoun County Public Schools","Woodgrove High","Non-Title I",0.7,1.4
"Louisa County Public Schools","Jouett Elementary","Title I",9.4,1.9
"Louisa County Public Schools","Louisa County High","Non-Title I",3.9,3.9
"Louisa County Public Schools","Louisa County Middle","Non-Title I",6.9,1
"Louisa County Public Schools","Moss-Nuckols Elementary","Title I",5.3,0
"Louisa County Public Schools","Thomas Jefferson Elementary","Title I",3.4,0
"Louisa County Public Schools","Trevilians Elementary","Title I",2.2,2.2
"Lunenburg County Public Schools","Central High","Non-Title I",4.5,9.1
"Lunenburg County Public Schools","Kenbridge Elementary","Title I",6.5,3.2
"Lunenburg County Public Schools","Lunenburg Middle","Non-Title I",8.1,10.8
"Lunenburg County Public Schools","Victoria Elementary","Title I",3.3,3.3
"Lynchburg City Public Schools","Bedford Hills Elementary","Title I",5.9,0
"Lynchburg City Public Schools","Dearington Elementary/Innovation ","Title I",13.6,0
"Lynchburg City Public Schools","E.C. Glass High ","Non-Title I",7.6,0.8
"Lynchburg City Public Schools","Heritage Elementary","Title I",3.4,0
"Lynchburg City Public Schools","Heritage High","Non-Title I",5.7,2.8
"Lynchburg City Public Schools","Linkhorne Elementary","Title I",10.3,0
"Lynchburg City Public Schools","Linkhorne Middle","Non-Title I",2,3.9
"Lynchburg City Public Schools","Paul Laurence Dunbar Middle for Innovation ","Non-Title I",6.6,9.8
"Lynchburg City Public Schools","Paul Munro Elementary","Title I",0,0
"Lynchburg City Public Schools","Perrymont Elementary","Title I",3.7,0
"Lynchburg City Public Schools","Robert S. Payne Elementary","Title I",7.9,2.6
"Lynchburg City Public Schools","Sandusky Elementary","Title I",4.2,0
"Lynchburg City Public Schools","Sandusky Middle","Non-Title I",4,8
"Lynchburg City Public Schools","Sheffield Elementary","Title I",3.2,0
"Lynchburg City Public Schools","T.C. Miller Elementary for Innovation","Title I",10.5,0
"Lynchburg City Public Schools","William M. Bass Elementary","Title I",5.9,0
"Madison County Public Schools","Madison County High","Non-Title I",7.1,9.5
"Madison County Public Schools","Madison Primary","Title I",0,3.6
"Madison County Public Schools","Waverly Yowell Elementary","Title I",0,0
"Madison County Public Schools","William H. Wetsel Middle","Non-Title I",9.1,21.2
"Manassas City Public Schools","Baldwin Elementary","Title I",6.9,0
"Manassas City Public Schools","Baldwin Intermediate","Non-Title I",0,0
"Manassas City Public Schools","George Carr Round Elementary","Title I",7.7,0
"Manassas City Public Schools","Grace E. Metz Middle ","Non-Title I",11.8,2.2
"Manassas City Public Schools","Jennie Dean Elementary","Title I",3.8,0
"Manassas City Public Schools","Mayfield Intermediate","Non-Title I",8.6,2.9
"Manassas City Public Schools","Osbourn High","Non-Title I",4.4,11.3
"Manassas City Public Schools","Richard C. Haydon Elementary","Title I",6.4,4.3
"Manassas City Public Schools","Weems Elementary","Title I",2,0
"Manassas Park City Public Schools","Cougar Elementary","Title I",7.2,1.4
"Manassas Park City Public Schools","Manassas Park Elementary","Title I",3.1,0
"Manassas Park City Public Schools","Manassas Park High","Non-Title I",8.6,2.5
"Manassas Park City Public Schools","Manassas Park Middle","Non-Title I",10.9,1.6
"Martinsville City Public Schools","Albert Harris Elementary","Title I",5.1,5.1
"Martinsville City Public Schools","Martinsville High","Non-Title I",17.6,13.7
"Martinsville City Public Schools","Martinsville Middle","Title I",5.3,2.6
"Martinsville City Public Schools","Patrick Henry Elementary","Title I",8.8,0
"Mathews County Public Schools","Mathews Elementary","Title I",6.9,0
"Mathews County Public Schools","Mathews High","Non-Title I",2.9,2.9
"Mathews County Public Schools","Thomas Hunter Middle","Non-Title I",3.2,6.5
"Mecklenburg County Public Schools","Bluestone  High","Non-Title I",0,15.2
"Mecklenburg County Public Schools","Bluestone Middle","Non-Title I",5.4,5.4
"Mecklenburg County Public Schools","Chase City Elementary","Title I",3.3,3.3
"Mecklenburg County Public Schools","Clarksville Elementary","Title I",6.3,0
"Mecklenburg County Public Schools","LaCrosse Elementary ","Title I",0,0
"Mecklenburg County Public Schools","Park View High","Non-Title I",4.5,19.7
"Mecklenburg County Public Schools","Park View Middle","Non-Title I",0,8.2
"Mecklenburg County Public Schools","South Hill Elementary","Title I",7.1,0
"Middlesex County Public Schools","Middlesex Elementary","Title I",0,0
"Middlesex County Public Schools","Middlesex High","Non-Title I",2.8,22.2
"Middlesex County Public Schools","St. Clare Walker Middle","Non-Title I",0,7.7
"Montgomery County Public Schools","Auburn Elementary","Title I",5.8,0
"Montgomery County Public Schools","Auburn High","Non-Title I",4.3,0
"Montgomery County Public Schools","Auburn Middle","Non-Title I",2.6,2.6
"Montgomery County Public Schools","Belview Elementary","Title I",9.7,0
"Montgomery County Public Schools","Blacksburg High","Non-Title I",2,2
"Montgomery County Public Schools","Blacksburg Middle","Non-Title I",3.6,1.2
"Montgomery County Public Schools","Christiansburg Elementary","Title I",7.7,0
"Montgomery County Public Schools","Christiansburg High","Non-Title I",5,1
"Montgomery County Public Schools","Christiansburg Middle","Non-Title I",7.7,0
"Montgomery County Public Schools","Christiansburg Primary","Title I",0,0
"Montgomery County Public Schools","Eastern Montgomery Elementary","Title I",6.3,0
"Montgomery County Public Schools","Eastern Montgomery High","Non-Title I",6.4,4.3
"Montgomery County Public Schools","Falling Branch Elementary","Title I",7.3,0
"Montgomery County Public Schools","Gilbert Linkous Elementary","Non-Title I",3.2,0
"Montgomery County Public Schools","Harding Avenue Elementary","Non-Title I",6.3,0
"Montgomery County Public Schools","Kipps Elementary","Non-Title I",10.8,0
"Montgomery County Public Schools","Margaret Beeks Elementary","Non-Title I",2.7,0
"Montgomery County Public Schools","Prices Fork Elementary","Title I",2.1,0
"Montgomery County Public Schools","Shawsville Middle","Non-Title I",8.8,2.9
"Nelson County Public Schools","Nelson County High","Non-Title I",0,0
"Nelson County Public Schools","Nelson Middle","Non-Title I",7.7,0
"Nelson County Public Schools","Rockfish River Elementary","Title I",0,0
"Nelson County Public Schools","Tye River Elementary","Title I",8.1,0
"New Kent County Public Schools","George W. Watkins Elementary","Title I",1.9,0
"New Kent County Public Schools","New Kent Elementary ","Title I",5.5,0
"New Kent County Public Schools","New Kent High ","Non-Title I",2.7,0
"New Kent County Public Schools","New Kent Middle ","Non-Title I",4.8,0
"Newport News City Public Schools","Achievable Dream Academy","Title I",2,3.9
"Newport News City Public Schools","Achievable Dream Middle/High ","Non-Title I",2.6,2.6
"Newport News City Public Schools","B.C. Charles Elementary ","Non-Title I",0,6.1
"Newport News City Public Schools","B.T. Washington Middle ","Non-Title I",0,2.9
"Newport News City Public Schools","Carver Elementary","Title I",9.4,1.9
"Newport News City Public Schools","Crittenden Middle","Non-Title I",3.6,6
"Newport News City Public Schools","David A. Dutrow Elementary","Non-Title I",5.6,0
"Newport News City Public Schools","Deer Park Elementary","Non-Title I",3.1,0
"Newport News City Public Schools","Denbigh High","Non-Title I",3.6,5.4
"Newport News City Public Schools","Discovery STEM Academy","Title I",2.2,0
"Newport News City Public Schools","Ella J. Fitzgerald Middle ","Non-Title I",4.5,6.8
"Newport News City Public Schools","Ethel M. Gildersleeve Middle","Non-Title I",3.2,5.3
"Newport News City Public Schools","General Stanford Elementary","Non-Title I",0,0
"Newport News City Public Schools","George J. McIntosh Elementary ","Title I",2.6,2.6
"Newport News City Public Schools","Heritage High","Non-Title I",3.2,6.4
"Newport News City Public Schools","Hidenwood Elementary","Title I",7.9,2.6
"Newport News City Public Schools","Hilton Elementary","Non-Title I",7.1,3.6
"Newport News City Public Schools","Homer L. Hines Middle","Non-Title I",5.1,10.1
"Newport News City Public Schools","Huntington Middle","Non-Title I",0,11.8
"Newport News City Public Schools","John Marshall Early Childhood Center","Title I",0,0
"Newport News City Public Schools","Joseph H. Saunders Elementary","Title I",4,6
"Newport News City Public Schools","Katherine Johnson Elementary","Title I",7.1,0
"Newport News City Public Schools","Kiln Creek Elementary","Non-Title I",0,0
"Newport News City Public Schools","Knollwood Meadows Elementary ","Non-Title I",7.9,2.6
"Newport News City Public Schools","L.F. Palmer Elementary ","Title I",2.9,0
"Newport News City Public Schools","Mary Passage Middle","Non-Title I",9.9,4.9
"Newport News City Public Schools","Menchville High","Non-Title I",2.4,5.6
"Newport News City Public Schools","Newsome Park Elementary","Title I",7.5,7.5
"Newport News City Public Schools","Oliver C. Greenwood Elementary","Title I",0,0
"Newport News City Public Schools","Richard T. Yates Elementary","Non-Title I",0,0
"Newport News City Public Schools","Richneck Elementary","Non-Title I",4.9,0
"Newport News City Public Schools","Riverside Elementary","Non-Title I",8.1,0
"Newport News City Public Schools","Sedgefield Elementary","Title I",5.6,5.6
"Newport News City Public Schools","Stoney Run Elementary ","Title I",2.3,7
"Newport News City Public Schools","T. Ryland Sanford Elementary","Title I",0,2.9
"Newport News City Public Schools","Warwick High","Non-Title I",1.7,4.2
"Newport News City Public Schools","Willis A. Jenkins Elementary","Title I",6.5,0
"Newport News City Public Schools","Woodside High","Non-Title I",0.7,2.2
"Norfolk City Public Schools","Academy for Discovery at Lakewood","Non-Title I",0,0
"Norfolk City Public Schools","Azalea Gardens Middle","Non-Title I",3.1,3.1
"Norfolk City Public Schools","Bay View Elementary","Title I",4.8,0
"Norfolk City Public Schools","Blair Middle","Non-Title I",3,4
"Norfolk City Public Schools","Booker T Washington High","Title I",3.5,4.7
"Norfolk City Public Schools","Camp Allen Elementary","Title I",2.6,0
"Norfolk City Public Schools","Chesterfield Academy Elementary","Title I",2.9,14.3
"Norfolk City Public Schools","Coleman Place Elementary","Title I",11.1,3.7
"Norfolk City Public Schools","Crossroads Elementary","Title I",5.3,0
"Norfolk City Public Schools","Ghent K-8","Non-Title I",0,4.7
"Norfolk City Public Schools","Granby Elementary","Title I",6.5,0
"Norfolk City Public Schools","Granby High","Non-Title I",4.8,2.8
"Norfolk City Public Schools","Ingleside Elementary","Title I",2.5,2.5
"Norfolk City Public Schools","Jacox Elementary","Title I",3.4,3.4
"Norfolk City Public Schools","James Monroe Elementary","Title I",15.2,12.1
"Norfolk City Public Schools","Lake Taylor","Title I",3.6,5.4
"Norfolk City Public Schools","Lake Taylor High ","Non-Title I",2.2,10.8
"Norfolk City Public Schools","Larchmont Elementary","Non-Title I",5.6,0
"Norfolk City Public Schools","Larrymore Elementary","Title I",2.2,2.2
"Norfolk City Public Schools","Lindenwood Elementary","Title I",3.3,6.7
"Norfolk City Public Schools","Little Creek Elementary","Title I",5.2,3.4
"Norfolk City Public Schools","Mary Calcott Elementary","Title I",7,4.7
"Norfolk City Public Schools","Matthew Fontaine Maury High","Non-Title I",4.2,10.1
"Norfolk City Public Schools","Northside Middle","Non-Title I",4.4,2.9
"Norfolk City Public Schools","Norview Elementary","Title I",7.5,0
"Norfolk City Public Schools","Norview High","Non-Title I",2.3,6.8
"Norfolk City Public Schools","Norview Middle","Title I",11.3,7.2
"Norfolk City Public Schools","Ocean View Elementary","Title I",4.3,4.3
"Norfolk City Public Schools","Oceanair Elementary","Title I",4.5,6.8
"Norfolk City Public Schools","P.B. Young Sr. Elementary ","Title I",3.1,0
"Norfolk City Public Schools","Richard Bowling Elementary","Title I",2.1,6.3
"Norfolk City Public Schools","Sewells Point Elementary","Title I",6.3,0
"Norfolk City Public Schools","Sherwood Forest Elementary","Title I",2.6,2.6
"Norfolk City Public Schools","Southside STEM Academy at Campostella ","Title I",4.1,4.1
"Norfolk City Public Schools","St. Helena Elementary","Title I",9.4,6.3
"Norfolk City Public Schools","Suburban Park Elementary","Title I",0,4.5
"Norfolk City Public Schools","Tanners Creek Elementary","Title I",2.1,10.4
"Norfolk City Public Schools","Tarrallton Elementary","Title I",9.1,0
"Norfolk City Public Schools","Tidewater Park Elementary","Title I",10,10
"Norfolk City Public Schools","Walter Herron Taylor Elementary","Non-Title I",0,0
"Norfolk City Public Schools","Willard Model Elementary","Title I",9.1,0
"Norfolk City Public Schools","William H. Ruffner Middle","Title I",2,7.8
"Northampton County Public Schools","Kiptopeke Elementary","Title I",12.5,0
"Northampton County Public Schools","Northampton High","Non-Title I",9.1,0
"Northampton County Public Schools","Northampton Middle","Non-Title I",13.8,0
"Northampton County Public Schools","Occohannock Elementary","Title I",22.7,4.5
"Northumberland County Public Schools","Northumberland Elementary","Title I",7.7,1.9
"Northumberland County Public Schools","Northumberland High","Non-Title I",0,2.4
"Northumberland County Public Schools","Northumberland Middle","Non-Title I",8.3,5.6
"Norton City Public Schools","J.I. Burton High ","Non-Title I",8.7,17.4
"Norton City Public Schools","Norton Elementary","Title I",5.6,8.3
"Nottoway County Public Schools","Blackstone Primary","Title I",5.4,0
"Nottoway County Public Schools","Crewe Primary","Title I",0,2.9
"Nottoway County Public Schools","Nottoway High","Non-Title I",0,4.4
"Nottoway County Public Schools","Nottoway Intermediate","Title I",3.6,7.1
"Nottoway County Public Schools","Nottoway Middle","Title I",7.1,14.3
"Orange County Public Schools","Gordon-Barbour Elementary","Title I",0,0
"Orange County Public Schools","Lightfoot Elementary","Title I",3.4,6.9
"Orange County Public Schools","Locust Grove Elementary","Non-Title I",0,6.1
"Orange County Public Schools","Locust Grove Middle","Non-Title I",4.3,4.3
"Orange County Public Schools","Locust Grove Primary","Non-Title I",0,0
"Orange County Public Schools","Orange County High ","Non-Title I",3.8,6.6
"Orange County Public Schools","Orange Elementary","Title I",7.4,0
"Orange County Public Schools","Prospect Heights Middle","Non-Title I",0,4.4
"Orange County Public Schools","Unionville Elementary","Title I",4.2,4.2
"Page County Public Schools","Luray Elementary","Title I",25,0
"Page County Public Schools","Luray High","Non-Title I",13.6,4.5
"Page County Public Schools","Luray Middle","Non-Title I",10.3,7.7
"Page County Public Schools","Page County High","Non-Title I",5.7,5.7
"Page County Public Schools","Page County Middle","Non-Title I",8.6,2.9
"Page County Public Schools","Shenandoah Elementary","Title I",13.3,3.3
"Page County Public Schools","Springfield Elementary","Title I",10,5
"Page County Public Schools","Stanley Elementary","Title I",10,3.3
"Patrick County Public Schools","Blue Ridge Elementary","Title I",0,4.2
"Patrick County Public Schools","Hardin Reynolds Memorial School","Title I",5.3,15.8
"Patrick County Public Schools","Meadows of Dan Elementary ","Title I",0,0
"Patrick County Public Schools","Patrick County High","Non-Title I",1.4,4.1
"Patrick County Public Schools","Patrick Springs Primary","Title I",4.5,4.5
"Patrick County Public Schools","Stuart Elementary","Title I",0,3.2
"Patrick County Public Schools","Woolwine Elementary","Title I",5.9,0
"Petersburg City Public Schools","Cool Spring Elementary","Title I",15,20
"Petersburg City Public Schools","Lakemont Elementary","Title I",8.3,2.8
"Petersburg City Public Schools","Petersburg High","Non-Title I",2.5,12.3
"Petersburg City Public Schools","Pleasants Lane Elementary","Title I",9.5,2.4
"Petersburg City Public Schools","Vernon Johns Middle","Title I",21.7,8.3
"Petersburg City Public Schools","Walnut Hill Elementary","Title I",10.8,5.4
"Pittsylvania County Public Schools","Brosville Elementary ","Title I",0,0
"Pittsylvania County Public Schools","Chatham Elementary","Title I",4.8,0
"Pittsylvania County Public Schools","Chatham High","Non-Title I",4.1,2
"Pittsylvania County Public Schools","Chatham Middle","Title I",12.2,0
"Pittsylvania County Public Schools","Dan River High","Non-Title I",5.2,1.7
"Pittsylvania County Public Schools","Dan River Middle","Title I",6.5,2.2
"Pittsylvania County Public Schools","Gretna Elementary","Title I",2.6,0
"Pittsylvania County Public Schools","Gretna High","Non-Title I",8.5,4.3
"Pittsylvania County Public Schools","Gretna Middle","Title I",12.2,2.4
"Pittsylvania County Public Schools","John L. Hurt Elementary","Title I",8.7,0
"Pittsylvania County Public Schools","Kentuck Elementary","Title I",2.6,0
"Pittsylvania County Public Schools","Mount Airy Elementary","Title I",11.1,0
"Pittsylvania County Public Schools","Southside Elementary","Title I",0,0
"Pittsylvania County Public Schools","Stony Mill Elementary","Title I",5.9,0
"Pittsylvania County Public Schools","Tunstall High","Non-Title I",4.7,4.7
"Pittsylvania County Public Schools","Tunstall Middle","Non-Title I",7.8,3.9
"Pittsylvania County Public Schools","Twin Springs Elementary","Non-Title I",2.1,0
"Pittsylvania County Public Schools","Union Hall Elementary","Title I",5.9,0
"Poquoson City Public Schools","Poquoson Elementary","Title I",0,0
"Poquoson City Public Schools","Poquoson High","Non-Title I",0,1.6
"Poquoson City Public Schools","Poquoson Middle","Non-Title I",0,0
"Poquoson City Public Schools","Poquoson Primary","Non-Title I",0,0
"Portsmouth City Public Schools","Brighton Elementary ","Title I",2.6,0
"Portsmouth City Public Schools","Churchland Academy Elementary","Title I",13,11.1
"Portsmouth City Public Schools","Churchland Elementary","Non-Title I",3.6,3.6
"Portsmouth City Public Schools","Churchland High","Non-Title I",1.9,5.7
"Portsmouth City Public Schools","Churchland Middle","Non-Title I",0,1.5
"Portsmouth City Public Schools","Churchland Primary & Intermediate","Title I",2.7,5.4
"Portsmouth City Public Schools","Cradock Elementary","Title I",0,6
"Portsmouth City Public Schools","Cradock Middle","Non-Title I",4.3,6.5
"Portsmouth City Public Schools","Douglass Park Elementary","Title I",6,12
"Portsmouth City Public Schools","Hodges Manor Elementary","Title I",2.6,23.1
"Portsmouth City Public Schools","I.C. Norcom High","Non-Title I",3.3,5.6
"Portsmouth City Public Schools","Lakeview Elementary","Title I",5.9,8.8
"Portsmouth City Public Schools","Manor High","Non-Title I",2.8,3.7
"Portsmouth City Public Schools","Park View Elementary","Title I",7.9,7.9
"Portsmouth City Public Schools","Simonsdale Elementary","Title I",5.7,1.9
"Portsmouth City Public Schools","Victory Elementary","Title I",7.7,0
"Portsmouth City Public Schools","Waterview Elementary","Title I",2.4,2.4
"Portsmouth City Public Schools","Westhaven Elementary","Title I",5.1,7.7
"Portsmouth City Public Schools","William E. Waters Middle","Non-Title I",6,2
"Powhatan County Public Schools","Flat Rock Elementary","Title I",6.8,0
"Powhatan County Public Schools","Pocahontas Elementary","Title I",4.3,0
"Powhatan County Public Schools","Powhatan Elementary","Title I",6.3,0
"Powhatan County Public Schools","Powhatan High","Non-Title I",3.4,0
"Powhatan County Public Schools","Powhatan Middle","Non-Title I",2.3,0
"Prince Edward County Public Schools","Prince Edward County High","Non-Title I",9.8,15.7
"Prince Edward County Public Schools","Prince Edward Elementary","Title I",10,5
"Prince Edward County Public Schools","Prince Edward Middle","Title I",4.3,4.3
"Prince George County Public Schools","David A. Harrison Elementary","Title I",2.6,0
"Prince George County Public Schools","J.E.J. Moore Middle ","Non-Title I",4.4,5.3
"Prince George County Public Schools","L.L. Beazley Elementary","Title I",10.3,2.6
"Prince George County Public Schools","North Elementary","Title I",6.3,6.3
"Prince George County Public Schools","Prince George High","Non-Title I",2,10
"Prince George County Public Schools","South Elementary","Title I",3,0
"Prince George County Public Schools","William A. Walton Elementary","Title I",8.1,0
"Prince William County Public Schools","A. Henderson Elementary","Non-Title I",0,0
"Prince William County Public Schools","Antietam Elementary","Non-Title I",13.1,8.2
"Prince William County Public Schools","Ashland Elementary","Non-Title I",3.8,0
"Prince William County Public Schools","Battlefield High ","Non-Title I",0.5,6.5
"Prince William County Public Schools","Bel Air Elementary","Title I",4.7,2.3
"Prince William County Public Schools","Belmont Elementary","Title I",12.2,0
"Prince William County Public Schools","Bennett Elementary","Non-Title I",7.8,0
"Prince William County Public Schools","Brentsville District High","Non-Title I",1.4,12.3
"Prince William County Public Schools","Bristow Run Elementary","Non-Title I",2.2,0
"Prince William County Public Schools","Buckland Mills Elementary","Non-Title I",0,0
"Prince William County Public Schools","Bull Run Middle","Non-Title I",0,3.7
"Prince William County Public Schools","C.A. Sinclair Elementary","Title I",4.3,1.4
"Prince William County Public Schools","C.D. Hylton High","Non-Title I",1.5,9.5
"Prince William County Public Schools","Cedar Point Elementary","Non-Title I",2.4,0
"Prince William County Public Schools","Charles J. Colgan Sr. High","Non-Title I",4.6,3.4
"Prince William County Public Schools","Chris Yung Elementary","Non-Title I",1.9,3.8
"Prince William County Public Schools","Coles Elementary","Non-Title I",0,0
"Prince William County Public Schools","Covington-Harper Elementary","Non-Title I",2,0
"Prince William County Public Schools","Dale City Elementary","Title I",2.4,2.4
"Prince William County Public Schools","Dumfries Elementary","Title I",2.2,0
"Prince William County Public Schools","E.H. Marsteller Middle","Non-Title I",1.2,2.4
"Prince William County Public Schools","Elizabeth Vaughan Elementary","Title I",3.8,0
