"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"Wythe County ","Rural Retreat Elementary","English: Reading",90,NA,100,86,NA,93,100,88,76,89
"Wythe County ","Rural Retreat Elementary","History and Social Sciences",97,NA,NA,95,NA,100,NA,95,86,96
"Wythe County ","Rural Retreat Elementary","Mathematics",97,NA,88,96,NA,96,100,97,92,97
"Wythe County ","Rural Retreat Elementary","Science",97,NA,80,94,NA,97,NA,97,80,98
"Wythe County ","Spiller Elementary","English: Reading",80,NA,53,73,NA,81,83,80,57,83
"Wythe County ","Spiller Elementary","History and Social Sciences",84,NA,83,75,NA,79,NA,89,53,85
"Wythe County ","Spiller Elementary","Mathematics",86,NA,80,81,NA,86,83,87,60,86
"Wythe County ","Spiller Elementary","Science",85,NA,71,82,NA,80,NA,90,73,87
"Wythe County ","Scott Memorial Middle","English: Reading",84,NA,73,78,NA,88,71,81,53,86
"Wythe County ","Scott Memorial Middle","English: Writing",77,NA,55,73,NA,89,NA,69,53,78
"Wythe County ","Scott Memorial Middle","History and Social Sciences",91,NA,88,90,NA,89,NA,93,77,92
"Wythe County ","Scott Memorial Middle","Mathematics",88,NA,85,84,NA,92,83,84,73,89
"Wythe County ","Scott Memorial Middle","Science",95,NA,86,98,NA,98,NA,93,89,96
"Wythe County ","Rural Retreat Middle","English: Reading",87,NA,NA,80,NA,89,NA,85,69,87
"Wythe County ","Rural Retreat Middle","English: Writing",71,NA,NA,58,NA,84,NA,59,25,73
"Wythe County ","Rural Retreat Middle","History and Social Sciences",90,NA,NA,83,NA,88,NA,91,75,89
"Wythe County ","Rural Retreat Middle","Mathematics",92,NA,NA,89,NA,92,NA,92,76,93
"Wythe County ","Rural Retreat Middle","Science",90,NA,NA,79,NA,93,NA,86,58,90
"Wythe County ","Fort Chiswell Middle","English: Reading",85,NA,NA,79,NA,89,NA,82,67,86
"Wythe County ","Fort Chiswell Middle","English: Writing",66,NA,NA,61,NA,71,NA,62,25,67
"Wythe County ","Fort Chiswell Middle","History and Social Sciences",85,NA,NA,77,NA,81,NA,88,71,86
"Wythe County ","Fort Chiswell Middle","Mathematics",83,NA,NA,76,NA,86,NA,80,54,83
"Wythe County ","Fort Chiswell Middle","Science",83,NA,NA,76,NA,87,NA,80,58,83
