"Division","School","Provisional.Percent"
"Accomack County Public Schools","Accawmacke Elementary",0
"Accomack County Public Schools","Arcadia High",16
"Accomack County Public Schools","Arcadia Middle ",7.7
"Accomack County Public Schools","Chincoteague Elementary",0
"Accomack County Public Schools","Chincoteague High",10
"Accomack County Public Schools","Kegotank Elementary",3.1
"Accomack County Public Schools","Metompkin Elementary",15.8
"Accomack County Public Schools","Nandua High",8
"Accomack County Public Schools","Nandua Middle",0
"Accomack County Public Schools","Pungoteague Elementary",3.4
"Accomack County Public Schools","Tangier Combined",0
"Albemarle County Public Schools","Agnor-Hurt Elementary",0
"Albemarle County Public Schools","Albemarle High",4.1
"Albemarle County Public Schools","Baker-Butler Elem",0
"Albemarle County Public Schools","Broadus Wood Elementary",4.2
"Albemarle County Public Schools","Brownsville Elementary",0
"Albemarle County Public Schools","Community Lab School",7.4
"Albemarle County Public Schools","Crozet Elementary",0
"Albemarle County Public Schools","Hollymead Elementary",0
"Albemarle County Public Schools","Jack Jouett Middle",0
"Albemarle County Public Schools","Jackson P. Burley Middle",4.8
"Albemarle County Public Schools","Joseph T. Henley Middle",5.6
"Albemarle County Public Schools","Lakeside Middle",2
"Albemarle County Public Schools","Leslie H. Walton Middle",12.2
"Albemarle County Public Schools","Mary Carr Greer Elementary",1.7
"Albemarle County Public Schools","Meriwether Lewis Elementary",0
"Albemarle County Public Schools","Monticello High",6.4
"Albemarle County Public Schools","Mountain View Elementary",2.7
"Albemarle County Public Schools","Red Hill Elementary",4.5
"Albemarle County Public Schools","Scottsville Elementary",4.5
"Albemarle County Public Schools","Stone Robinson Elementary",2.3
"Albemarle County Public Schools","Stony Point Elementary",0
"Albemarle County Public Schools","Virginia L. Murray Elementary",0
"Albemarle County Public Schools","Western Albemarle High",4.3
"Albemarle County Public Schools","Woodbrook Elementary",1.6
"Alexandria City Public Schools","Alexandria City High",7.8
"Alexandria City Public Schools","Charles Barrett Elementary",4.7
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",0
"Alexandria City Public Schools","Douglas Macarthur Elementary",0
"Alexandria City Public Schools","Ferdinand T. Day Elementary",0
"Alexandria City Public Schools","Francis C. Hammond Middle",5.6
"Alexandria City Public Schools","George Mason Elementary",0
"Alexandria City Public Schools","George Washington Middle",4.5
"Alexandria City Public Schools","James K. Polk Elementary",6.7
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",14.8
"Alexandria City Public Schools","John Adams Elementary",4.3
"Alexandria City Public Schools","Lyles-Crouch Elementary",3
"Alexandria City Public Schools","Mount Vernon Elementary",8
"Alexandria City Public Schools","Naomi L. Brooks Elementary",4.2
"Alexandria City Public Schools","Patrick Henry K-8 School",1.7
"Alexandria City Public Schools","Samuel W. Tucker Elementary",5.4
"Alexandria City Public Schools","William Ramsay Elementary",4.9
"Alleghany County Public Schools","Alleghany High",10
"Alleghany County Public Schools","Callaghan Elementary",4.8
"Alleghany County Public Schools","Clifton Middle",9.1
"Alleghany County Public Schools","Mountain View Elementary",9.8
"Alleghany County Public Schools","Sharon Elementary",4.8
"Amelia County Public Schools","Amelia County Elementary",0
"Amelia County Public Schools","Amelia County High",16.7
"Amelia County Public Schools","Amelia County Middle",11.1
"Amherst County Public Schools","Amelon Elementary",2.9
"Amherst County Public Schools","Amherst County High",3.4
"Amherst County Public Schools","Amherst Elementary",0
"Amherst County Public Schools","Amherst Middle",3.1
"Amherst County Public Schools","Central Elementary",2.9
"Amherst County Public Schools","Elon Elementary",3.6
"Amherst County Public Schools","Madison Heights Elementary",2.9
"Amherst County Public Schools","Monelison Middle",5.1
"Amherst County Public Schools","Temperance Elementary",0
"Appomattox County Public Schools","Appomattox County High",3.4
"Appomattox County Public Schools","Appomattox Elementary",0
"Appomattox County Public Schools","Appomattox Middle",11.9
"Appomattox County Public Schools","Appomattox Primary",4.5
"Arlington County Public Schools","Abingdon Elementary",6
"Arlington County Public Schools","Alice West Fleet Elementary",10.3
"Arlington County Public Schools","Arlington Community High",0
"Arlington County Public Schools","Arlington Traditional",2.4
"Arlington County Public Schools","Ashlawn Elementary",3.4
"Arlington County Public Schools","Barcroft Elementary",2.4
"Arlington County Public Schools","Barrett Elementary",5.3
"Arlington County Public Schools","Campbell Elementary",0
"Arlington County Public Schools","Cardinal Elementary",0
"Arlington County Public Schools","Carlin Springs Elementary",6.9
"Arlington County Public Schools","Claremont Immersion",13.2
"Arlington County Public Schools","Discovery Elementary",2.3
"Arlington County Public Schools","Dorothy Hamm Middle",9.5
"Arlington County Public Schools","Dr. Charles R. Drew Elementary",6.1
"Arlington County Public Schools","Escuela Key Elementary",5.6
"Arlington County Public Schools","Glebe Elementary",4.4
"Arlington County Public Schools","Gunston Middle",9.7
"Arlington County Public Schools","Hoffman-Boston Elementary",7.3
"Arlington County Public Schools","Innovation Elementary ",1.7
"Arlington County Public Schools","Jamestown Elementary",2.3
"Arlington County Public Schools","Jefferson Middle",4
"Arlington County Public Schools","Kenmore Middle",6.6
"Arlington County Public Schools","Long Branch Elementary",3.9
"Arlington County Public Schools","Montessori Public School of Arlington",6.3
"Arlington County Public Schools","Nottingham Elementary",8.1
"Arlington County Public Schools","Oakridge Elementary",0
"Arlington County Public Schools","Randolph Elementary",4.5
"Arlington County Public Schools","Swanson Middle",2.2
"Arlington County Public Schools","Taylor Elementary",2
"Arlington County Public Schools","Tuckahoe Elementary",2.4
"Arlington County Public Schools","Wakefield High",5.2
"Arlington County Public Schools","Washington-Liberty High",3
"Arlington County Public Schools","Williamsburg Middle",0
"Arlington County Public Schools","Yorktown High",4.8
"Augusta County Public Schools","Beverley Manor Middle",3.2
"Augusta County Public Schools","Buffalo Gap High",15.2
"Augusta County Public Schools","Cassell Elementary",0
"Augusta County Public Schools","Churchville Elementary",0
"Augusta County Public Schools","Craigsville Elementary",10.5
"Augusta County Public Schools","Edward G. Clymore Elementary",1.9
"Augusta County Public Schools","Fort Defiance High",5.9
"Augusta County Public Schools","Guy K. Stump Elementary",0
"Augusta County Public Schools","North River Elementary",3.8
"Augusta County Public Schools","Riverheads Elementary",2.1
"Augusta County Public Schools","Riverheads High",2.3
"Augusta County Public Schools","S. Gordon Stewart Middle",3.9
"Augusta County Public Schools","Stuarts Draft Elementary",2.3
"Augusta County Public Schools","Stuarts Draft High",6.2
"Augusta County Public Schools","Stuarts Draft Middle",4.5
"Augusta County Public Schools","Wilson Elementary",4.1
"Augusta County Public Schools","Wilson Memorial High",7.2
"Augusta County Public Schools","Wilson Middle",12.5
"Bath County Public Schools","Bath County High",19.2
"Bath County Public Schools","Millboro Elementary",11.1
"Bath County Public Schools","Valley Elementary",8.3
"Bedford County Public Schools","Bedford Elementary",4.5
"Bedford County Public Schools","Bedford Primary",3.7
"Bedford County Public Schools","Big Island Elementary",3
"Bedford County Public Schools","Boonsboro Elementary",4.3
"Bedford County Public Schools","Forest Elementary",0
"Bedford County Public Schools","Forest Middle",1.4
"Bedford County Public Schools","Goodview Elementary",0
"Bedford County Public Schools","Huddleston Elementary",2.2
"Bedford County Public Schools","Jefferson Forest High",5.4
"Bedford County Public Schools","Liberty High",8
"Bedford County Public Schools","Liberty Middle",3.1
"Bedford County Public Schools","Moneta Elementary",0
"Bedford County Public Schools","Montvale Elementary",0
"Bedford County Public Schools","New London Academy Elementary",2.9
"Bedford County Public Schools","Otter River Elementary",3.2
"Bedford County Public Schools","Staunton River High",10.2
"Bedford County Public Schools","Staunton River Middle",1.8
"Bedford County Public Schools","Stewartsville Elementary",2.1
"Bedford County Public Schools","Thomas Jefferson Elementary",3.8
"Bland County Public Schools","Bland County Elementary ",9.7
"Bland County Public Schools","Bland County High",16.7
"Botetourt County Public Schools","Breckinridge Elementary",0
"Botetourt County Public Schools","Buchanan Elementary",7.4
"Botetourt County Public Schools","Central Academy Middle",5.4
"Botetourt County Public Schools","Cloverdale Elementary",0
"Botetourt County Public Schools","Colonial Elementary",0
"Botetourt County Public Schools","Eagle Rock Elementary",0
"Botetourt County Public Schools","Greenfield Elementary",2.9
"Botetourt County Public Schools","James River High",2.4
"Botetourt County Public Schools","Lord Botetourt High",3.9
"Botetourt County Public Schools","Read Mountain Middle",1.8
"Botetourt County Public Schools","Troutville Elementary",0
"Bristol City Public Schools","Highland View Elementary",5.3
"Bristol City Public Schools","Joseph Van Pelt Elementary",6.3
"Bristol City Public Schools","Stonewall Jackson Elementary",0
"Bristol City Public Schools","Virginia High",7.4
"Bristol City Public Schools","Virginia Middle",2.5
"Bristol City Public Schools","Washington-Lee Elementary",5.6
"Brunswick County Public Schools","Brunswick High",17.1
"Brunswick County Public Schools","James S. Russell Middle",21.9
"Brunswick County Public Schools","Meherrin Powellton Elementary",11.8
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",17.6
"Brunswick County Public Schools","Totaro Elementary",0
"Buchanan County Public Schools","Council Elementary/Middle",13.6
"Buchanan County Public Schools","Council High ",5.6
"Buchanan County Public Schools","Grundy High",6.3
"Buchanan County Public Schools","Hurley Elementary/Middle",5.1
"Buchanan County Public Schools","Hurley High",5
"Buchanan County Public Schools","Riverview Elementary/Middle",14.3
"Buchanan County Public Schools","Twin Valley Elementary/Middle",9.7
"Buchanan County Public Schools","Twin Valley High",15.8
"Buckingham County Public Schools","Buckingham Co Elementary",0
"Buckingham County Public Schools","Buckingham Co Primary",6.3
"Buckingham County Public Schools","Buckingham County High",4.3
"Buckingham County Public Schools","Buckingham County Middle",5.4
"Buena Vista City Public Schools","Enderly Heights Elementary",7.1
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",11.8
"Buena Vista City Public Schools","Parry McCluer High",3.7
"Buena Vista City Public Schools","Parry McCluer Middle",0
"Campbell County Public Schools","Altavista Elementary",0
"Campbell County Public Schools","Altavista High",10.7
"Campbell County Public Schools","Brookneal Elementary",0
"Campbell County Public Schools","Brookville High",6.9
"Campbell County Public Schools","Brookville Middle",5.7
"Campbell County Public Schools","Concord Elementary",3.3
"Campbell County Public Schools","Leesville Road Elementary",0
"Campbell County Public Schools","Rustburg Elementary",7.1
"Campbell County Public Schools","Rustburg High",4.8
"Campbell County Public Schools","Rustburg Middle",8
"Campbell County Public Schools","Tomahawk Elementary",3
"Campbell County Public Schools","William Campbell High",2.2
"Campbell County Public Schools","Yellow Branch Elementary",3.2
"Caroline County Public Schools","Bowling Green Elementary",9.3
"Caroline County Public Schools","Caroline High",1.5
"Caroline County Public Schools","Caroline Middle",10.2
"Caroline County Public Schools","Lewis and Clark Elementary",2.1
"Caroline County Public Schools","Madison Elementary",3.6
"Carroll County Public Schools","Carroll County High",2.4
"Carroll County Public Schools","Carroll County Middle",1.4
"Carroll County Public Schools","Fancy Gap Elementary",0
"Carroll County Public Schools","Gladesboro Elementary",0
"Carroll County Public Schools","Gladeville Elementary",0
"Carroll County Public Schools","Hillsville Elementary",0
"Carroll County Public Schools","Laurel Elementary",5.9
"Carroll County Public Schools","Oakland Elementary",0
"Carroll County Public Schools","St. Paul",0
"Charles City County Public Schools","Charles City County Elementary",4
"Charles City County Public Schools","Charles City County High",6.5
"Charlotte County Public Schools","Bacon District Elementary",13.3
"Charlotte County Public Schools","Central Middle",8.8
"Charlotte County Public Schools","Eureka Elementary",3.4
"Charlotte County Public Schools","Phenix Elementary",5.9
"Charlotte County Public Schools","Randolph-Henry High",17.1
"Charlottesville City Public Schools","Buford Middle",7
"Charlottesville City Public Schools","Burnley-Moran Elementary",5.9
"Charlottesville City Public Schools","Charlottesville High",6.3
"Charlottesville City Public Schools","Clark Elementary",5.4
"Charlottesville City Public Schools","Greenbrier Elementary",2.9
"Charlottesville City Public Schools","Jackson-Via Elementary",5.3
"Charlottesville City Public Schools","Johnson Elementary",2.9
"Charlottesville City Public Schools","Venable Elementary",0
"Charlottesville City Public Schools","Walker Upper Elementary",7.2
"Chesapeake City Public Schools","B.M. Williams Primary",8.3
"Chesapeake City Public Schools","Butts Road Intermediate",4.9
"Chesapeake City Public Schools","Butts Road Primary",2.6
"Chesapeake City Public Schools","Camelot Elementary",2.2
"Chesapeake City Public Schools","Cedar Road Elementary",1.8
"Chesapeake City Public Schools","Crestwood Intermediate",9.1
"Chesapeake City Public Schools","Crestwood Middle",13.2
"Chesapeake City Public Schools","Deep Creek Central Elementary",3.7
"Chesapeake City Public Schools","Deep Creek Elementary",3.8
"Chesapeake City Public Schools","Deep Creek High",2.4
"Chesapeake City Public Schools","Deep Creek Middle",6
"Chesapeake City Public Schools","Edwin W. Chittum Elementary",5.4
"Chesapeake City Public Schools","G.A. Treakle Elementary",6.1
"Chesapeake City Public Schools","George W. Carver Intermediate",2.1
"Chesapeake City Public Schools","Georgetown Primary",1.5
"Chesapeake City Public Schools","Grassfield Elementary",4.1
"Chesapeake City Public Schools","Grassfield High",1.9
"Chesapeake City Public Schools","Great Bridge High",1.8
"Chesapeake City Public Schools","Great Bridge Intermediate",6.8
"Chesapeake City Public Schools","Great Bridge Middle",1.1
"Chesapeake City Public Schools","Great Bridge Primary",9.1
"Chesapeake City Public Schools","Greenbrier Intermediate",2.1
"Chesapeake City Public Schools","Greenbrier Middle",6.7
"Chesapeake City Public Schools","Greenbrier Primary",4.1
"Chesapeake City Public Schools","Hickory Elementary",2.7
"Chesapeake City Public Schools","Hickory High",1.7
"Chesapeake City Public Schools","Hickory Middle",4
"Chesapeake City Public Schools","Hugo A. Owens Middle",5.4
"Chesapeake City Public Schools","Indian River High",3.8
"Chesapeake City Public Schools","Indian River Middle",4.2
"Chesapeake City Public Schools","Jolliff Middle",4.8
"Chesapeake City Public Schools","Norfolk Highlands Primary",3.2
"Chesapeake City Public Schools","Oscar F. Smith High",1.2
"Chesapeake City Public Schools","Oscar Smith Middle",17.4
"Chesapeake City Public Schools","Portlock Primary",6
"Chesapeake City Public Schools","Rena B. Wright Primary",8.6
"Chesapeake City Public Schools","Southeastern Elementary",1.8
"Chesapeake City Public Schools","Southwestern Elementary",5.9
"Chesapeake City Public Schools","Sparrow Road Intermediate",5.1
"Chesapeake City Public Schools","Thurgood Marshall Elementary",4.3
"Chesapeake City Public Schools","Truitt Intermediate",6.7
"Chesapeake City Public Schools","Western Branch High",2.7
"Chesapeake City Public Schools","Western Branch Intermediate",5.9
"Chesapeake City Public Schools","Western Branch Middle",4.2
"Chesapeake City Public Schools","Western Branch Primary",9.1
"Chesterfield County Public Schools","A.M. Davis Elementary",7.7
"Chesterfield County Public Schools","Alberta Smith Elementary",4.1
"Chesterfield County Public Schools","Bailey Bridge Middle",5.2
"Chesterfield County Public Schools","Bellwood Elementary",5.2
"Chesterfield County Public Schools","Bensley Elementary",8.2
"Chesterfield County Public Schools","Bettie Weaver Elementary",7
"Chesterfield County Public Schools","Beulah Elementary",9.5
"Chesterfield County Public Schools","Bon Air Elementary",2.1
"Chesterfield County Public Schools","C.C. Wells Elementary",8.5
"Chesterfield County Public Schools","C.E. Curtis Elementary",1.6
"Chesterfield County Public Schools","Carver College and Career Academy",7
"Chesterfield County Public Schools","Carver Middle",14.9
"Chesterfield County Public Schools","Clover Hill Elementary",10.3
"Chesterfield County Public Schools","Clover Hill High",3.4
"Chesterfield County Public Schools","Cosby High",1.4
"Chesterfield County Public Schools","Crestwood Elementary",1.8
"Chesterfield County Public Schools","Ecoff Elementary",5
"Chesterfield County Public Schools","Elizabeth Davis Middle",5
"Chesterfield County Public Schools","Elizabeth Scott Elementary",8.2
"Chesterfield County Public Schools","Enon Elementary",6.5
"Chesterfield County Public Schools","Ettrick Elementary",6.5
"Chesterfield County Public Schools","Evergreen Elementary",2.9
"Chesterfield County Public Schools","Falling Creek Elementary",6.3
"Chesterfield County Public Schools","Falling Creek Middle",8.4
"Chesterfield County Public Schools","Grange Hall Elementary",3.5
"Chesterfield County Public Schools","Greenfield Elementary",2
"Chesterfield County Public Schools","Harrowgate Elementary",14
"Chesterfield County Public Schools","Hopkins Road Elementary",2.7
"Chesterfield County Public Schools","J.A. Chalkley Elementary",9.2
"Chesterfield County Public Schools","J.B. Watkins Elementary",0
"Chesterfield County Public Schools","J.G. Hening Elementary",6.4
"Chesterfield County Public Schools","Jacobs Road Elementary",4.7
"Chesterfield County Public Schools","James River High",3
"Chesterfield County Public Schools","Lloyd C. Bird High",7
"Chesterfield County Public Schools","Manchester High",6.7
"Chesterfield County Public Schools","Manchester Middle",9.9
"Chesterfield County Public Schools","Marguerite F. Christian Elementary",10.9
"Chesterfield County Public Schools","Matoaca Elementary",9.5
"Chesterfield County Public Schools","Matoaca High",8.5
"Chesterfield County Public Schools","Matoaca Middle",7.2
"Chesterfield County Public Schools","Meadowbrook High",10.6
"Chesterfield County Public Schools","Midlothian High",10.4
"Chesterfield County Public Schools","Midlothian Middle",6.6
"Chesterfield County Public Schools","Monacan High",10
"Chesterfield County Public Schools","O.B. Gates Elementary",3.2
"Chesterfield County Public Schools","Old Hundred Elementary",7
"Chesterfield County Public Schools","Providence Elementary",6.7
"Chesterfield County Public Schools","Providence Middle",4.7
"Chesterfield County Public Schools","Reams Road Elementary",9.5
"Chesterfield County Public Schools","Robious Elementary",11.1
"Chesterfield County Public Schools","Robious Middle",6.1
"Chesterfield County Public Schools","Salem Church Elementary",11.1
"Chesterfield County Public Schools","Salem Church Middle",8.8
"Chesterfield County Public Schools","Spring Run Elementary",4.3
"Chesterfield County Public Schools","Swift Creek Elementary",8.5
"Chesterfield County Public Schools","Swift Creek Middle",4.4
"Chesterfield County Public Schools","Thelma Crenshaw Elementary",3.3
"Chesterfield County Public Schools","Thomas Dale High",7.6
"Chesterfield County Public Schools","Tomahawk Creek Middle",3.5
"Chesterfield County Public Schools","W.W. Gordon Elementary",6.7
"Chesterfield County Public Schools","Winterpock Elementary",2.5
"Chesterfield County Public Schools","Woolridge Elementary",8.8
"Clarke County Public Schools","Boyce Elementary",14.8
"Clarke County Public Schools","Clarke County High",0
"Clarke County Public Schools","D.G. Cooley Elementary",12.8
"Clarke County Public Schools","Johnson-Williams Middle",2.3
"Colonial Beach Public Schools","Colonial Beach Elementary",13.8
"Colonial Beach Public Schools","Colonial Beach High",21.1
"Colonial Heights City Public Schools","Colonial Heights High",6
"Colonial Heights City Public Schools","Colonial Heights Middle",7.8
"Colonial Heights City Public Schools","Lakeview Elementary",0
"Colonial Heights City Public Schools","North Elementary",2.1
"Colonial Heights City Public Schools","Tussing Elementary",7.9
"Covington City Public Schools","Covington High",10.7
"Covington City Public Schools","Edgemont Primary",0
"Covington City Public Schools","Jeter-Watson Intermediate",0
"Craig County Public Schools","Craig County High",5.7
"Craig County Public Schools","McCleary Elementary",4.5
"Culpeper County Public Schools","A.G. Richardson Elementary",8.7
"Culpeper County Public Schools","Culpeper County High",12.6
"Culpeper County Public Schools","Culpeper Middle",9.9
"Culpeper County Public Schools","Eastern View High",14.9
"Culpeper County Public Schools","Emerald Hill Elementary",6.1
"Culpeper County Public Schools","Farmington Elementary",2.2
"Culpeper County Public Schools","Floyd T. Binns Middle",11.4
"Culpeper County Public Schools","Pearl Sample Elementary",12
"Culpeper County Public Schools","Sycamore Park Elementary",15.1
"Culpeper County Public Schools","Yowell Elementary",0
"Cumberland County Public Schools","Cumberland Elementary",4.8
"Cumberland County Public Schools","Cumberland High",15.8
"Cumberland County Public Schools","Cumberland Middle",18.9
"Danville City Public Schools","Edwin A. Gibson Elementary",10.2
"Danville City Public Schools","Forest Hills Elementary",5
"Danville City Public Schools","G.L.H. Johnson Elementary",3.6
"Danville City Public Schools","Galileo Magnet High",3.8
"Danville City Public Schools","George Washington High",13.9
"Danville City Public Schools","O. Trent Bonner Middle",10.9
"Danville City Public Schools","Park Avenue Elementary",8.8
"Danville City Public Schools","Schoolfield Elementary",7.5
"Danville City Public Schools","Westwood Middle",6.4
"Danville City Public Schools","Woodberry Hills Elementary",8
"Dickenson County Public Schools","Clintwood Elementary",7.9
"Dickenson County Public Schools","Ervinton Elementary",0
"Dickenson County Public Schools","Ridgeview High",3.3
"Dickenson County Public Schools","Ridgeview Middle",7.5
"Dickenson County Public Schools","Sandlick Elementary",8.3
"Dinwiddie County Public Schools","Dinwiddie County High",9.7
"Dinwiddie County Public Schools","Dinwiddie County Middle",12.3
"Dinwiddie County Public Schools","Dinwiddie Elementary",0
"Dinwiddie County Public Schools","Midway Elementary",9.4
"Dinwiddie County Public Schools","Southside Elementary",6.8
"Dinwiddie County Public Schools","Sunnyside Elementary",0
"Dinwiddie County Public Schools","Sutherland Elementary",2.6
"Essex County Public Schools","Essex High",10
"Essex County Public Schools","James H. Cary Intermediate ",42.1
"Essex County Public Schools","Tappahannock Elementary",18.8
"Fairfax County Public Schools","Aldrin Elementary",3.4
"Fairfax County Public Schools","Annandale High",7.3
"Fairfax County Public Schools","Annandale Terrace Elementary",4.4
"Fairfax County Public Schools","Archer Elementary",0
"Fairfax County Public Schools","Armstrong Elementary",4.3
"Fairfax County Public Schools","Bailey's Elementary School for the Arts and Sciences",2.4
"Fairfax County Public Schools","Bailey's Upper Elementary School for the Arts and Sciences",4.9
"Fairfax County Public Schools","Beech Tree Elementary",4.8
"Fairfax County Public Schools","Belle View Elementary",6.3
"Fairfax County Public Schools","Belvedere Elementary",4.9
"Fairfax County Public Schools","Bonnie Brae Elementary",7.2
"Fairfax County Public Schools","Braddock Elementary",4.3
"Fairfax County Public Schools","Bren Mar Park Elementary",9.3
"Fairfax County Public Schools","Brookfield Elementary",0
"Fairfax County Public Schools","Bryant High",7.1
"Fairfax County Public Schools","Bucknell Elementary",15.8
"Fairfax County Public Schools","Bull Run Elementary",4.8
"Fairfax County Public Schools","Bush Hill Elementary",5.1
"Fairfax County Public Schools","Camelot Elementary",1.9
"Fairfax County Public Schools","Cameron Elementary",0
"Fairfax County Public Schools","Canterbury Woods Elementary",9.8
"Fairfax County Public Schools","Cardinal Forest Elementary",9.1
"Fairfax County Public Schools","Carson Middle",1
"Fairfax County Public Schools","Centre Ridge Elementary",2.9
"Fairfax County Public Schools","Centreville Elementary",9
"Fairfax County Public Schools","Centreville High",3.6
"Fairfax County Public Schools","Chantilly High",4.9
"Fairfax County Public Schools","Cherry Run Elementary",6.8
"Fairfax County Public Schools","Chesterbrook Elementary",6
"Fairfax County Public Schools","Churchill Road Elementary",0
"Fairfax County Public Schools","Clearview Elementary",5.6
"Fairfax County Public Schools","Clermont Elementary",6.5
"Fairfax County Public Schools","Coates Elementary",1.5
"Fairfax County Public Schools","Columbia Elementary",2.4
"Fairfax County Public Schools","Colvin Run Elementary",5.2
"Fairfax County Public Schools","Cooper Middle",1.4
"Fairfax County Public Schools","Crestwood Elementary",3.4
"Fairfax County Public Schools","Crossfield Elementary",4.1
"Fairfax County Public Schools","Cub Run Elementary",1.9
"Fairfax County Public Schools","Cunningham Park Elementary",2.2
"Fairfax County Public Schools","Daniels Run Elementary",10.1
"Fairfax County Public Schools","Deer Park Elementary",3.7
"Fairfax County Public Schools","Dogwood Elementary",6.7
"Fairfax County Public Schools","Dranesville Elementary",3.1
"Fairfax County Public Schools","Eagle View Elementary",6.7
"Fairfax County Public Schools","Edison High",5.3
"Fairfax County Public Schools","Fairfax High",5.5
"Fairfax County Public Schools","Fairfax Villa Elementary",1.8
"Fairfax County Public Schools","Fairhill Elementary",7.5
"Fairfax County Public Schools","Fairview Elementary",3.4
"Fairfax County Public Schools","Falls Church High",4
"Fairfax County Public Schools","Flint Hill Elementary",9.4
"Fairfax County Public Schools","Floris Elementary",4.7
"Fairfax County Public Schools","Forest Edge Elementary",6.3
"Fairfax County Public Schools","Forestdale Elementary",9.1
"Fairfax County Public Schools","Forestville Elementary",4.3
"Fairfax County Public Schools","Fort Belvoir Elementary",7.5
"Fairfax County Public Schools","Fort Belvoir Upper Elementary",11.5
"Fairfax County Public Schools","Fort Hunt Elementary",3.6
"Fairfax County Public Schools","Fox Mill Elementary",6
"Fairfax County Public Schools","Franconia Elementary",2.1
"Fairfax County Public Schools","Franklin Middle",4.3
"Fairfax County Public Schools","Freedom Hill Elementary",4
"Fairfax County Public Schools","Frost Middle",2.1
"Fairfax County Public Schools","Garfield Elementary",7.1
"Fairfax County Public Schools","Glasgow Middle",7.1
"Fairfax County Public Schools","Glen Forest Elementary",4.5
"Fairfax County Public Schools","Graham Road Elementary",0
"Fairfax County Public Schools","Great Falls Elementary",0
"Fairfax County Public Schools","Greenbriar East Elementary",4.1
"Fairfax County Public Schools","Greenbriar West Elementary",1.9
"Fairfax County Public Schools","Groveton Elementary",5.7
"Fairfax County Public Schools","Gunston Elementary",4.4
"Fairfax County Public Schools","Halley Elementary",8.8
"Fairfax County Public Schools","Haycock Elementary",3.1
"Fairfax County Public Schools","Hayfield Elementary",1.9
"Fairfax County Public Schools","Hayfield Secondary",4.8
"Fairfax County Public Schools","Herndon Elementary",6.3
"Fairfax County Public Schools","Herndon High",2.1
"Fairfax County Public Schools","Herndon Middle",2.7
"Fairfax County Public Schools","Hollin Meadows Elementary",8.8
"Fairfax County Public Schools","Holmes Middle",7.9
"Fairfax County Public Schools","Hughes Middle",3.4
"Fairfax County Public Schools","Hunt Valley Elementary",3.5
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",3.2
"Fairfax County Public Schools","Hutchison Elementary",2.7
"Fairfax County Public Schools","Hybla Valley Elementary",5.6
"Fairfax County Public Schools","Irving Middle",5.6
"Fairfax County Public Schools","Island Creek Elementary",9.4
"Fairfax County Public Schools","Jackson Middle",4.4
"Fairfax County Public Schools","Johnson Middle",1.1
"Fairfax County Public Schools","Justice High",6.3
"Fairfax County Public Schools","Keene Mill Elementary",5
"Fairfax County Public Schools","Kent Gardens Elementary",4.2
"Fairfax County Public Schools","Key Center",4.8
"Fairfax County Public Schools","Key Middle",12.2
"Fairfax County Public Schools","Kilmer Center",9.5
"Fairfax County Public Schools","Kilmer Middle",8
"Fairfax County Public Schools","Kings Glen Elementary",4.5
"Fairfax County Public Schools","Kings Park Elementary",2
"Fairfax County Public Schools","Lake Anne Elementary",7.1
"Fairfax County Public Schools","Lake Braddock Secondary",3.9
"Fairfax County Public Schools","Lane Elementary",5.3
"Fairfax County Public Schools","Langley High",1.5
"Fairfax County Public Schools","Laurel Hill Elementary",11.5
"Fairfax County Public Schools","Laurel Ridge Elementary",7.1
"Fairfax County Public Schools","Lees Corner Elementary",4.9
"Fairfax County Public Schools","Lemon Road Elementary",4.2
"Fairfax County Public Schools","Lewis High",2.6
"Fairfax County Public Schools","Liberty Middle",8.5
"Fairfax County Public Schools","Little Run Elementary",8.3
"Fairfax County Public Schools","London Towne Elementary",3.9
"Fairfax County Public Schools","Longfellow Middle",2.1
"Fairfax County Public Schools","Lorton Station Elementary",2.9
"Fairfax County Public Schools","Lynbrook Elementary",0
"Fairfax County Public Schools","Madison High",8.8
"Fairfax County Public Schools","Mantua Elementary",2.5
"Fairfax County Public Schools","Marshall High",2.5
"Fairfax County Public Schools","Marshall Road Elementary",8.6
"Fairfax County Public Schools","Mason Crest Elementary",1.6
"Fairfax County Public Schools","McLean High",6.9
"Fairfax County Public Schools","McNair Elementary",9.3
"Fairfax County Public Schools","Mosaic Elementary",2.7
"Fairfax County Public Schools","Mount Eagle Elementary",4.9
"Fairfax County Public Schools","Mount Vernon High",5.4
"Fairfax County Public Schools","Mount Vernon Woods Elementary",4.5
"Fairfax County Public Schools","Mountain View High",0
"Fairfax County Public Schools","Navy Elementary",1.5
"Fairfax County Public Schools","Newington Forest Elementary",2.4
"Fairfax County Public Schools","North Springfield Elementary",3.7
"Fairfax County Public Schools","Oak Hill Elementary",1.6
"Fairfax County Public Schools","Oak View Elementary",1.6
"Fairfax County Public Schools","Oakton Elementary",5
"Fairfax County Public Schools","Oakton High",3.8
"Fairfax County Public Schools","Olde Creek Elementary",4.5
"Fairfax County Public Schools","Orange Hunt Elementary",4.3
"Fairfax County Public Schools","Parklawn Elementary",2.9
