"Division","School","Year.Percent","Type"
"Lynchburg City Public Schools","T.C. Miller Elementary for Innovation",62,"Master's Degree"
"Lynchburg City Public Schools","T.C. Miller Elementary for Innovation",0,"Doctoral Degree"
"Lynchburg City Public Schools","William M. Bass Elementary",64,"Bachelor's Degree"
"Lynchburg City Public Schools","William M. Bass Elementary",36,"Master's Degree"
"Lynchburg City Public Schools","William M. Bass Elementary",0,"Doctoral Degree"
"Madison County Public Schools","Madison County High",45,"Bachelor's Degree"
"Madison County Public Schools","Madison County High",42,"Master's Degree"
"Madison County Public Schools","Madison County High",4,"Doctoral Degree"
"Madison County Public Schools","Madison Primary",69,"Bachelor's Degree"
"Madison County Public Schools","Madison Primary",31,"Master's Degree"
"Madison County Public Schools","Madison Primary",0,"Doctoral Degree"
"Madison County Public Schools","Waverly Yowell Elementary",42,"Bachelor's Degree"
"Madison County Public Schools","Waverly Yowell Elementary",55,"Master's Degree"
"Madison County Public Schools","Waverly Yowell Elementary",3,"Doctoral Degree"
"Madison County Public Schools","William H. Wetsel Middle",46,"Bachelor's Degree"
"Madison County Public Schools","William H. Wetsel Middle",54,"Master's Degree"
"Madison County Public Schools","William H. Wetsel Middle",0,"Doctoral Degree"
"Manassas City Public Schools","Baldwin Elementary",43,"Bachelor's Degree"
"Manassas City Public Schools","Baldwin Elementary",54,"Master's Degree"
"Manassas City Public Schools","Baldwin Elementary",0,"Doctoral Degree"
"Manassas City Public Schools","Baldwin Intermediate",23,"Bachelor's Degree"
"Manassas City Public Schools","Baldwin Intermediate",69,"Master's Degree"
"Manassas City Public Schools","Baldwin Intermediate",4,"Doctoral Degree"
"Manassas City Public Schools","George Carr Round Elementary",29,"Bachelor's Degree"
"Manassas City Public Schools","George Carr Round Elementary",67,"Master's Degree"
"Manassas City Public Schools","George Carr Round Elementary",2,"Doctoral Degree"
"Manassas City Public Schools","Grace E. Metz Middle ",30,"Bachelor's Degree"
"Manassas City Public Schools","Grace E. Metz Middle ",67,"Master's Degree"
"Manassas City Public Schools","Grace E. Metz Middle ",1,"Doctoral Degree"
"Manassas City Public Schools","Jennie Dean Elementary",35,"Bachelor's Degree"
"Manassas City Public Schools","Jennie Dean Elementary",58,"Master's Degree"
"Manassas City Public Schools","Jennie Dean Elementary",0,"Doctoral Degree"
"Manassas City Public Schools","Mayfield Intermediate",24,"Bachelor's Degree"
"Manassas City Public Schools","Mayfield Intermediate",69,"Master's Degree"
"Manassas City Public Schools","Mayfield Intermediate",3,"Doctoral Degree"
"Manassas City Public Schools","Osbourn High",23,"Bachelor's Degree"
"Manassas City Public Schools","Osbourn High",73,"Master's Degree"
"Manassas City Public Schools","Osbourn High",2,"Doctoral Degree"
"Manassas City Public Schools","Richard C. Haydon Elementary",37,"Bachelor's Degree"
"Manassas City Public Schools","Richard C. Haydon Elementary",56,"Master's Degree"
"Manassas City Public Schools","Richard C. Haydon Elementary",0,"Doctoral Degree"
"Manassas City Public Schools","Weems Elementary",40,"Bachelor's Degree"
"Manassas City Public Schools","Weems Elementary",56,"Master's Degree"
"Manassas City Public Schools","Weems Elementary",2,"Doctoral Degree"
"Manassas Park City Public Schools","Cougar Elementary",39,"Bachelor's Degree"
"Manassas Park City Public Schools","Cougar Elementary",59,"Master's Degree"
"Manassas Park City Public Schools","Cougar Elementary",0,"Doctoral Degree"
"Manassas Park City Public Schools","Manassas Park Elementary",43,"Bachelor's Degree"
"Manassas Park City Public Schools","Manassas Park Elementary",56,"Master's Degree"
"Manassas Park City Public Schools","Manassas Park Elementary",1,"Doctoral Degree"
"Manassas Park City Public Schools","Manassas Park High",35,"Bachelor's Degree"
"Manassas Park City Public Schools","Manassas Park High",63,"Master's Degree"
"Manassas Park City Public Schools","Manassas Park High",1,"Doctoral Degree"
"Manassas Park City Public Schools","Manassas Park Middle",50,"Bachelor's Degree"
"Manassas Park City Public Schools","Manassas Park Middle",48,"Master's Degree"
"Manassas Park City Public Schools","Manassas Park Middle",2,"Doctoral Degree"
"Martinsville City Public Schools","Albert Harris Elementary",55,"Bachelor's Degree"
"Martinsville City Public Schools","Albert Harris Elementary",43,"Master's Degree"
"Martinsville City Public Schools","Albert Harris Elementary",2,"Doctoral Degree"
"Martinsville City Public Schools","Martinsville High",50,"Bachelor's Degree"
"Martinsville City Public Schools","Martinsville High",45,"Master's Degree"
"Martinsville City Public Schools","Martinsville High",0,"Doctoral Degree"
"Martinsville City Public Schools","Martinsville Middle",53,"Bachelor's Degree"
"Martinsville City Public Schools","Martinsville Middle",44,"Master's Degree"
"Martinsville City Public Schools","Martinsville Middle",0,"Doctoral Degree"
"Martinsville City Public Schools","Patrick Henry Elementary",59,"Bachelor's Degree"
"Martinsville City Public Schools","Patrick Henry Elementary",41,"Master's Degree"
"Martinsville City Public Schools","Patrick Henry Elementary",0,"Doctoral Degree"
"Mathews County Public Schools","Mathews Elementary",46,"Bachelor's Degree"
"Mathews County Public Schools","Mathews Elementary",49,"Master's Degree"
"Mathews County Public Schools","Mathews Elementary",0,"Doctoral Degree"
"Mathews County Public Schools","Mathews High",34,"Bachelor's Degree"
"Mathews County Public Schools","Mathews High",51,"Master's Degree"
"Mathews County Public Schools","Mathews High",0,"Doctoral Degree"
"Mathews County Public Schools","Thomas Hunter Middle",43,"Bachelor's Degree"
"Mathews County Public Schools","Thomas Hunter Middle",49,"Master's Degree"
"Mathews County Public Schools","Thomas Hunter Middle",0,"Doctoral Degree"
"Mecklenburg County Public Schools","Bluestone  High",51,"Bachelor's Degree"
"Mecklenburg County Public Schools","Bluestone  High",38,"Master's Degree"
"Mecklenburg County Public Schools","Bluestone  High",2,"Doctoral Degree"
"Mecklenburg County Public Schools","Bluestone Middle",47,"Bachelor's Degree"
"Mecklenburg County Public Schools","Bluestone Middle",47,"Master's Degree"
"Mecklenburg County Public Schools","Bluestone Middle",3,"Doctoral Degree"
"Mecklenburg County Public Schools","Chase City Elementary",60,"Bachelor's Degree"
"Mecklenburg County Public Schools","Chase City Elementary",37,"Master's Degree"
"Mecklenburg County Public Schools","Chase City Elementary",3,"Doctoral Degree"
"Mecklenburg County Public Schools","Clarksville Elementary",46,"Bachelor's Degree"
"Mecklenburg County Public Schools","Clarksville Elementary",49,"Master's Degree"
"Mecklenburg County Public Schools","Clarksville Elementary",0,"Doctoral Degree"
"Mecklenburg County Public Schools","LaCrosse Elementary ",55,"Bachelor's Degree"
"Mecklenburg County Public Schools","LaCrosse Elementary ",45,"Master's Degree"
"Mecklenburg County Public Schools","LaCrosse Elementary ",0,"Doctoral Degree"
"Mecklenburg County Public Schools","Park View High",48,"Bachelor's Degree"
"Mecklenburg County Public Schools","Park View High",41,"Master's Degree"
"Mecklenburg County Public Schools","Park View High",1,"Doctoral Degree"
"Mecklenburg County Public Schools","Park View Middle",56,"Bachelor's Degree"
"Mecklenburg County Public Schools","Park View Middle",37,"Master's Degree"
"Mecklenburg County Public Schools","Park View Middle",2,"Doctoral Degree"
"Mecklenburg County Public Schools","South Hill Elementary",57,"Bachelor's Degree"
"Mecklenburg County Public Schools","South Hill Elementary",43,"Master's Degree"
"Mecklenburg County Public Schools","South Hill Elementary",0,"Doctoral Degree"
"Middlesex County Public Schools","Middlesex Elementary",57,"Bachelor's Degree"
"Middlesex County Public Schools","Middlesex Elementary",39,"Master's Degree"
"Middlesex County Public Schools","Middlesex Elementary",0,"Doctoral Degree"
"Middlesex County Public Schools","Middlesex High",58,"Bachelor's Degree"
"Middlesex County Public Schools","Middlesex High",40,"Master's Degree"
"Middlesex County Public Schools","Middlesex High",0,"Doctoral Degree"
"Middlesex County Public Schools","St. Clare Walker Middle",41,"Bachelor's Degree"
"Middlesex County Public Schools","St. Clare Walker Middle",56,"Master's Degree"
"Middlesex County Public Schools","St. Clare Walker Middle",0,"Doctoral Degree"
"Montgomery County Public Schools","Auburn Elementary",48,"Bachelor's Degree"
"Montgomery County Public Schools","Auburn Elementary",50,"Master's Degree"
"Montgomery County Public Schools","Auburn Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Auburn High",30,"Bachelor's Degree"
"Montgomery County Public Schools","Auburn High",64,"Master's Degree"
"Montgomery County Public Schools","Auburn High",4,"Doctoral Degree"
"Montgomery County Public Schools","Auburn Middle",54,"Bachelor's Degree"
"Montgomery County Public Schools","Auburn Middle",43,"Master's Degree"
"Montgomery County Public Schools","Auburn Middle",0,"Doctoral Degree"
"Montgomery County Public Schools","Belview Elementary",44,"Bachelor's Degree"
"Montgomery County Public Schools","Belview Elementary",53,"Master's Degree"
"Montgomery County Public Schools","Belview Elementary",3,"Doctoral Degree"
"Montgomery County Public Schools","Blacksburg High",29,"Bachelor's Degree"
"Montgomery County Public Schools","Blacksburg High",65,"Master's Degree"
"Montgomery County Public Schools","Blacksburg High",2,"Doctoral Degree"
"Montgomery County Public Schools","Blacksburg Middle",40,"Bachelor's Degree"
"Montgomery County Public Schools","Blacksburg Middle",58,"Master's Degree"
"Montgomery County Public Schools","Blacksburg Middle",2,"Doctoral Degree"
"Montgomery County Public Schools","Christiansburg Elementary",28,"Bachelor's Degree"
"Montgomery County Public Schools","Christiansburg Elementary",72,"Master's Degree"
"Montgomery County Public Schools","Christiansburg Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Christiansburg High",31,"Bachelor's Degree"
"Montgomery County Public Schools","Christiansburg High",63,"Master's Degree"
"Montgomery County Public Schools","Christiansburg High",1,"Doctoral Degree"
"Montgomery County Public Schools","Christiansburg Middle",37,"Bachelor's Degree"
"Montgomery County Public Schools","Christiansburg Middle",62,"Master's Degree"
"Montgomery County Public Schools","Christiansburg Middle",0,"Doctoral Degree"
"Montgomery County Public Schools","Christiansburg Primary",44,"Bachelor's Degree"
"Montgomery County Public Schools","Christiansburg Primary",56,"Master's Degree"
"Montgomery County Public Schools","Christiansburg Primary",0,"Doctoral Degree"
"Montgomery County Public Schools","Eastern Montgomery Elementary",34,"Bachelor's Degree"
"Montgomery County Public Schools","Eastern Montgomery Elementary",66,"Master's Degree"
"Montgomery County Public Schools","Eastern Montgomery Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Eastern Montgomery High",40,"Bachelor's Degree"
"Montgomery County Public Schools","Eastern Montgomery High",58,"Master's Degree"
"Montgomery County Public Schools","Eastern Montgomery High",0,"Doctoral Degree"
"Montgomery County Public Schools","Falling Branch Elementary",47,"Bachelor's Degree"
"Montgomery County Public Schools","Falling Branch Elementary",53,"Master's Degree"
"Montgomery County Public Schools","Falling Branch Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Gilbert Linkous Elementary",38,"Bachelor's Degree"
"Montgomery County Public Schools","Gilbert Linkous Elementary",59,"Master's Degree"
"Montgomery County Public Schools","Gilbert Linkous Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Harding Avenue Elementary",34,"Bachelor's Degree"
"Montgomery County Public Schools","Harding Avenue Elementary",63,"Master's Degree"
"Montgomery County Public Schools","Harding Avenue Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Kipps Elementary",42,"Bachelor's Degree"
"Montgomery County Public Schools","Kipps Elementary",55,"Master's Degree"
"Montgomery County Public Schools","Kipps Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Margaret Beeks Elementary",44,"Bachelor's Degree"
"Montgomery County Public Schools","Margaret Beeks Elementary",51,"Master's Degree"
"Montgomery County Public Schools","Margaret Beeks Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Prices Fork Elementary",38,"Bachelor's Degree"
"Montgomery County Public Schools","Prices Fork Elementary",62,"Master's Degree"
"Montgomery County Public Schools","Prices Fork Elementary",0,"Doctoral Degree"
"Montgomery County Public Schools","Shawsville Middle",35,"Bachelor's Degree"
"Montgomery County Public Schools","Shawsville Middle",62,"Master's Degree"
"Montgomery County Public Schools","Shawsville Middle",0,"Doctoral Degree"
"Nelson County Public Schools","Nelson County High",36,"Bachelor's Degree"
"Nelson County Public Schools","Nelson County High",55,"Master's Degree"
"Nelson County Public Schools","Nelson County High",3,"Doctoral Degree"
"Nelson County Public Schools","Nelson Middle",33,"Bachelor's Degree"
"Nelson County Public Schools","Nelson Middle",65,"Master's Degree"
"Nelson County Public Schools","Nelson Middle",3,"Doctoral Degree"
"Nelson County Public Schools","Rockfish River Elementary",31,"Bachelor's Degree"
"Nelson County Public Schools","Rockfish River Elementary",66,"Master's Degree"
"Nelson County Public Schools","Rockfish River Elementary",0,"Doctoral Degree"
"Nelson County Public Schools","Tye River Elementary",48,"Bachelor's Degree"
"Nelson County Public Schools","Tye River Elementary",48,"Master's Degree"
"Nelson County Public Schools","Tye River Elementary",3,"Doctoral Degree"
"New Kent County Public Schools","George W. Watkins Elementary",48,"Bachelor's Degree"
"New Kent County Public Schools","George W. Watkins Elementary",50,"Master's Degree"
"New Kent County Public Schools","George W. Watkins Elementary",0,"Doctoral Degree"
"New Kent County Public Schools","New Kent Elementary ",45,"Bachelor's Degree"
"New Kent County Public Schools","New Kent Elementary ",50,"Master's Degree"
"New Kent County Public Schools","New Kent Elementary ",0,"Doctoral Degree"
"New Kent County Public Schools","New Kent High ",37,"Bachelor's Degree"
"New Kent County Public Schools","New Kent High ",62,"Master's Degree"
"New Kent County Public Schools","New Kent High ",0,"Doctoral Degree"
"New Kent County Public Schools","New Kent Middle ",52,"Bachelor's Degree"
"New Kent County Public Schools","New Kent Middle ",46,"Master's Degree"
"New Kent County Public Schools","New Kent Middle ",0,"Doctoral Degree"
"Newport News City Public Schools","Achievable Dream Academy",36,"Bachelor's Degree"
"Newport News City Public Schools","Achievable Dream Academy",57,"Master's Degree"
"Newport News City Public Schools","Achievable Dream Academy",0,"Doctoral Degree"
"Newport News City Public Schools","Achievable Dream Middle/High ",39,"Bachelor's Degree"
"Newport News City Public Schools","Achievable Dream Middle/High ",55,"Master's Degree"
"Newport News City Public Schools","Achievable Dream Middle/High ",0,"Doctoral Degree"
"Newport News City Public Schools","B.C. Charles Elementary ",41,"Bachelor's Degree"
"Newport News City Public Schools","B.C. Charles Elementary ",56,"Master's Degree"
"Newport News City Public Schools","B.C. Charles Elementary ",0,"Doctoral Degree"
"Newport News City Public Schools","B.T. Washington Middle ",14,"Bachelor's Degree"
"Newport News City Public Schools","B.T. Washington Middle ",69,"Master's Degree"
"Newport News City Public Schools","B.T. Washington Middle ",6,"Doctoral Degree"
"Newport News City Public Schools","Carver Elementary",41,"Bachelor's Degree"
"Newport News City Public Schools","Carver Elementary",54,"Master's Degree"
"Newport News City Public Schools","Carver Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Crittenden Middle",41,"Bachelor's Degree"
"Newport News City Public Schools","Crittenden Middle",49,"Master's Degree"
"Newport News City Public Schools","Crittenden Middle",2,"Doctoral Degree"
"Newport News City Public Schools","David A. Dutrow Elementary",26,"Bachelor's Degree"
"Newport News City Public Schools","David A. Dutrow Elementary",71,"Master's Degree"
"Newport News City Public Schools","David A. Dutrow Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Deer Park Elementary",43,"Bachelor's Degree"
"Newport News City Public Schools","Deer Park Elementary",49,"Master's Degree"
"Newport News City Public Schools","Deer Park Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Denbigh High",38,"Bachelor's Degree"
"Newport News City Public Schools","Denbigh High",51,"Master's Degree"
"Newport News City Public Schools","Denbigh High",3,"Doctoral Degree"
"Newport News City Public Schools","Discovery STEM Academy",27,"Bachelor's Degree"
"Newport News City Public Schools","Discovery STEM Academy",60,"Master's Degree"
"Newport News City Public Schools","Discovery STEM Academy",0,"Doctoral Degree"
"Newport News City Public Schools","Ella J. Fitzgerald Middle ",42,"Bachelor's Degree"
"Newport News City Public Schools","Ella J. Fitzgerald Middle ",54,"Master's Degree"
"Newport News City Public Schools","Ella J. Fitzgerald Middle ",1,"Doctoral Degree"
"Newport News City Public Schools","Ethel M. Gildersleeve Middle",33,"Bachelor's Degree"
"Newport News City Public Schools","Ethel M. Gildersleeve Middle",62,"Master's Degree"
"Newport News City Public Schools","Ethel M. Gildersleeve Middle",2,"Doctoral Degree"
"Newport News City Public Schools","General Stanford Elementary",38,"Bachelor's Degree"
"Newport News City Public Schools","General Stanford Elementary",59,"Master's Degree"
"Newport News City Public Schools","General Stanford Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","George J. McIntosh Elementary ",33,"Bachelor's Degree"
"Newport News City Public Schools","George J. McIntosh Elementary ",60,"Master's Degree"
"Newport News City Public Schools","George J. McIntosh Elementary ",0,"Doctoral Degree"
"Newport News City Public Schools","Heritage High",46,"Bachelor's Degree"
"Newport News City Public Schools","Heritage High",45,"Master's Degree"
"Newport News City Public Schools","Heritage High",2,"Doctoral Degree"
"Newport News City Public Schools","Hidenwood Elementary",48,"Bachelor's Degree"
"Newport News City Public Schools","Hidenwood Elementary",45,"Master's Degree"
"Newport News City Public Schools","Hidenwood Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Hilton Elementary",31,"Bachelor's Degree"
"Newport News City Public Schools","Hilton Elementary",65,"Master's Degree"
"Newport News City Public Schools","Hilton Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Homer L. Hines Middle",39,"Bachelor's Degree"
"Newport News City Public Schools","Homer L. Hines Middle",45,"Master's Degree"
"Newport News City Public Schools","Homer L. Hines Middle",1,"Doctoral Degree"
"Newport News City Public Schools","Huntington Middle",41,"Bachelor's Degree"
"Newport News City Public Schools","Huntington Middle",49,"Master's Degree"
"Newport News City Public Schools","Huntington Middle",3,"Doctoral Degree"
"Newport News City Public Schools","John Marshall Early Childhood Center",43,"Bachelor's Degree"
"Newport News City Public Schools","John Marshall Early Childhood Center",53,"Master's Degree"
"Newport News City Public Schools","John Marshall Early Childhood Center",0,"Doctoral Degree"
"Newport News City Public Schools","Joseph H. Saunders Elementary",44,"Bachelor's Degree"
"Newport News City Public Schools","Joseph H. Saunders Elementary",53,"Master's Degree"
"Newport News City Public Schools","Joseph H. Saunders Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Katherine Johnson Elementary",43,"Bachelor's Degree"
"Newport News City Public Schools","Katherine Johnson Elementary",48,"Master's Degree"
"Newport News City Public Schools","Katherine Johnson Elementary",2,"Doctoral Degree"
"Newport News City Public Schools","Kiln Creek Elementary",41,"Bachelor's Degree"
"Newport News City Public Schools","Kiln Creek Elementary",52,"Master's Degree"
"Newport News City Public Schools","Kiln Creek Elementary",2,"Doctoral Degree"
"Newport News City Public Schools","Knollwood Meadows Elementary ",43,"Bachelor's Degree"
"Newport News City Public Schools","Knollwood Meadows Elementary ",49,"Master's Degree"
"Newport News City Public Schools","Knollwood Meadows Elementary ",2,"Doctoral Degree"
"Newport News City Public Schools","L.F. Palmer Elementary ",27,"Bachelor's Degree"
"Newport News City Public Schools","L.F. Palmer Elementary ",70,"Master's Degree"
"Newport News City Public Schools","L.F. Palmer Elementary ",0,"Doctoral Degree"
"Newport News City Public Schools","Mary Passage Middle",36,"Bachelor's Degree"
"Newport News City Public Schools","Mary Passage Middle",59,"Master's Degree"
"Newport News City Public Schools","Mary Passage Middle",0,"Doctoral Degree"
"Newport News City Public Schools","Menchville High",36,"Bachelor's Degree"
"Newport News City Public Schools","Menchville High",60,"Master's Degree"
"Newport News City Public Schools","Menchville High",0,"Doctoral Degree"
"Newport News City Public Schools","Newsome Park Elementary",33,"Bachelor's Degree"
"Newport News City Public Schools","Newsome Park Elementary",56,"Master's Degree"
"Newport News City Public Schools","Newsome Park Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Oliver C. Greenwood Elementary",26,"Bachelor's Degree"
"Newport News City Public Schools","Oliver C. Greenwood Elementary",70,"Master's Degree"
"Newport News City Public Schools","Oliver C. Greenwood Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Richard T. Yates Elementary",51,"Bachelor's Degree"
"Newport News City Public Schools","Richard T. Yates Elementary",34,"Master's Degree"
"Newport News City Public Schools","Richard T. Yates Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Richneck Elementary",38,"Bachelor's Degree"
"Newport News City Public Schools","Richneck Elementary",50,"Master's Degree"
"Newport News City Public Schools","Richneck Elementary",2,"Doctoral Degree"
"Newport News City Public Schools","Riverside Elementary",35,"Bachelor's Degree"
"Newport News City Public Schools","Riverside Elementary",54,"Master's Degree"
"Newport News City Public Schools","Riverside Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Sedgefield Elementary",28,"Bachelor's Degree"
"Newport News City Public Schools","Sedgefield Elementary",64,"Master's Degree"
"Newport News City Public Schools","Sedgefield Elementary",3,"Doctoral Degree"
"Newport News City Public Schools","Stoney Run Elementary ",52,"Bachelor's Degree"
"Newport News City Public Schools","Stoney Run Elementary ",43,"Master's Degree"
"Newport News City Public Schools","Stoney Run Elementary ",0,"Doctoral Degree"
"Newport News City Public Schools","T. Ryland Sanford Elementary",34,"Bachelor's Degree"
"Newport News City Public Schools","T. Ryland Sanford Elementary",61,"Master's Degree"
"Newport News City Public Schools","T. Ryland Sanford Elementary",3,"Doctoral Degree"
"Newport News City Public Schools","Warwick High",39,"Bachelor's Degree"
"Newport News City Public Schools","Warwick High",54,"Master's Degree"
"Newport News City Public Schools","Warwick High",2,"Doctoral Degree"
"Newport News City Public Schools","Willis A. Jenkins Elementary",26,"Bachelor's Degree"
"Newport News City Public Schools","Willis A. Jenkins Elementary",71,"Master's Degree"
"Newport News City Public Schools","Willis A. Jenkins Elementary",0,"Doctoral Degree"
"Newport News City Public Schools","Woodside High",34,"Bachelor's Degree"
"Newport News City Public Schools","Woodside High",62,"Master's Degree"
"Newport News City Public Schools","Woodside High",1,"Doctoral Degree"
"Norfolk City Public Schools","Academy for Discovery at Lakewood",43,"Bachelor's Degree"
"Norfolk City Public Schools","Academy for Discovery at Lakewood",55,"Master's Degree"
"Norfolk City Public Schools","Academy for Discovery at Lakewood",2,"Doctoral Degree"
"Norfolk City Public Schools","Azalea Gardens Middle",39,"Bachelor's Degree"
"Norfolk City Public Schools","Azalea Gardens Middle",54,"Master's Degree"
"Norfolk City Public Schools","Azalea Gardens Middle",3,"Doctoral Degree"
"Norfolk City Public Schools","Bay View Elementary",26,"Bachelor's Degree"
"Norfolk City Public Schools","Bay View Elementary",66,"Master's Degree"
"Norfolk City Public Schools","Bay View Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Blair Middle",39,"Bachelor's Degree"
"Norfolk City Public Schools","Blair Middle",56,"Master's Degree"
"Norfolk City Public Schools","Blair Middle",1,"Doctoral Degree"
"Norfolk City Public Schools","Booker T Washington High",24,"Bachelor's Degree"
"Norfolk City Public Schools","Booker T Washington High",61,"Master's Degree"
"Norfolk City Public Schools","Booker T Washington High",4,"Doctoral Degree"
"Norfolk City Public Schools","Camp Allen Elementary",36,"Bachelor's Degree"
"Norfolk City Public Schools","Camp Allen Elementary",58,"Master's Degree"
"Norfolk City Public Schools","Camp Allen Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Chesterfield Academy Elementary",34,"Bachelor's Degree"
"Norfolk City Public Schools","Chesterfield Academy Elementary",58,"Master's Degree"
"Norfolk City Public Schools","Chesterfield Academy Elementary",3,"Doctoral Degree"
"Norfolk City Public Schools","Coleman Place Elementary",51,"Bachelor's Degree"
"Norfolk City Public Schools","Coleman Place Elementary",44,"Master's Degree"
"Norfolk City Public Schools","Coleman Place Elementary",4,"Doctoral Degree"
"Norfolk City Public Schools","Crossroads Elementary",39,"Bachelor's Degree"
"Norfolk City Public Schools","Crossroads Elementary",55,"Master's Degree"
"Norfolk City Public Schools","Crossroads Elementary",4,"Doctoral Degree"
"Norfolk City Public Schools","Ghent K-8",41,"Bachelor's Degree"
"Norfolk City Public Schools","Ghent K-8",54,"Master's Degree"
"Norfolk City Public Schools","Ghent K-8",2,"Doctoral Degree"
"Norfolk City Public Schools","Granby Elementary",42,"Bachelor's Degree"
"Norfolk City Public Schools","Granby Elementary",52,"Master's Degree"
"Norfolk City Public Schools","Granby Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Granby High",37,"Bachelor's Degree"
"Norfolk City Public Schools","Granby High",55,"Master's Degree"
"Norfolk City Public Schools","Granby High",1,"Doctoral Degree"
"Norfolk City Public Schools","Ingleside Elementary",27,"Bachelor's Degree"
"Norfolk City Public Schools","Ingleside Elementary",67,"Master's Degree"
"Norfolk City Public Schools","Ingleside Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Jacox Elementary",23,"Bachelor's Degree"
"Norfolk City Public Schools","Jacox Elementary",65,"Master's Degree"
"Norfolk City Public Schools","Jacox Elementary",3,"Doctoral Degree"
"Norfolk City Public Schools","James Monroe Elementary",37,"Bachelor's Degree"
"Norfolk City Public Schools","James Monroe Elementary",55,"Master's Degree"
"Norfolk City Public Schools","James Monroe Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Lake Taylor",36,"Bachelor's Degree"
"Norfolk City Public Schools","Lake Taylor",58,"Master's Degree"
"Norfolk City Public Schools","Lake Taylor",2,"Doctoral Degree"
"Norfolk City Public Schools","Lake Taylor High ",40,"Bachelor's Degree"
"Norfolk City Public Schools","Lake Taylor High ",43,"Master's Degree"
"Norfolk City Public Schools","Lake Taylor High ",5,"Doctoral Degree"
"Norfolk City Public Schools","Larchmont Elementary",29,"Bachelor's Degree"
"Norfolk City Public Schools","Larchmont Elementary",64,"Master's Degree"
"Norfolk City Public Schools","Larchmont Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Larrymore Elementary",47,"Bachelor's Degree"
"Norfolk City Public Schools","Larrymore Elementary",49,"Master's Degree"
"Norfolk City Public Schools","Larrymore Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Lindenwood Elementary",40,"Bachelor's Degree"
"Norfolk City Public Schools","Lindenwood Elementary",57,"Master's Degree"
"Norfolk City Public Schools","Lindenwood Elementary",3,"Doctoral Degree"
"Norfolk City Public Schools","Little Creek Elementary",48,"Bachelor's Degree"
"Norfolk City Public Schools","Little Creek Elementary",47,"Master's Degree"
"Norfolk City Public Schools","Little Creek Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Mary Calcott Elementary",39,"Bachelor's Degree"
"Norfolk City Public Schools","Mary Calcott Elementary",50,"Master's Degree"
"Norfolk City Public Schools","Mary Calcott Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Matthew Fontaine Maury High",31,"Bachelor's Degree"
"Norfolk City Public Schools","Matthew Fontaine Maury High",64,"Master's Degree"
"Norfolk City Public Schools","Matthew Fontaine Maury High",1,"Doctoral Degree"
"Norfolk City Public Schools","Northside Middle",46,"Bachelor's Degree"
"Norfolk City Public Schools","Northside Middle",52,"Master's Degree"
"Norfolk City Public Schools","Northside Middle",1,"Doctoral Degree"
"Norfolk City Public Schools","Norview Elementary",35,"Bachelor's Degree"
"Norfolk City Public Schools","Norview Elementary",60,"Master's Degree"
"Norfolk City Public Schools","Norview Elementary",0,"Doctoral Degree"
"Norfolk City Public Schools","Norview High",37,"Bachelor's Degree"
"Norfolk City Public Schools","Norview High",54,"Master's Degree"
"Norfolk City Public Schools","Norview High",1,"Doctoral Degree"
"Norfolk City Public Schools","Norview Middle",47,"Bachelor's Degree"
"Norfolk City Public Schools","Norview Middle",49,"Master's Degree"
"Norfolk City Public Schools","Norview Middle",0,"Doctoral Degree"
"Norfolk City Public Schools","Ocean View Elementary",31,"Bachelor's Degree"
"Norfolk City Public Schools","Ocean View Elementary",65,"Master's Degree"
"Norfolk City Public Schools","Ocean View Elementary",2,"Doctoral Degree"
"Norfolk City Public Schools","Oceanair Elementary",33,"Bachelor's Degree"
"Norfolk City Public Schools","Oceanair Elementary",65,"Master's Degree"
"Norfolk City Public Schools","Oceanair Elementary",0,"Doctoral Degree"
