"Division","School","Year.Percent","Type"
"Alleghany County Public Schools","Callaghan Elementary",0,"Doctoral Degree"
"Alleghany County Public Schools","Clifton Middle",50,"Bachelor's Degree"
"Alleghany County Public Schools","Clifton Middle",48,"Master's Degree"
"Alleghany County Public Schools","Clifton Middle",0,"Doctoral Degree"
"Alleghany County Public Schools","Mountain View Elementary",42,"Bachelor's Degree"
"Alleghany County Public Schools","Mountain View Elementary",56,"Master's Degree"
"Alleghany County Public Schools","Mountain View Elementary",0,"Doctoral Degree"
"Alleghany County Public Schools","Sharon Elementary",48,"Bachelor's Degree"
"Alleghany County Public Schools","Sharon Elementary",48,"Master's Degree"
"Alleghany County Public Schools","Sharon Elementary",0,"Doctoral Degree"
"Amelia County Public Schools","Amelia County Elementary",60,"Bachelor's Degree"
"Amelia County Public Schools","Amelia County Elementary",38,"Master's Degree"
"Amelia County Public Schools","Amelia County Elementary",0,"Doctoral Degree"
"Amelia County Public Schools","Amelia County High",60,"Bachelor's Degree"
"Amelia County Public Schools","Amelia County High",38,"Master's Degree"
"Amelia County Public Schools","Amelia County High",0,"Doctoral Degree"
"Amelia County Public Schools","Amelia County Middle",58,"Bachelor's Degree"
"Amelia County Public Schools","Amelia County Middle",40,"Master's Degree"
"Amelia County Public Schools","Amelia County Middle",2,"Doctoral Degree"
"Amherst County Public Schools","Amelon Elementary",45,"Bachelor's Degree"
"Amherst County Public Schools","Amelon Elementary",55,"Master's Degree"
"Amherst County Public Schools","Amelon Elementary",0,"Doctoral Degree"
"Amherst County Public Schools","Amherst County High",43,"Bachelor's Degree"
"Amherst County Public Schools","Amherst County High",50,"Master's Degree"
"Amherst County Public Schools","Amherst County High",1,"Doctoral Degree"
"Amherst County Public Schools","Amherst Elementary",56,"Bachelor's Degree"
"Amherst County Public Schools","Amherst Elementary",44,"Master's Degree"
"Amherst County Public Schools","Amherst Elementary",0,"Doctoral Degree"
"Amherst County Public Schools","Amherst Middle",46,"Bachelor's Degree"
"Amherst County Public Schools","Amherst Middle",51,"Master's Degree"
"Amherst County Public Schools","Amherst Middle",0,"Doctoral Degree"
"Amherst County Public Schools","Central Elementary",28,"Bachelor's Degree"
"Amherst County Public Schools","Central Elementary",67,"Master's Degree"
"Amherst County Public Schools","Central Elementary",0,"Doctoral Degree"
"Amherst County Public Schools","Elon Elementary",42,"Bachelor's Degree"
"Amherst County Public Schools","Elon Elementary",58,"Master's Degree"
"Amherst County Public Schools","Elon Elementary",0,"Doctoral Degree"
"Amherst County Public Schools","Madison Heights Elementary",50,"Bachelor's Degree"
"Amherst County Public Schools","Madison Heights Elementary",48,"Master's Degree"
"Amherst County Public Schools","Madison Heights Elementary",2,"Doctoral Degree"
"Amherst County Public Schools","Monelison Middle",48,"Bachelor's Degree"
"Amherst County Public Schools","Monelison Middle",52,"Master's Degree"
"Amherst County Public Schools","Monelison Middle",0,"Doctoral Degree"
"Amherst County Public Schools","Temperance Elementary",54,"Bachelor's Degree"
"Amherst County Public Schools","Temperance Elementary",46,"Master's Degree"
"Amherst County Public Schools","Temperance Elementary",0,"Doctoral Degree"
"Appomattox County Public Schools","Appomattox County High",45,"Bachelor's Degree"
"Appomattox County Public Schools","Appomattox County High",47,"Master's Degree"
"Appomattox County Public Schools","Appomattox County High",2,"Doctoral Degree"
"Appomattox County Public Schools","Appomattox Elementary",61,"Bachelor's Degree"
"Appomattox County Public Schools","Appomattox Elementary",36,"Master's Degree"
"Appomattox County Public Schools","Appomattox Elementary",0,"Doctoral Degree"
"Appomattox County Public Schools","Appomattox Middle",55,"Bachelor's Degree"
"Appomattox County Public Schools","Appomattox Middle",41,"Master's Degree"
"Appomattox County Public Schools","Appomattox Middle",5,"Doctoral Degree"
"Appomattox County Public Schools","Appomattox Primary",56,"Bachelor's Degree"
"Appomattox County Public Schools","Appomattox Primary",42,"Master's Degree"
"Appomattox County Public Schools","Appomattox Primary",0,"Doctoral Degree"
"Arlington County Public Schools","Abingdon Elementary",23,"Bachelor's Degree"
"Arlington County Public Schools","Abingdon Elementary",77,"Master's Degree"
"Arlington County Public Schools","Abingdon Elementary",0,"Doctoral Degree"
"Arlington County Public Schools","Alice West Fleet Elementary",30,"Bachelor's Degree"
"Arlington County Public Schools","Alice West Fleet Elementary",66,"Master's Degree"
"Arlington County Public Schools","Alice West Fleet Elementary",3,"Doctoral Degree"
"Arlington County Public Schools","Arlington Community High",11,"Bachelor's Degree"
"Arlington County Public Schools","Arlington Community High",71,"Master's Degree"
"Arlington County Public Schools","Arlington Community High",18,"Doctoral Degree"
