"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Hampton City Public Schools","Phoebus High",11515
"2018 - 2019","Hampton City Public Schools","Benjamin Syms Middle",10647
"2018 - 2019","Hampton City Public Schools","C. Alton Lindsay Middle",11935
"2018 - 2019","Hampton City Public Schools","Cesar Tarrant Middle",11414
"2018 - 2019","Hampton City Public Schools","Francis W. Jones Magnet Middle",11081
"2018 - 2019","Hampton City Public Schools","Thomas Eaton Middle",11118
"2018 - 2019","Hampton City Public Schools","Samuel P. Langley Elementary",10112
"2018 - 2019","Hampton City Public Schools","A.W.E. Bassette Elementary",12030
"2018 - 2019","Hampton City Public Schools","Mary S. Peake Elementary",12158
"2018 - 2019","Hampton City Public Schools","Luther W. Machen Elementary ",11719
"2018 - 2019","Hampton City Public Schools","Aberdeen Elementary",10306
"2018 - 2019","Hampton City Public Schools","Alfred S. Forrest Elementary",10769
"2018 - 2019","Hampton City Public Schools","Captain John Smith Elementary",11115
"2018 - 2019","Hampton City Public Schools","Jane H. Bryan Elementary",11912
"2018 - 2019","Hampton City Public Schools","Christopher C. Kraft Elementary ",10819
"2018 - 2019","Hampton City Public Schools","Francis Asbury Elementary",9968
"2018 - 2019","Hampton City Public Schools","Phillips Elementary",10130
"2018 - 2019","Hampton City Public Schools","Paul Burbank Elementary",10441
"2018 - 2019","Hampton City Public Schools","Albert W. Patrick III Elementary",10473
"2018 - 2019","Hampton City Public Schools","Barron Elementary",10878
"2018 - 2019","Hampton City Public Schools","Mary T. Christian Elementary",11432
"2018 - 2019","Hampton City Public Schools","William Mason Cooper Elementary",10370
"2018 - 2019","Hampton City Public Schools","Mary W. Jackson Elementary",11653
"2018 - 2019","Hampton City Public Schools","Armstrong Elementary",10551
"2018 - 2019","Carroll County Public Schools","Carroll County High",10270
"2018 - 2019","Carroll County Public Schools","Carroll County Middle",10053
"2018 - 2019","Carroll County Public Schools","Hillsville Elementary",10435
"2018 - 2019","Carroll County Public Schools","St. Paul",11447
"2018 - 2019","Carroll County Public Schools","Gladeville Elementary",10621
"2018 - 2019","Carroll County Public Schools","Laurel Elementary",10167
"2018 - 2019","Carroll County Public Schools","Oakland Elementary",11510
"2018 - 2019","Carroll County Public Schools","Fancy Gap Elementary",10739
"2018 - 2019","Carroll County Public Schools","Gladesboro Elementary",11796
"2018 - 2019","Franklin County Public Schools","Franklin County High",11474
"2018 - 2019","Franklin County Public Schools","Benjamin Franklin Middle",11532
"2018 - 2019","Franklin County Public Schools","Lee M. Waid Elementary",11469
"2018 - 2019","Franklin County Public Schools","Rocky Mount Elementary",11206
"2018 - 2019","Franklin County Public Schools","Sontag Elementary",11418
"2018 - 2019","Franklin County Public Schools","Boones Mill Elementary",11503
"2018 - 2019","Franklin County Public Schools","Windy Gap Elementary",11069
"2018 - 2019","Franklin County Public Schools","Burnt Chimney Elementary",11725
"2018 - 2019","Franklin County Public Schools","Dudley Elementary",11463
"2018 - 2019","Franklin County Public Schools","Glade Hill Elementary",11417
"2018 - 2019","Franklin County Public Schools","Callaway Elementary",11487
"2018 - 2019","Franklin County Public Schools","Ferrum Elementary",11484
"2018 - 2019","Franklin County Public Schools","Henry Elementary",11400
"2018 - 2019","Franklin County Public Schools","Snow Creek Elementary",11466
"2018 - 2019","Bedford County Public Schools","Jefferson Forest High",9388
"2018 - 2019","Bedford County Public Schools","Staunton River High",10179
"2018 - 2019","Bedford County Public Schools","Liberty High",11317
"2018 - 2019","Bedford County Public Schools","Forest Middle",8942
"2018 - 2019","Bedford County Public Schools","Staunton River Middle",9543
"2018 - 2019","Bedford County Public Schools","Liberty Middle",11382
"2018 - 2019","Wythe County Public Schools","Spiller Elementary",9616
"2018 - 2019","Bedford County Public Schools","Thomas Jefferson Elementary",9486
"2018 - 2019","Wythe County Public Schools","Fort Chiswell High",10798
"2018 - 2019","Bedford County Public Schools","Bedford Elementary",10899
"2018 - 2019","Bedford County Public Schools","Goodview Elementary",10315
"2018 - 2019","Wythe County Public Schools","George Wythe High",10674
"2018 - 2019","Wythe County Public Schools","Rural Retreat High",10824
"2018 - 2019","Bedford County Public Schools","Stewartsville Elementary",10846
"2018 - 2019","Wythe County Public Schools","Rural Retreat Elementary",9873
"2018 - 2019","Bedford County Public Schools","Forest Elementary",9473
"2018 - 2019","Wythe County Public Schools","Fort Chiswell Middle",10182
"2018 - 2019","Bedford County Public Schools","New London Academy Elementary",10664
"2018 - 2019","Wythe County Public Schools","Scott Memorial Middle",8987
"2018 - 2019","Bedford County Public Schools","Bedford Primary",11797
"2018 - 2019","Bedford County Public Schools","Montvale Elementary",11968
"2018 - 2019","Bedford County Public Schools","Boonsboro Elementary",9460
"2018 - 2019","Bedford County Public Schools","Huddleston Elementary",10488
"2018 - 2019","Bedford County Public Schools","Moneta Elementary",12405
"2018 - 2019","Bedford County Public Schools","Otter River Elementary",10990
"2018 - 2019","Wythe County Public Schools","Max Meadows Elementary",11271
"2018 - 2019","Wythe County Public Schools","Sheffey Elementary",9264
"2018 - 2019","Wythe County Public Schools","Jackson Memorial Elementary",10700
"2018 - 2019","Wythe County Public Schools","Rural Retreat Middle",9338
"2018 - 2019","Bedford County Public Schools","Big Island Elementary",12715
"2018 - 2019","Wythe County Public Schools","Speedwell Elementary",10152
"2018 - 2019","Augusta County Public Schools","Edward G. Clymore Elementary",12231
"2018 - 2019","Augusta County Public Schools","Fort Defiance High",12148
"2018 - 2019","Augusta County Public Schools","Wilson Memorial High",12108
"2018 - 2019","Augusta County Public Schools","Stuarts Draft High",12766
"2018 - 2019","Augusta County Public Schools","Riverheads Elementary",11520
"2018 - 2019","Augusta County Public Schools","Cassell Elementary",11547
"2018 - 2019","Augusta County Public Schools","Wilson Elementary",11253
"2018 - 2019","Augusta County Public Schools","Stuarts Draft Elementary",12122
"2018 - 2019","Augusta County Public Schools","Buffalo Gap High",13444
"2018 - 2019","Augusta County Public Schools","Riverheads High",13252
"2018 - 2019","Augusta County Public Schools","Guy K. Stump Elementary",11785
"2018 - 2019","Augusta County Public Schools","Churchville Elementary",12216
"2018 - 2019","Augusta County Public Schools","North River Elementary",13596
"2018 - 2019","Augusta County Public Schools","Craigsville Elementary",14940
"2018 - 2019","Colonial Heights City Public Schools","Colonial Heights High",12495
"2018 - 2019","Colonial Heights City Public Schools","Colonial Heights Middle",12240
"2018 - 2019","Colonial Heights City Public Schools","Tussing Elementary",11801
"2018 - 2019","Colonial Heights City Public Schools","Lakeview Elementary",12442
"2018 - 2019","Colonial Heights City Public Schools","North Elementary",12096
"2018 - 2019","Greensville County Public Schools","Greensville Elementary",11867
"2018 - 2019","Greensville County Public Schools","Greensville County High",11379
"2018 - 2019","Greensville County Public Schools","Edward W. Wyatt Middle",11630
"2018 - 2019","Greensville County Public Schools","Belfield Elementary",11307
"2018 - 2019","Prince Edward County Public Schools","Prince Edward Elementary",10957
"2018 - 2019","Prince Edward County Public Schools","Prince Edward County High",10196
"2018 - 2019","Prince Edward County Public Schools","Prince Edward Middle",9514
"2018 - 2019","Patrick County Public Schools","Patrick County High",10337
"2018 - 2019","Patrick County Public Schools","Stuart Elementary",10549
"2018 - 2019","Patrick County Public Schools","Meadows of Dan Elementary ",8191
"2018 - 2019","Patrick County Public Schools","Patrick Springs Primary",10409
"2018 - 2019","Patrick County Public Schools","Blue Ridge Elementary",9271
"2018 - 2019","Patrick County Public Schools","Hardin Reynolds Memorial School",10618
"2018 - 2019","Patrick County Public Schools","Woolwine Elementary",11190
"2018 - 2019","Prince George County Public Schools","Prince George High",9963
"2018 - 2019","Prince George County Public Schools","J.E.J. Moore Middle ",10298
"2018 - 2019","Prince George County Public Schools","North Elementary",9305
"2018 - 2019","Prince George County Public Schools","David A. Harrison Elementary",10237
"2018 - 2019","Prince George County Public Schools","L.L. Beazley Elementary",9727
"2018 - 2019","Prince George County Public Schools","William A. Walton Elementary",9677
"2018 - 2019","Prince George County Public Schools","South Elementary",10339
"2018 - 2019","Portsmouth City Public Schools","Manor High",11903
"2018 - 2019","Portsmouth City Public Schools","Churchland High",10681
"2018 - 2019","Portsmouth City Public Schools","I.C. Norcom High",12528
"2018 - 2019","Portsmouth City Public Schools","Churchland Middle",10216
"2018 - 2019","Portsmouth City Public Schools","Churchland Elementary",9336
"2018 - 2019","Portsmouth City Public Schools","Simonsdale Elementary",10350
"2018 - 2019","Portsmouth City Public Schools","Douglass Park Elementary",10809
"2018 - 2019","Portsmouth City Public Schools","William E. Waters Middle",12097
"2018 - 2019","Portsmouth City Public Schools","Churchland Academy Elementary",9663
"2018 - 2019","Portsmouth City Public Schools","Waterview Elementary",10928
"2018 - 2019","Portsmouth City Public Schools","Cradock Elementary",10933
"2018 - 2019","Portsmouth City Public Schools","Cradock Middle",13323
"2018 - 2019","Portsmouth City Public Schools","Park View Elementary",10830
"2018 - 2019","Portsmouth City Public Schools","Westhaven Elementary",11439
"2018 - 2019","Portsmouth City Public Schools","Victory Elementary",9808
"2018 - 2019","Portsmouth City Public Schools","Hodges Manor Elementary",9884
"2018 - 2019","Portsmouth City Public Schools","Brighton Elementary ",12761
"2018 - 2019","Portsmouth City Public Schools","Lakeview Elementary",11456
"2018 - 2019","Portsmouth City Public Schools","Churchland Primary & Intermediate",9710
"2018 - 2019","Buena Vista City Public Schools","Parry McCluer High",11171
"2018 - 2019","Buena Vista City Public Schools","F.W. Kling Jr. Elementary",9208
"2018 - 2019","Buena Vista City Public Schools","Enderly Heights Elementary",12128
"2018 - 2019","Buena Vista City Public Schools","Parry McCluer Middle",13094
"2018 - 2019","Botetourt County Public Schools","Lord Botetourt High",10004
"2018 - 2019","Botetourt County Public Schools","Read Mountain Middle",10746
"2018 - 2019","Botetourt County Public Schools","James River High",10833
"2018 - 2019","Botetourt County Public Schools","Central Academy Middle",11824
"2018 - 2019","Botetourt County Public Schools","Greenfield Elementary",10805
"2018 - 2019","Botetourt County Public Schools","Colonial Elementary",10287
"2018 - 2019","Botetourt County Public Schools","Buchanan Elementary",10912
"2018 - 2019","Botetourt County Public Schools","Cloverdale Elementary",10124
"2018 - 2019","Botetourt County Public Schools","Troutville Elementary",10911
"2018 - 2019","Botetourt County Public Schools","Breckinridge Elementary",12321
"2018 - 2019","Botetourt County Public Schools","Eagle Rock Elementary",12349
"2018 - 2019","New Kent County Public Schools","New Kent High ",10212
"2018 - 2019","New Kent County Public Schools","New Kent Elementary ",9874
"2018 - 2019","New Kent County Public Schools","New Kent Middle ",8761
"2018 - 2019","New Kent County Public Schools","George W. Watkins Elementary",9189
"2018 - 2019","Newport News City Public Schools","Woodside High",9962
"2018 - 2019","Newport News City Public Schools","Menchville High",11564
"2018 - 2019","Newport News City Public Schools","Warwick High",10720
"2018 - 2019","Newport News City Public Schools","Denbigh High",10980
"2018 - 2019","Newport News City Public Schools","Heritage High",11024
"2018 - 2019","Newport News City Public Schools","Carver Elementary",13698
"2018 - 2019","Newport News City Public Schools","Mary Passage Middle",9706
"2018 - 2019","Newport News City Public Schools","Kiln Creek Elementary",12049
"2018 - 2019","Newport News City Public Schools","Discovery STEM Academy",12722
"2018 - 2019","Newport News City Public Schools","Joseph H. Saunders Elementary",10237
"2018 - 2019","Newport News City Public Schools","Achievable Dream Academy",12364
"2018 - 2019","Newport News City Public Schools","Knollwood Meadows Elementary ",12354
"2018 - 2019","Newport News City Public Schools","Oliver C. Greenwood Elementary",11543
"2018 - 2019","Newport News City Public Schools","Stoney Run Elementary ",13649
"2018 - 2019","Newport News City Public Schools","Richneck Elementary",10574
"2018 - 2019","Newport News City Public Schools","Hidenwood Elementary",12358
"2018 - 2019","Newport News City Public Schools","George J. McIntosh Elementary ",14534
"2018 - 2019","Newport News City Public Schools","Ethel M. Gildersleeve Middle",5853
"2018 - 2019","Newport News City Public Schools","Ella J. Fitzgerald Middle ",5894
"2018 - 2019","Newport News City Public Schools","Katherine Johnson Elementary",12051
"2018 - 2019","Newport News City Public Schools","Sedgefield Elementary",14565
"2018 - 2019","Newport News City Public Schools","Crittenden Middle",6164
"2018 - 2019","Newport News City Public Schools","Newsome Park Elementary",13851
"2018 - 2019","Newport News City Public Schools","L.F. Palmer Elementary ",14651
"2018 - 2019","Newport News City Public Schools","Riverside Elementary",11164
"2018 - 2019","Newport News City Public Schools","Willis A. Jenkins Elementary",13927
"2018 - 2019","Newport News City Public Schools","B.C. Charles Elementary ",12724
"2018 - 2019","Newport News City Public Schools","Deer Park Elementary",10789
"2018 - 2019","Newport News City Public Schools","T. Ryland Sanford Elementary",11296
"2018 - 2019","Newport News City Public Schools","Richard T. Yates Elementary",11719
"2018 - 2019","Newport News City Public Schools","Homer L. Hines Middle",5778
"2018 - 2019","Newport News City Public Schools","David A. Dutrow Elementary",10944
"2018 - 2019","Newport News City Public Schools","Achievable Dream Middle/High ",11887
"2018 - 2019","Newport News City Public Schools","John Marshall Early Childhood Center",13882
"2018 - 2019","Newport News City Public Schools","General Stanford Elementary",9552
"2018 - 2019","Newport News City Public Schools","Hilton Elementary",11518
"2018 - 2019","Newport News City Public Schools","B.T. Washington Middle ",6307
"2018 - 2019","Newport News City Public Schools","Huntington Middle",5586
"2018 - 2019","West Point Public Schools","West Point Elementary",14823
"2018 - 2019","West Point Public Schools","West Point Middle/High",15604
"2018 - 2019","Prince William County Public Schools","Battlefield High ",10172
"2018 - 2019","Prince William County Public Schools","Woodbridge High",10427
"2018 - 2019","Prince William County Public Schools","Unity Reed High",11136
"2018 - 2019","Prince William County Public Schools","Patriot High",10216
"2018 - 2019","Prince William County Public Schools","Charles J. Colgan Sr. High",10217
"2018 - 2019","Prince William County Public Schools","Gar-Field High",10866
"2018 - 2019","Prince William County Public Schools","Osbourn Park High",10704
"2018 - 2019","Prince William County Public Schools","C.D. Hylton High",10890
"2018 - 2019","Prince William County Public Schools","Freedom High ",10960
"2018 - 2019","Prince William County Public Schools","Forest Park High",10755
"2018 - 2019","Prince William County Public Schools","Potomac High",10932
"2018 - 2019","Prince William County Public Schools","Louise A. Benton Middle",10374
"2018 - 2019","Prince William County Public Schools","Gainesville Middle",10313
"2018 - 2019","Prince William County Public Schools","Parkside Middle",10192
"2018 - 2019","Prince William County Public Schools","E.H. Marsteller Middle",10707
"2018 - 2019","Prince William County Public Schools","Ronald Wilson Reagan Middle",9845
"2018 - 2019","Prince William County Public Schools","Woodbridge Middle",10314
"2018 - 2019","Prince William County Public Schools","Lake Ridge Middle",9763
"2018 - 2019","Prince William County Public Schools","Bull Run Middle",11156
"2018 - 2019","Prince William County Public Schools","Rippon Middle",10150
"2018 - 2019","Prince William County Public Schools","Unity Braxton Middle ",11322
"2018 - 2019","Prince William County Public Schools","Potomac Middle",10473
"2018 - 2019","Prince William County Public Schools","Fred M. Lynn Middle",10814
"2018 - 2019","Prince William County Public Schools","Brentsville District High",12455
"2018 - 2019","Prince William County Public Schools","Herbert J. Saunders Middle",10449
"2018 - 2019","Prince William County Public Schools","Stuart M. Beville Middle",11135
"2018 - 2019","Prince William County Public Schools","George M. Hampton Middle",11106
"2018 - 2019","Prince William County Public Schools","Graham Park Middle",10739
"2018 - 2019","Prince William County Public Schools","The Nokesville School",10429
"2018 - 2019","Prince William County Public Schools","George P. Mullen Elementary",12302
"2018 - 2019","Prince William County Public Schools","Sonnie Penn Elementary",11125
"2018 - 2019","Prince William County Public Schools","Fannie W. Fitzgerald Elementary",11059
"2018 - 2019","Prince William County Public Schools","T. Clay Wood Elementary",10140
"2018 - 2019","Prince William County Public Schools","Yorkshire Elementary",11110
"2018 - 2019","Prince William County Public Schools","R. Dean Kilby Elementary",11154
"2018 - 2019","Prince William County Public Schools","Kyle R. Wilson Elementary",10110
"2018 - 2019","Prince William County Public Schools","Haymarket Elementary",9908
"2018 - 2019","Prince William County Public Schools","C.A. Sinclair Elementary",11769
"2018 - 2019","Prince William County Public Schools","Triangle Elementary",11064
"2018 - 2019","Prince William County Public Schools","Leesylvania Elementary",11242
"2018 - 2019","Prince William County Public Schools","Ashland Elementary",9851
"2018 - 2019","Prince William County Public Schools","Piney Branch Elementary",10231
"2018 - 2019","Prince William County Public Schools","Glenkirk Elementary",10723
"2018 - 2019","Prince William County Public Schools","Sudley Elementary",12234
"2018 - 2019","Prince William County Public Schools","Signal Hill Elementary",10625
"2018 - 2019","Prince William County Public Schools","Mary Williams Elementary ",10715
"2018 - 2019","Prince William County Public Schools","Rosa Parks Elementary",10977
"2018 - 2019","Prince William County Public Schools","Neabsco Elementary",11328
"2018 - 2019","Prince William County Public Schools","Marumsco Hills Elementary",12571
"2018 - 2019","Prince William County Public Schools","River Oaks Elementary",11262
"2018 - 2019","Prince William County Public Schools","Potomac View Elementary",11646
"2018 - 2019","Prince William County Public Schools","Old Bridge Elementary",10843
"2018 - 2019","Prince William County Public Schools","Samuel L. Gravely Jr. Elementary",9551
"2018 - 2019","Prince William County Public Schools","Swans Creek Elementary",11249
"2018 - 2019","Prince William County Public Schools","A. Henderson Elementary",9264
"2018 - 2019","Prince William County Public Schools","John F. Pattie Sr. Elementary",9752
"2018 - 2019","Prince William County Public Schools","Bristow Run Elementary",10889
"2018 - 2019","Prince William County Public Schools","Occoquan Elementary",11532
"2018 - 2019","Prince William County Public Schools","Elizabeth Vaughan Elementary",12111
"2018 - 2019","Prince William County Public Schools","Bennett Elementary",10607
"2018 - 2019","Prince William County Public Schools","Springwoods Elementary",10937
"2018 - 2019","Prince William County Public Schools","Chris Yung Elementary",10337
"2018 - 2019","Prince William County Public Schools","West Gate Elementary",12891
"2018 - 2019","Prince William County Public Schools","Buckland Mills Elementary",10496
"2018 - 2019","Prince William County Public Schools","Montclair Elementary",10600
"2018 - 2019","Prince William County Public Schools","Antietam Elementary",10672
"2018 - 2019","Prince William County Public Schools","J.W. Alvey Elementary",10503
"2018 - 2019","Prince William County Public Schools","Covington-Harper Elementary",10543
"2018 - 2019","Prince William County Public Schools","Westridge Elementary",9564
"2018 - 2019","Prince William County Public Schools","Victory Elementary",10140
"2018 - 2019","Prince William County Public Schools","Suella G. Ellis Elementary",12897
"2018 - 2019","Prince William County Public Schools","Mary G. Porter Traditional",10127
"2018 - 2019","Prince William County Public Schools","Loch Lomond Elementary",12899
"2018 - 2019","Prince William County Public Schools","Rockledge Elementary",10718
"2018 - 2019","Prince William County Public Schools","Pennington Traditional",10329
"2018 - 2019","Prince William County Public Schools","Thurgood Marshall Elementary",10002
"2018 - 2019","Prince William County Public Schools","Minnieville Elementary",12322
"2018 - 2019","Prince William County Public Schools","Featherstone Elementary",12777
"2018 - 2019","Prince William County Public Schools","Cedar Point Elementary",11606
"2018 - 2019","Prince William County Public Schools","Dale City Elementary",13424
"2018 - 2019","Prince William County Public Schools","Mountain View Elementary",11284
"2018 - 2019","Prince William County Public Schools","Lake Ridge Elementary",10628
"2018 - 2019","Prince William County Public Schools","Kerrydale Elementary",12665
"2018 - 2019","Prince William County Public Schools","Belmont Elementary",12041
"2018 - 2019","Prince William County Public Schools","Bel Air Elementary",13708
"2018 - 2019","Prince William County Public Schools","Dumfries Elementary",12192
"2018 - 2019","Prince William County Public Schools","Sharon C. McAuliffe Elementary",13142
"2018 - 2019","Prince William County Public Schools","George G. Tyler Elementary",10997
"2018 - 2019","Prince William County Public Schools","Enterprise Elementary",12696
"2018 - 2019","Prince William County Public Schools","Coles Elementary",12303
"2018 - 2019","Prince William County Public Schools","Martin Luther King Jr. Elementary",11368
"2018 - 2019","Shenandoah County Public Schools","W.W. Robinson Elementary",10186
"2018 - 2019","Shenandoah County Public Schools","Sandy Hook Elementary",9558
"2018 - 2019","Shenandoah County Public Schools","Central High",11151
"2018 - 2019","Shenandoah County Public Schools","Honey Run Elementary",11377
"2018 - 2019","Shenandoah County Public Schools","Mountain View High",11205
"2018 - 2019","Shenandoah County Public Schools","Peter Muhlenberg Middle",11399
"2018 - 2019","Shenandoah County Public Schools","Strasburg High",10302
"2018 - 2019","Shenandoah County Public Schools","Signal Knob Middle",12142
"2018 - 2019","Shenandoah County Public Schools","North Fork Middle",12603
"2018 - 2019","Colonial Beach Public Schools","Colonial Beach Elementary",9711
"2018 - 2019","Colonial Beach Public Schools","Colonial Beach High",12388
"2018 - 2019","Amelia County Public Schools","Amelia County Elementary",8743
"2018 - 2019","Amelia County Public Schools","Amelia County High",10432
"2018 - 2019","Amelia County Public Schools","Amelia County Middle",9417
"2018 - 2019","York County Public Schools","Grafton High",9801
"2018 - 2019","York County Public Schools","York High",10204
"2018 - 2019","York County Public Schools","Tabb High",10010
"2018 - 2019","York County Public Schools","Grafton Middle",9275
"2018 - 2019","York County Public Schools","Tabb Middle",9667
"2018 - 2019","York County Public Schools","Bruton High",13077
"2018 - 2019","York County Public Schools","Yorktown Elementary",11033
"2018 - 2019","York County Public Schools","Yorktown Middle",9439
"2018 - 2019","York County Public Schools","Bethel Manor Elementary",10142
"2018 - 2019","York County Public Schools","Magruder Elementary",10693
"2018 - 2019","York County Public Schools","Grafton Bethel Elementary",9991
"2018 - 2019","York County Public Schools","Tabb Elementary",9140
"2018 - 2019","York County Public Schools","Coventry Elementary",8675
"2018 - 2019","York County Public Schools","Mount Vernon Elementary ",10052
"2018 - 2019","York County Public Schools","Dare Elementary",12808
"2018 - 2019","York County Public Schools","Queens Lake Middle",10530
"2018 - 2019","York County Public Schools","Seaford Elementary",9051
"2018 - 2019","York County Public Schools","Waller Mill Elementary",10587
"2018 - 2019","York County Public Schools","York River Academy",15930
"2018 - 2019","King George County Public Schools","King George High",10667
"2018 - 2019","King George County Public Schools","King George Elementary",10539
"2018 - 2019","King George County Public Schools","Sealston Elementary ",9291
"2018 - 2019","King George County Public Schools","Potomac Elementary",9642
"2018 - 2019","King George County Public Schools","King George Middle",9496
"2018 - 2019","Page County Public Schools","Page County High",9647
"2018 - 2019","Page County Public Schools","Luray High",9999
"2018 - 2019","Page County Public Schools","Luray Elementary",9324
"2018 - 2019","Page County Public Schools","Stanley Elementary",9712
"2018 - 2019","Page County Public Schools","Page County Middle",9587
"2018 - 2019","Page County Public Schools","Luray Middle",9813
"2018 - 2019","Page County Public Schools","Shenandoah Elementary",10109
"2018 - 2019","Page County Public Schools","Springfield Elementary",9531
"2018 - 2019","Accomack County Public Schools","Nandua High",9753
"2018 - 2019","Accomack County Public Schools","Arcadia High",10119
"2018 - 2019","Accomack County Public Schools","Kegotank Elementary",10458
"2018 - 2019","Accomack County Public Schools","Metompkin Elementary",9541
"2018 - 2019","Accomack County Public Schools","Nandua Middle",10622
"2018 - 2019","Accomack County Public Schools","Arcadia Middle ",9910
"2018 - 2019","Accomack County Public Schools","Accawmacke Elementary",10222
"2018 - 2019","Accomack County Public Schools","Pungoteague Elementary",10521
"2018 - 2019","Accomack County Public Schools","Chincoteague High",12042
"2018 - 2019","Accomack County Public Schools","Chincoteague Elementary",11429
"2018 - 2019","Accomack County Public Schools","Tangier Combined",28434
"2018 - 2019","Cumberland County Public Schools","Cumberland High",12127
"2018 - 2019","Cumberland County Public Schools","Cumberland Elementary",8807
"2018 - 2019","Cumberland County Public Schools","Cumberland Middle",12025
"2018 - 2019","Warren County Public Schools","Skyline High",10983
"2018 - 2019","Warren County Public Schools","Warren County High",11192
"2018 - 2019","Warren County Public Schools","Skyline Middle",11086
"2018 - 2019","Warren County Public Schools","Warren County Middle",10172
"2018 - 2019","Warren County Public Schools","Ressie Jeffries Elementary",10402
"2018 - 2019","Warren County Public Schools","Leslie Fox Keyser Elementary",9341
"2018 - 2019","Warren County Public Schools","Hilda J. Barbour Elementary",10520
"2018 - 2019","Warren County Public Schools","E. Wilson Morrison Elementary",10202
"2018 - 2019","Warren County Public Schools","A.S. Rhodes Elementary",9856
"2018 - 2019","Lexington City Public Schools","Harrington Waddell Elementary",10495
"2018 - 2019","Lexington City Public Schools","Lylburn Downing Middle",10772
"2018 - 2019","Appomattox County Public Schools","Appomattox County High",10154
"2018 - 2019","Appomattox County Public Schools","Appomattox Primary",9202
"2018 - 2019","Appomattox County Public Schools","Appomattox Elementary",9890
"2018 - 2019","Appomattox County Public Schools","Appomattox Middle",9588
"2018 - 2019","Poquoson City Public Schools","Poquoson High",10778
"2018 - 2019","Poquoson City Public Schools","Poquoson Middle",10425
"2018 - 2019","Poquoson City Public Schools","Poquoson Elementary",9869
"2018 - 2019","Poquoson City Public Schools","Poquoson Primary",9505
"2018 - 2019","Norfolk City Public Schools","Granby High",9940
"2018 - 2019","Norfolk City Public Schools","Norview High",9190
"2018 - 2019","Norfolk City Public Schools","Matthew Fontaine Maury High",9479
"2018 - 2019","Norfolk City Public Schools","Lake Taylor High ",10405
"2018 - 2019","Norfolk City Public Schools","Blair Middle",9338
"2018 - 2019","Norfolk City Public Schools","Booker T Washington High",11839
"2018 - 2019","Norfolk City Public Schools","Norview Middle",9233
"2018 - 2019","Norfolk City Public Schools","Crossroads Elementary",10584
"2018 - 2019","Norfolk City Public Schools","Southside STEM Academy at Campostella ",11062
"2018 - 2019","Norfolk City Public Schools","Northside Middle",9575
"2018 - 2019","Norfolk City Public Schools","Azalea Gardens Middle",9164
"2018 - 2019","Norfolk City Public Schools","Little Creek Elementary",10457
"2018 - 2019","Norfolk City Public Schools","Jacox Elementary",11457
"2018 - 2019","Norfolk City Public Schools","Academy for Discovery at Lakewood",9126
"2018 - 2019","Norfolk City Public Schools","William H. Ruffner Middle",11341
"2018 - 2019","Norfolk City Public Schools","Coleman Place Elementary",9863
"2018 - 2019","Norfolk City Public Schools","Bay View Elementary",9806
"2018 - 2019","Norfolk City Public Schools","Lake Taylor",12245
"2018 - 2019","Norfolk City Public Schools","Granby Elementary",10119
"2018 - 2019","Norfolk City Public Schools","Richard Bowling Elementary",10324
"2018 - 2019","Norfolk City Public Schools","Sewells Point Elementary",9708
"2018 - 2019","Norfolk City Public Schools","Oceanair Elementary",9805
"2018 - 2019","Norfolk City Public Schools","Ocean View Elementary",9152
"2018 - 2019","Norfolk City Public Schools","Sherwood Forest Elementary",9824
"2018 - 2019","Norfolk City Public Schools","Larrymore Elementary",9984
"2018 - 2019","Norfolk City Public Schools","Willard Model Elementary",10487
"2018 - 2019","Norfolk City Public Schools","Tanners Creek Elementary",9522
"2018 - 2019","Norfolk City Public Schools","Suburban Park Elementary",11352
"2018 - 2019","Norfolk City Public Schools","Ingleside Elementary",9882
"2018 - 2019","Norfolk City Public Schools","Mary Calcott Elementary",9081
"2018 - 2019","Norfolk City Public Schools","P.B. Young Sr. Elementary ",10735
"2018 - 2019","Norfolk City Public Schools","Larchmont Elementary",9167
"2018 - 2019","Norfolk City Public Schools","Ghent K-8",9952
"2018 - 2019","Norfolk City Public Schools","Norview Elementary",10817
"2018 - 2019","Norfolk City Public Schools","Chesterfield Academy Elementary",12110
"2018 - 2019","Norfolk City Public Schools","Camp Allen Elementary",11165
"2018 - 2019","Norfolk City Public Schools","James Monroe Elementary",14319
"2018 - 2019","Norfolk City Public Schools","Lindenwood Elementary",12406
"2018 - 2019","Norfolk City Public Schools","Tarrallton Elementary",10668
"2018 - 2019","Norfolk City Public Schools","Walter Herron Taylor Elementary",10206
"2018 - 2019","Norfolk City Public Schools","Tidewater Park Elementary",11685
"2018 - 2019","Norfolk City Public Schools","St. Helena Elementary",11245
"2018 - 2019","Wise County Public Schools","Union Primary",7845
"2018 - 2019","Wise County Public Schools","Wise Primary",8328
"2018 - 2019","Wise County Public Schools","Central High",8503
"2018 - 2019","Wise County Public Schools","Union Middle",8615
"2018 - 2019","Wise County Public Schools","Union High",8175
"2018 - 2019","Wise County Public Schools","L.F. Addington Middle",9454
"2018 - 2019","Wise County Public Schools","J.W. Adams Combined",8588
"2018 - 2019","Wise County Public Schools","Eastside High",9481
"2018 - 2019","Wise County Public Schools","Coeburn Primary",8254
"2018 - 2019","Wise County Public Schools","Coeburn Middle",9629
