"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Williamsburg-James City County Public Schools","Norge Elementary",12071
"2018 - 2019","Williamsburg-James City County Public Schools","Clara Byrd Baker Elementary",12828
"2018 - 2019","Williamsburg-James City County Public Schools","J. Blaine Blayton Elementary",12512
"2018 - 2019","Williamsburg-James City County Public Schools","Matthew Whaley Elementary",12125
"2018 - 2019","Williamsburg-James City County Public Schools","James Blair Middle",11523
"2018 - 2019","Williamsburg-James City County Public Schools","James River Elementary",13645
"2018 - 2019","Williamsburg-James City County Public Schools","D.J. Montague Elementary",12259
"2018 - 2019","Williamsburg-James City County Public Schools","Laurel Lane Elementary",11745
"2018 - 2019","Rappahannock County Public Schools","Rappahannock County Elementary",13831
"2018 - 2019","Rappahannock County Public Schools","Rappahannock County High",16622
"2018 - 2019","Southampton County Public Schools","Southampton High",10483
"2018 - 2019","Southampton County Public Schools","Southampton Middle",10406
"2018 - 2019","Southampton County Public Schools","Riverdale Elementary",9422
"2018 - 2019","Southampton County Public Schools","Meherrin Elementary",10275
"2018 - 2019","Southampton County Public Schools","Nottoway Elementary",10014
"2018 - 2019","Southampton County Public Schools","Capron Elementary",11172
"2018 - 2019","Middlesex County Public Schools","Middlesex Elementary",14082
"2018 - 2019","Middlesex County Public Schools","Middlesex High",16635
"2018 - 2019","Lee County Public Schools","Lee High",9074
"2018 - 2019","Lee County Public Schools","Flatwoods Elementary",10027
"2018 - 2019","Lee County Public Schools","Thomas Walker High",11813
"2018 - 2019","Lee County Public Schools","Pennington Middle",11050
"2018 - 2019","Lee County Public Schools","Dryden Elementary",11130
"2018 - 2019","Lee County Public Schools","Elk Knob Elementary",10367
"2018 - 2019","Lee County Public Schools","Jonesville Middle",13391
"2018 - 2019","Lee County Public Schools","Rose Hill Elementary",10117
"2018 - 2019","Lee County Public Schools","St. Charles Elementary",12911
"2018 - 2019","Lee County Public Schools","Elydale Middle",11626
"2018 - 2019","Bland County Public Schools","Bland County Elementary ",11565
"2018 - 2019","Bland County Public Schools","Bland County High",9594
"2018 - 2019","Harrisonburg City Public Schools","Harrisonburg High",11141
"2018 - 2019","Harrisonburg City Public Schools","Skyline Middle",12940
"2018 - 2019","Harrisonburg City Public Schools","Thomas Harrison Middle",12688
"2018 - 2019","Harrisonburg City Public Schools","Smithland Elementary",10721
"2018 - 2019","Harrisonburg City Public Schools","Stone Spring Elementary",12503
"2018 - 2019","Harrisonburg City Public Schools","Bluestone Elementary",11561
"2018 - 2019","Harrisonburg City Public Schools","Waterman Elementary",12015
"2018 - 2019","Harrisonburg City Public Schools","Spotswood Elementary",14292
"2018 - 2019","Harrisonburg City Public Schools","Keister Elementary",10559
"2018 - 2019","Alleghany County Public Schools","Alleghany High",11881
"2018 - 2019","Alleghany County Public Schools","Mountain View Elementary",11157
"2018 - 2019","Alleghany County Public Schools","Clifton Middle",11216
"2018 - 2019","Alleghany County Public Schools","Sharon Elementary",12402
"2018 - 2019","Alleghany County Public Schools","Callaghan Elementary",10959
"2018 - 2019","Essex County Public Schools","Essex High",12183
"2018 - 2019","Essex County Public Schools","James H. Cary Intermediate ",13055
"2018 - 2019","Essex County Public Schools","Tappahannock Elementary",12921
"2018 - 2019","Petersburg City Public Schools","Petersburg High",13044
