"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Wise County Public Schools","Coeburn Primary",88,90,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,89,95,NA,NA,NA,NA,NA,89,91,97,NA,NA,NA,NA,NA,88,90,93,NA,75,73,90,NA,89,91,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Eastside High",89,88,91,92,NA,NA,NA,NA,NA,NA,NA,NA,88,84,88,89,NA,NA,NA,NA,96,91,97,90,NA,NA,NA,NA,83,85,85,93,64,60,75,78,89,87,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Coeburn Middle",85,83,95,83,NA,NA,NA,NA,100,NA,100,NA,82,77,93,75,NA,NA,NA,NA,85,77,96,83,NA,NA,NA,NA,84,88,93,83,61,59,83,58,84,83,95,83,63,NA,NA,59,NA,77,NA,51,25,62
"Wise County Public Schools","L.F. Addington Middle",86,91,95,93,NA,NA,NA,NA,60,NA,80,71,82,91,94,90,NA,NA,NA,NA,89,88,94,92,71,NA,86,NA,84,93,95,93,61,62,90,79,87,92,96,93,82,NA,60,75,NA,86,NA,79,35,82
"Wise County Public Schools","Appalachia Elementary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Wise Primary",84,92,90,NA,NA,NA,NA,NA,NA,NA,80,NA,78,88,84,NA,NA,NA,NA,NA,84,97,90,NA,NA,NA,100,NA,84,88,90,NA,62,73,68,NA,84,92,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Union Middle",80,83,89,85,NA,NA,NA,NA,55,88,77,57,75,80,86,81,NA,NA,NA,NA,80,80,90,82,78,NA,67,67,81,87,88,88,51,44,62,63,81,83,90,86,76,NA,60,65,NA,86,NA,68,29,77
"Wise County Public Schools","Union Primary School",90,96,97,NA,NA,NA,NA,NA,82,83,100,NA,87,94,96,NA,NA,NA,NA,NA,92,95,96,NA,NA,NA,NA,NA,89,96,97,NA,68,72,82,NA,91,96,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Union High",82,92,94,87,NA,NA,NA,NA,60,91,89,86,74,88,91,82,NA,NA,NA,NA,85,92,93,86,NA,NA,NA,NA,77,91,95,88,39,66,81,44,83,92,94,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wise County Public Schools","Central High",86,91,95,94,NA,NA,NA,NA,NA,NA,NA,NA,79,85,91,89,NA,NA,NA,NA,93,92,98,95,NA,NA,NA,NA,81,90,92,93,56,63,83,81,86,91,95,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westmoreland County Public Schools","Washington District Elementary",68,67,83,72,NA,NA,NA,NA,61,69,76,69,62,57,83,65,43,29,67,33,70,61,86,69,48,45,75,45,67,72,81,77,59,70,63,67,76,72,89,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westmoreland County Public Schools","Montross Middle",69,58,78,67,NA,NA,NA,NA,58,45,69,58,66,52,76,62,25,50,83,NA,74,57,83,70,72,61,86,63,66,60,74,65,46,47,59,33,76,71,81,76,68,NA,61,63,NA,85,68,56,33,69
"Westmoreland County Public Schools","Cople Elementary",72,65,77,86,NA,NA,NA,NA,66,66,73,82,70,71,75,83,67,NA,78,NA,79,64,74,77,79,60,84,88,65,67,80,100,38,33,63,NA,82,73,84,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westmoreland County Public Schools","Washington & Lee High",75,63,85,77,NA,NA,NA,NA,69,57,83,71,66,62,86,73,NA,NA,71,20,83,66,87,79,64,43,78,74,68,59,84,75,54,47,86,55,87,79,91,87,65,NA,54,57,NA,80,43,53,23,84
"Washington County Public Schools","Watauga Elementary",94,95,98,94,91,100,100,NA,NA,NA,NA,NA,94,95,98,95,88,NA,100,NA,95,93,98,94,NA,NA,NA,NA,93,98,98,95,64,63,84,71,95,95,97,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Wallace Middle",84,83,90,73,NA,NA,NA,NA,NA,NA,NA,NA,84,83,90,73,NA,NA,NA,NA,87,84,92,78,100,83,100,NA,80,81,87,66,53,41,59,40,83,83,89,73,65,NA,NA,65,NA,84,NA,39,20,65
"Washington County Public Schools","Rhea Valley Elementary",83,95,90,86,NA,NA,NA,NA,NA,NA,NA,NA,84,95,90,87,NA,NA,NA,NA,89,96,91,83,NA,NA,NA,NA,79,95,89,89,58,91,73,63,83,95,89,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Damascus Middle",87,88,91,91,NA,NA,NA,NA,NA,NA,NA,NA,87,88,91,91,NA,NA,NA,NA,89,88,90,94,83,100,100,NA,86,88,93,89,62,58,71,57,87,88,92,91,63,NA,NA,63,NA,71,NA,56,7,61
"Washington County Public Schools","Greendale Elementary",90,100,97,90,NA,NA,NA,NA,NA,NA,NA,NA,90,100,98,90,NA,NA,NA,NA,94,100,99,91,100,NA,100,NA,85,100,96,89,76,100,93,58,90,100,98,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Meadowview Elementary",83,81,89,85,NA,NA,NA,NA,78,NA,67,40,82,81,89,85,NA,NA,NA,NA,84,78,88,87,83,NA,100,80,81,83,89,83,61,56,66,44,83,81,89,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","E.B. Stanley Middle",84,82,90,80,85,90,92,86,56,38,71,50,84,82,89,81,40,NA,60,NA,86,81,90,77,65,69,70,NA,83,83,89,84,58,58,65,56,86,83,91,82,80,100,33,80,NA,86,NA,74,53,82
"Washington County Public Schools","Glade Spring Middle",81,78,95,76,NA,NA,NA,NA,100,NA,100,NA,81,78,95,76,NA,NA,NA,NA,85,75,97,68,60,78,100,NA,78,82,93,82,48,47,80,50,83,79,95,76,65,NA,NA,65,NA,73,NA,59,25,64
"Washington County Public Schools","Abingdon Elementary",92,89,90,82,NA,NA,NA,NA,NA,NA,NA,NA,92,89,90,83,NA,NA,NA,NA,93,92,93,79,75,NA,75,NA,92,86,88,84,83,72,71,58,93,88,91,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","High Point Elementary",92,94,95,92,NA,NA,NA,NA,NA,NA,NA,NA,92,94,95,92,NA,NA,NA,NA,97,93,97,96,100,NA,100,NA,88,95,93,89,76,76,69,54,92,95,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Holston High",80,45,97,91,NA,NA,NA,NA,NA,NA,NA,NA,80,45,97,91,NA,NA,NA,NA,88,NA,98,89,NA,NA,NA,NA,73,43,95,93,36,NA,100,56,80,45,97,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Patrick Henry High",92,68,88,95,NA,NA,NA,NA,NA,NA,NA,NA,91,69,89,95,NA,NA,NA,NA,92,75,86,95,NA,NA,100,100,91,54,89,95,57,33,77,80,92,66,87,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","John S. Battle High",92,71,82,89,NA,NA,NA,NA,NA,NA,NA,NA,92,71,81,89,NA,NA,NA,NA,95,81,82,89,100,NA,75,100,88,57,81,90,83,40,67,69,91,69,82,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington County Public Schools","Abingdon High",86,51,88,85,NA,NA,88,83,67,NA,100,75,86,50,90,85,NA,NA,NA,NA,89,43,90,86,100,33,93,84,82,60,86,85,54,32,77,53,86,53,88,86,99,100,NA,99,NA,99,100,100,NA,99
"Washington County Public Schools","Valley Institute Elementary",79,89,88,90,NA,NA,NA,NA,NA,NA,NA,NA,79,89,89,92,NA,NA,NA,NA,78,82,86,90,NA,NA,NA,NA,80,96,89,91,37,55,58,67,81,90,88,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","A.S. Rhodes Elementary",74,74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,56,57,56,46,20,NA,0,NA,75,80,72,70,46,NA,38,NA,74,70,75,77,25,NA,38,NA,78,79,77,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","Hilda J. Barbour Elementary",80,71,86,87,NA,NA,NA,NA,67,NA,67,NA,74,61,78,84,25,NA,63,NA,85,67,90,88,57,73,75,89,75,76,82,85,48,50,57,44,84,71,88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","Warren County Middle School",79,89,82,79,75,NA,88,NA,79,100,84,80,72,80,74,69,14,NA,43,NA,83,85,81,79,78,88,72,73,77,91,83,79,48,59,48,38,81,89,83,81,63,NA,40,56,NA,65,69,62,18,65
"Warren County Public Schools","Warren County Middle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County Public Schools","Skyline Middle School",69,69,69,69,NA,NA,NA,NA,58,62,65,55,59,56,59,58,13,NA,44,NA,74,72,75,67,53,57,62,65,64,66,64,71,19,19,26,24,71,70,71,71,60,NA,58,53,NA,72,60,50,10,59
