"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"Fairfax County Public Schools","Fort Belvoir Elementary",63,NA,80,NA,NA,NA,NA,NA,39,NA,71,NA,60,NA,75,NA,57,NA,71,NA,61,NA,73,NA,60,NA,80,NA,64,NA,87,NA,46,NA,63,NA,72,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Carson Middle",93,97,95,93,97,100,99,98,71,92,76,73,69,89,78,67,30,69,66,30,93,98,95,93,83,87,86,78,93,97,95,93,64,77,68,72,95,98,95,95,92,98,64,70,NA,93,78,90,50,93
"Fairfax County Public Schools","Mountain View High",53,46,81,45,64,67,94,80,75,61,82,75,50,53,83,41,14,34,78,33,59,39,87,44,36,38,79,29,48,52,78,46,50,45,59,43,81,40,82,80,51,67,55,43,17,47,44,54,57,57
"Fairfax County Public Schools","Halley Elementary",68,75,71,82,80,77,84,100,57,71,60,60,53,57,50,67,34,68,48,75,70,71,72,83,51,63,59,75,66,79,70,82,38,33,29,61,81,89,82,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Lane Elementary",83,91,89,79,82,88,93,79,77,83,84,58,77,80,84,73,51,73,68,44,86,93,89,78,79,86,82,88,80,89,88,80,59,67,75,67,87,98,92,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Centreville Elementary",74,78,83,69,81,83,89,88,64,50,70,63,56,61,67,44,34,44,54,14,74,72,81,67,53,63,67,30,75,84,86,71,43,53,56,28,86,85,93,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Deer Park Elementary",70,80,76,77,73,89,86,100,56,100,67,56,54,50,61,59,32,82,51,29,76,82,81,84,61,90,67,62,65,78,72,71,37,62,49,53,76,74,81,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Aldrin Elementary",85,89,88,90,82,94,92,100,85,NA,92,80,72,86,72,65,54,NA,70,62,84,83,84,87,73,NA,68,64,87,100,91,94,64,44,61,69,90,88,92,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Bryant High",39,34,29,20,50,50,53,33,44,33,29,16,36,31,31,15,19,26,32,21,34,34,30,20,31,28,24,16,43,34,27,21,25,0,10,25,73,50,19,33,35,39,36,25,8,39,28,32,38,70
"Fairfax County Public Schools","Dogwood Elementary",46,70,68,69,67,NA,100,NA,49,46,64,60,42,69,67,68,26,86,58,56,46,72,64,67,43,76,65,67,46,68,72,70,20,29,49,0,50,88,79,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Waples Mill Elementary",88,89,91,91,93,96,94,94,65,NA,82,NA,83,79,80,85,58,64,61,NA,90,88,91,91,75,75,77,79,86,90,90,90,65,71,64,60,89,87,92,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Centre Ridge Elementary",59,80,71,60,74,79,89,72,49,64,60,30,46,77,59,46,24,70,49,32,63,84,71,59,41,84,54,41,55,74,71,60,34,63,45,27,77,84,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Poplar Tree Elementary",96,100,99,96,98,100,100,100,81,NA,100,NA,96,100,92,NA,71,NA,93,NA,96,100,100,97,100,100,100,NA,96,100,99,95,83,100,97,71,95,100,99,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Stone Middle",80,88,92,81,85,93,96,90,76,91,85,74,64,74,83,63,30,33,68,22,84,87,94,77,65,72,87,62,77,89,89,84,52,68,70,53,91,97,95,93,77,93,53,61,24,81,62,73,40,88
"Fairfax County Public Schools","Willow Springs Elementary",91,93,94,87,93,96,97,91,76,89,80,50,75,94,84,79,46,89,65,22,91,90,95,86,78,67,88,57,91,96,94,88,57,71,73,64,93,93,94,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Virginia Run Elementary",73,84,75,83,79,100,89,92,92,NA,92,NA,52,69,58,67,29,NA,39,41,75,81,74,86,53,77,58,70,71,86,76,78,49,80,42,57,90,86,91,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Saratoga Elementary",73,81,79,78,75,80,80,100,72,80,74,79,63,71,69,79,47,82,65,73,75,72,78,72,63,67,76,69,71,91,80,81,45,57,52,46,80,88,85,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Sangster Elementary",96,96,98,97,95,100,99,96,94,100,96,95,78,83,91,100,50,NA,75,NA,96,94,98,97,92,94,95,94,96,97,99,97,84,88,92,86,97,96,99,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Crossfield Elementary",89,92,93,89,89,89,93,87,100,NA,100,NA,56,NA,88,40,32,NA,53,33,92,91,92,95,70,100,85,NA,86,93,93,84,60,60,72,64,89,92,93,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Dranesville Elementary",68,83,76,69,86,NA,86,100,59,50,62,60,51,60,60,59,33,NA,50,42,67,82,73,66,51,80,62,53,69,83,80,71,52,71,56,42,85,89,91,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Bonnie Brae Elementary",82,85,88,87,84,88,94,93,62,NA,77,75,59,78,77,76,40,NA,71,20,84,89,89,92,65,67,81,83,81,80,88,81,57,60,66,36,90,89,91,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Centreville High",89,87,87,86,93,95,97,93,74,67,69,62,77,73,77,72,29,47,58,33,90,86,88,88,83,76,76,74,88,89,85,84,60,49,55,46,93,91,89,92,88,93,72,78,32,91,78,85,62,93
"Fairfax County Public Schools","Fairfax High",88,88,86,87,93,92,95,94,78,85,78,82,73,77,76,74,37,55,60,49,88,88,89,89,75,78,76,73,88,87,83,85,68,66,62,51,93,92,89,92,82,90,78,74,38,80,71,83,53,86
"Albemarle County Public Schools","Stone Robinson Elementary",78,93,89,90,100,NA,100,NA,71,NA,64,NA,64,80,78,80,NA,NA,NA,NA,85,88,89,88,71,NA,79,NA,72,97,88,91,61,70,71,60,81,96,92,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","South Lakes High",88,87,84,88,92,93,94,97,75,81,74,75,70,72,69,72,27,46,52,47,91,84,83,87,75,70,68,73,86,89,84,88,64,65,61,62,96,95,93,96,86,92,74,66,25,89,71,83,62,94
"Fairfax County Public Schools","Hutchison Elementary",46,86,67,60,71,90,86,64,66,89,73,82,44,83,66,56,26,89,53,42,51,81,69,63,40,84,62,57,42,91,65,56,26,82,42,27,71,100,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Laurel Ridge Elementary",84,88,89,78,91,100,98,94,79,100,79,56,74,57,74,60,30,NA,71,NA,88,91,92,78,75,75,80,64,80,86,87,77,58,73,71,39,87,92,91,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Robinson Secondary",91,93,92,93,92,93,94,94,82,82,80,86,77,81,85,82,40,59,69,44,94,91,94,93,84,88,85,83,89,94,91,93,72,79,78,79,94,95,95,95,91,95,78,76,44,94,82,88,72,94
"Fairfax County Public Schools","Hunters Woods Elementary School for the Arts and Sciences",84,93,85,83,94,96,93,90,65,88,66,60,58,79,63,55,22,NA,41,8,86,94,84,85,68,NA,80,85,82,93,86,81,64,71,63,64,89,96,87,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Camelot Elementary",82,91,91,89,76,100,95,94,91,90,91,100,70,80,85,91,61,80,83,72,84,97,92,85,75,85,88,81,80,85,90,91,67,73,71,77,87,95,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Fort Hunt Elementary",76,82,88,67,75,NA,88,NA,59,50,71,50,53,25,73,50,27,NA,61,NA,79,86,87,66,56,64,79,47,73,77,89,68,47,18,64,41,93,98,98,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Key Center",94,94,100,95,80,NA,100,NA,100,NA,100,100,83,NA,100,86,83,80,100,83,100,100,100,100,NA,NA,NA,NA,92,91,100,93,94,94,100,95,91,100,100,100,90,NA,NA,NA,NA,NA,NA,86,90,100
"Fairfax County Public Schools","Key Middle",72,80,79,68,78,85,87,77,81,85,85,79,64,72,75,57,22,35,47,19,75,82,82,69,61,68,72,52,69,77,77,67,46,53,51,39,84,94,83,81,64,77,67,55,18,73,51,57,39,77
"Fairfax County Public Schools","Fairfax County Adult High",14,20,16,24,0,23,40,0,38,33,17,80,22,26,14,15,5,16,13,16,10,22,17,25,15,17,14,22,20,16,15,22,NA,NA,NA,NA,7,25,44,25,7,0,13,7,1,6,7,8,NA,8
"Fairfax County Public Schools","Kings Glen Elementary",84,90,92,83,87,100,97,89,90,85,90,50,72,83,85,76,46,86,80,55,85,89,93,84,68,81,84,60,83,91,91,82,64,68,73,52,92,94,96,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Hunt Valley Elementary",85,91,94,90,88,94,100,94,86,75,86,73,84,89,95,79,81,100,95,NA,89,86,96,91,75,83,89,82,82,93,92,89,57,75,77,80,85,93,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Clermont Elementary",83,91,88,88,84,NA,92,83,73,100,93,100,54,NA,64,69,36,NA,51,30,86,88,87,89,68,77,74,78,81,94,88,87,58,50,50,56,90,93,92,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Oak View Elementary",87,87,93,83,93,95,96,89,64,NA,68,50,62,69,78,40,37,NA,65,25,90,84,92,80,72,55,89,65,84,88,93,85,51,74,71,48,89,89,93,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Lees Corner Elementary",85,90,91,84,87,97,94,91,70,60,70,56,66,71,75,67,51,86,75,60,88,94,91,89,70,100,78,70,82,87,90,79,60,56,70,50,88,89,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Greenbriar East Elementary",75,90,83,70,80,90,93,93,73,94,77,80,63,80,74,54,34,NA,69,53,79,87,83,71,67,87,76,41,71,94,82,69,42,64,48,20,77,95,82,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","London Towne Elementary",67,71,76,73,81,75,95,94,65,50,67,92,56,61,69,67,37,58,54,46,74,73,80,77,60,75,70,62,61,68,72,71,39,31,44,41,73,76,82,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Riverside Elementary",65,85,75,62,85,100,88,75,67,74,76,63,53,83,68,52,30,100,50,17,67,81,74,65,49,82,65,53,63,90,76,61,33,86,44,26,94,90,96,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Wolftrap Elementary",94,96,97,94,100,100,100,100,NA,NA,NA,NA,50,NA,67,NA,43,NA,86,NA,95,93,98,93,88,100,91,86,94,100,96,94,79,83,83,92,94,96,97,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Hayfield Secondary",81,81,81,77,85,85,88,85,75,77,77,71,64,68,74,66,23,44,55,36,85,82,83,79,70,73,78,67,77,79,80,76,44,49,49,42,91,88,86,87,75,81,69,61,17,84,67,68,34,83
"Fairfax County Public Schools","Brookfield Elementary",61,84,77,73,83,96,90,97,50,55,65,50,46,79,69,62,27,80,63,34,63,84,75,68,46,85,71,60,59,84,79,78,34,44,42,41,75,88,81,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Rolling Valley Elementary",78,87,85,77,79,90,90,89,74,92,81,86,55,85,68,53,36,NA,69,57,79,81,84,78,62,82,72,55,78,92,86,76,61,83,71,63,87,87,91,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Kilmer Center",97,100,93,92,100,100,100,100,NA,NA,NA,NA,89,NA,89,NA,92,100,92,100,91,100,91,100,91,100,82,100,100,100,95,83,97,100,93,92,100,NA,100,NA,100,100,NA,100,100,100,NA,100,100,100
"Fairfax County Public Schools","Kilmer Middle",89,95,91,90,96,98,98,96,80,86,85,71,72,88,78,73,29,67,63,46,92,94,92,88,72,89,76,74,87,95,90,91,60,66,48,58,92,95,93,93,87,95,68,71,NA,88,76,87,44,88
"Fairfax County Public Schools","Hayfield Elementary",80,86,85,84,77,100,77,57,72,71,83,88,64,71,72,87,38,60,56,17,85,89,85,91,70,73,73,88,76,83,84,78,48,64,57,46,85,90,89,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Beech Tree Elementary",63,94,86,68,77,100,87,82,62,67,54,NA,48,83,81,59,41,NA,81,50,68,94,87,71,48,100,86,60,59,94,85,66,48,60,67,50,88,100,97,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Oakton High",93,89,91,94,92,91,97,97,94,78,75,80,80,72,73,83,39,45,67,65,97,89,93,95,84,66,76,81,91,88,89,93,71,64,72,68,96,94,94,96,85,83,89,72,43,88,73,84,72,90
"Fairfax County Public Schools","Cunningham Park Elementary",67,86,81,66,71,83,95,70,NA,NA,NA,NA,36,NA,55,25,21,NA,49,7,63,93,74,54,42,83,58,33,71,78,88,77,46,71,57,46,79,86,90,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Terra Centre Elementary",88,96,95,95,88,83,97,100,83,NA,92,100,68,100,89,100,52,NA,68,NA,90,97,94,91,78,100,86,86,87,96,96,100,71,89,84,78,92,97,97,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Cardinal Forest Elementary",79,93,87,72,75,90,87,77,68,88,76,33,62,94,73,41,44,100,71,21,84,94,89,77,69,94,85,59,75,93,85,67,62,83,71,33,89,93,90,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Silverbrook Elementary",87,85,93,89,84,84,96,100,73,71,73,50,71,60,73,71,36,38,73,NA,91,94,95,91,83,71,91,100,83,78,91,86,62,60,69,71,89,88,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Westgate Elementary",75,91,89,78,84,100,94,84,84,NA,100,75,62,100,81,69,40,NA,70,52,79,87,87,77,60,71,77,63,72,95,90,79,40,NA,63,33,75,93,91,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Shrevewood Elementary",79,93,87,83,85,100,96,97,63,NA,68,NA,47,83,68,48,35,NA,62,43,83,97,90,90,55,86,72,61,75,90,84,76,54,82,65,36,87,92,90,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Olde Creek Elementary",81,90,88,83,86,100,97,100,41,NA,50,40,54,71,63,58,35,80,73,0,84,89,90,84,74,80,85,69,78,90,87,82,57,67,68,71,87,92,92,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Mount Vernon Woods Elementary",57,80,68,71,63,78,85,NA,55,65,66,60,54,83,67,73,33,82,53,53,60,81,69,71,55,87,67,76,53,80,68,72,35,20,24,55,64,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Fairhill Elementary",85,97,92,95,95,100,96,100,82,NA,83,80,70,88,84,85,49,100,73,NA,85,94,90,97,73,100,87,100,84,100,95,93,58,100,64,67,84,95,96,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Spring Hill Elementary",93,94,97,94,94,96,99,96,86,NA,86,83,83,80,90,89,63,100,89,64,94,91,97,96,80,100,89,94,92,97,97,92,77,71,86,71,93,92,97,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","West Springfield High",95,96,96,97,93,100,99,100,93,92,91,94,80,88,90,90,33,71,83,52,95,96,97,97,84,89,94,91,94,97,96,97,80,87,82,87,98,99,98,99,94,95,90,87,33,95,87,94,72,97
"Fairfax County Public Schools","Cub Run Elementary",82,90,88,88,81,100,88,79,68,50,76,86,64,67,71,70,45,NA,59,NA,86,100,87,88,69,78,79,100,77,77,88,87,61,82,67,64,88,95,91,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Canterbury Woods Elementary",91,94,97,91,92,94,99,92,81,70,86,75,79,93,90,81,54,91,85,44,93,91,96,89,87,100,95,76,89,95,97,93,63,71,79,69,92,96,97,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Westbriar Elementary",92,95,96,93,93,100,99,98,81,NA,88,NA,74,73,78,67,62,81,90,77,90,92,95,94,92,93,95,86,93,98,98,92,79,89,89,64,91,93,96,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Lake Anne Elementary",70,93,77,71,54,NA,77,NA,56,92,66,50,50,83,64,53,32,NA,55,22,74,93,75,76,61,92,69,66,66,93,78,65,49,88,59,46,86,96,90,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Whitman Middle",64,73,67,60,83,89,88,90,63,71,64,57,55,65,61,48,19,32,42,22,71,75,73,60,55,63,61,46,58,70,62,60,34,43,39,30,87,92,83,89,63,89,59,58,44,71,56,56,23,74
"Fairfax County Public Schools","Union Mill Elementary",86,90,93,85,91,100,98,96,63,NA,71,55,64,33,78,75,43,100,70,50,91,93,94,89,78,83,83,79,82,88,92,83,52,56,72,50,88,90,95,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Armstrong Elementary",81,81,81,71,88,NA,88,NA,46,50,42,14,47,36,42,42,38,0,37,38,88,83,88,77,54,14,50,63,74,80,76,66,55,58,49,50,87,93,89,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Holmes Middle",70,87,74,70,82,94,90,86,65,87,69,60,63,82,68,60,25,58,36,22,75,84,76,72,60,76,62,55,66,88,72,68,45,63,44,46,86,96,87,92,63,80,44,54,30,69,56,58,38,80
"Fairfax County Public Schools","Columbia Elementary",84,89,88,93,88,100,92,100,73,82,82,80,70,90,74,76,56,NA,69,70,87,88,89,94,77,71,84,90,82,91,86,91,50,63,56,71,96,95,93,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Greenbriar West Elementary",91,91,93,90,94,91,96,96,94,89,90,100,70,62,70,71,48,64,70,64,93,92,96,88,70,67,76,50,89,91,91,92,75,80,69,50,89,97,91,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Orange Hunt Elementary",85,77,86,73,82,83,89,71,75,38,88,53,56,63,64,42,38,40,48,10,88,73,87,70,78,55,74,70,82,80,85,75,65,54,56,35,88,85,87,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Fairfax Villa Elementary",76,78,82,76,86,90,94,100,46,50,58,33,54,36,59,45,36,NA,53,33,79,81,85,74,52,50,60,42,73,75,79,78,49,64,55,44,85,88,88,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Langley High",97,97,95,99,95,99,96,99,89,100,81,100,100,94,85,100,50,83,77,77,99,98,97,99,95,95,93,98,95,97,93,98,91,94,86,96,97,97,95,99,95,92,NA,100,63,98,100,92,83,95
"Fairfax County Public Schools","Forestdale Elementary",63,39,81,77,57,42,82,85,69,17,88,78,54,35,80,71,41,34,69,53,62,33,77,70,53,40,76,63,65,44,84,83,48,58,56,56,85,40,85,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Kings Park Elementary",72,NA,88,NA,68,NA,92,NA,80,NA,80,NA,58,NA,82,NA,45,NA,77,NA,79,NA,91,NA,58,NA,78,NA,66,NA,86,NA,46,NA,68,NA,80,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","West Springfield Elementary",91,94,95,95,83,80,96,100,89,100,93,67,81,83,90,86,57,NA,83,80,95,94,95,95,89,100,90,100,87,94,96,94,78,100,93,89,93,93,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Hybla Valley Elementary",62,76,81,78,74,NA,90,80,69,50,83,78,62,72,82,78,43,NA,73,66,64,63,80,73,61,93,80,77,60,88,82,83,56,0,75,95,62,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Frost Middle",92,97,94,93,96,98,97,96,82,91,81,82,77,76,79,70,41,55,58,46,93,97,95,92,80,87,88,78,91,97,94,95,67,80,73,64,94,98,95,95,90,93,80,67,18,94,78,86,54,91
"Fairfax County Public Schools","Little Run Elementary",83,97,89,90,83,88,94,93,89,NA,78,NA,63,100,77,57,50,100,71,60,88,100,90,100,58,NA,67,73,79,95,87,84,68,86,68,89,93,100,96,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Oakton Elementary",93,97,95,91,96,100,97,96,75,NA,69,83,77,83,84,64,71,NA,92,55,93,95,96,89,87,90,96,77,94,98,95,92,66,100,77,56,95,96,97,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Mosby Woods Elementary",94,99,98,97,96,100,99,98,83,100,95,78,83,92,94,87,64,NA,89,69,94,98,98,98,84,94,94,92,94,100,98,96,76,100,89,84,97,99,99,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Stenwood Elementary",89,96,95,93,85,95,96,94,76,NA,90,80,63,75,83,83,39,NA,75,75,92,97,96,98,89,100,89,71,87,93,94,88,80,83,80,70,92,97,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Thomas Jefferson High for Science and Technology",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,100,100,100,100,100
"Fairfax County Public Schools","Annandale Terrace Elementary",59,65,78,79,76,89,86,85,63,67,80,93,57,59,77,79,42,50,69,63,61,53,78,82,54,60,74,77,57,80,78,77,42,71,63,57,50,60,78,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Stratford Landing Elementary",85,85,89,84,88,80,96,100,62,55,63,58,67,54,68,67,63,NA,53,50,87,84,88,90,91,91,91,76,83,85,89,80,52,50,61,61,90,93,95,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Hollin Meadows Elementary",61,44,65,59,78,25,79,88,52,27,52,46,46,22,56,48,25,20,45,30,68,45,65,65,44,33,55,48,54,42,65,55,49,25,41,50,90,70,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Washington Mill Elementary",68,85,72,60,70,86,77,83,64,67,60,48,53,84,60,34,36,82,51,32,70,76,74,58,54,82,63,38,66,94,70,62,47,63,45,22,89,100,92,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Ravensworth Elementary",83,86,89,81,80,88,89,91,74,NA,87,57,62,78,87,80,33,60,73,NA,84,89,90,75,77,82,88,79,82,84,89,86,69,80,69,55,89,97,91,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Chantilly High",94,89,95,92,96,95,99,97,84,78,84,78,84,73,87,78,14,51,83,37,96,87,94,92,83,74,85,74,92,91,95,92,77,59,81,67,98,91,96,95,85,90,66,72,19,89,70,83,67,94
"Fairfax County Public Schools","Sandburg Middle",76,86,77,75,88,96,88,86,60,75,63,65,54,70,58,51,21,38,34,21,78,85,78,72,60,72,62,53,73,86,75,79,50,56,49,47,94,97,93,93,75,93,53,55,NA,79,62,71,38,88
"Fairfax County Public Schools","Marshall High",93,94,92,95,96,97,95,99,100,90,89,90,84,82,82,87,37,62,69,62,95,95,93,95,80,85,84,86,92,92,92,95,72,66,74,77,96,95,96,97,96,98,96,86,44,97,90,94,75,97
"Fairfax County Public Schools","Edison High",86,84,83,78,94,94,95,91,89,80,78,74,74,76,77,68,40,55,64,44,87,82,85,79,72,76,79,69,85,86,82,78,63,51,58,38,93,92,89,89,84,92,85,69,32,88,68,80,61,93
"Fairfax County Public Schools","Woodson High",95,93,95,93,95,96,97,97,88,76,88,75,83,76,80,76,45,59,79,48,96,93,95,94,84,84,86,83,93,93,94,92,79,81,87,79,98,95,97,95,95,95,88,84,27,96,84,93,80,97
"Fairfax County Public Schools","Herndon Elementary",54,47,68,69,67,73,84,100,62,33,69,78,37,32,55,59,22,24,42,45,56,44,66,62,36,32,55,55,52,50,69,76,37,13,35,40,89,77,92,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Keene Mill Elementary",93,95,96,96,97,100,97,100,90,89,93,90,79,94,88,87,64,NA,76,83,94,95,96,96,86,89,91,89,93,95,96,96,62,64,62,67,95,94,97,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Mantua Elementary",92,89,94,95,94,92,99,100,93,NA,96,86,78,79,85,92,54,80,80,NA,92,87,93,98,84,81,88,90,91,92,95,92,70,70,74,68,92,90,92,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Marshall Road Elementary",73,72,82,70,84,93,95,81,72,60,68,57,48,71,67,48,31,NA,65,50,81,77,85,69,47,NA,60,47,66,68,79,72,41,38,47,53,77,74,83,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Vienna Elementary",86,87,92,93,73,80,80,NA,71,NA,71,NA,56,50,73,71,31,NA,71,NA,86,79,91,93,85,NA,96,88,86,94,93,93,73,89,81,75,89,90,96,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairfax County Public Schools","Cooper Middle",95,98,96,94,97,100,100,98,95,100,100,91,90,90,90,64,31,NA,63,60,96,98,98,95,89,97,90,87,94,98,95,93,73,88,74,69,95,97,95,92,93,98,91,77,50,95,83,90,59,91
